<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PHGE.US,D,20190319,000000,10,10,9.9999,10,1011,0
PHGE.US,D,20190320,000000,10,10,10,10,9,0
PHGE.US,D,20190322,000000,9.7958,9.7958,9.7958,9.7958,200,0
PHGE.US,D,20190411,000000,9.55,9.7,9.55,9.7,400,0
PHGE.US,D,20190417,000000,9.85,9.85,9.85,9.85,191,0
PHGE.US,D,20190418,000000,9.85,9.85,9.85,9.85,29,0
PHGE.US,D,20190501,000000,9.69,9.69,9.69,9.69,511,0
PHGE.US,D,20190502,000000,9.75,9.75,9.75,9.75,501,0
PHGE.US,D,20190503,000000,9.64,9.7,9.64,9.7,1800,0
PHGE.US,D,20190506,000000,9.7,9.72,9.7,9.72,3000,0
PHGE.US,D,20190508,000000,10.1,10.1,9.73,9.8,800,0
PHGE.US,D,20190509,000000,9.8,9.8,9.8,9.8,5,0
PHGE.US,D,20190521,000000,10.02,10.02,9.87,9.87,322,0
PHGE.US,D,20190522,000000,9.87,9.87,9.87,9.87,6,0
PHGE.US,D,20190524,000000,9.76,9.76,9.76,9.76,105,0
PHGE.US,D,20190603,000000,9.76,9.76,9.76,9.76,100,0
PHGE.US,D,20190606,000000,9.78,9.8,9.78,9.8,49001,0
PHGE.US,D,20190614,000000,9.78,9.78,9.78,9.78,200000,0
PHGE.US,D,20190619,000000,9.81,9.829,9.79,9.79,20500,0
PHGE.US,D,20190620,000000,9.81,9.81,9.81,9.81,701,0
PHGE.US,D,20190621,000000,9.81,9.81,9.81,9.81,100,0
PHGE.US,D,20190626,000000,9.8,9.8,9.79,9.79,3102,0
PHGE.US,D,20190627,000000,9.79,9.79,9.79,9.79,1,0
PHGE.US,D,20190701,000000,9.8,9.8,9.8,9.8,100,0
PHGE.US,D,20190717,000000,10.26,10.65,10.26,10.65,674076,0
PHGE.US,D,20190718,000000,10.49,11.7,10.4401,10.49,12191,0
PHGE.US,D,20190719,000000,10.3001,10.65,10.3001,10.65,17480,0
PHGE.US,D,20190722,000000,11.37,11.9,10.69,10.77,22254,0
PHGE.US,D,20190723,000000,10.73,10.73,10.73,10.73,3011,0
PHGE.US,D,20190724,000000,10.65,10.79,10.6,10.6,10270,0
PHGE.US,D,20190725,000000,10.3339,10.6,10.3,10.59,13936,0
PHGE.US,D,20190726,000000,10.6375,10.65,10.55,10.55,98128,0
PHGE.US,D,20190729,000000,10.3,10.51,10.3,10.51,545,0
PHGE.US,D,20190730,000000,10.3515,10.48,10.3515,10.47,4023,0
PHGE.US,D,20190731,000000,10.497,10.497,10.497,10.497,3005,0
PHGE.US,D,20190805,000000,10.32,10.37,10.25,10.37,10127,0
PHGE.US,D,20190806,000000,10.33,10.33,10.25,10.25,1500,0
PHGE.US,D,20190808,000000,10.26,10.39,10.26,10.39,300,0
PHGE.US,D,20190809,000000,10.4,10.52,10.2705,10.3,1919,0
PHGE.US,D,20190812,000000,10.28,10.28,10.25,10.25,1002,0
PHGE.US,D,20190816,000000,10.2,10.2,10.2,10.2,101,0
PHGE.US,D,20190819,000000,10.29,10.3,10.29,10.3,2202,0
PHGE.US,D,20190821,000000,10.3,10.3,10.3,10.3,100,0
PHGE.US,D,20190822,000000,10.26,10.27,10.26,10.27,3276,0
