<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YCBD_A.US,D,20191022,000000,9,9.15,8.8,9,20434,0
YCBD_A.US,D,20191023,000000,8.75,9.075,8.75,8.9999,11854,0
YCBD_A.US,D,20191024,000000,8.96,8.98,8.87,8.8751,1911,0
YCBD_A.US,D,20191025,000000,8.9,8.9,8.35,8.75,13427,0
YCBD_A.US,D,20191028,000000,8.8,9.5,8.8,9.24,8441,0
YCBD_A.US,D,20191029,000000,9.3,9.85,9.2599,9.7,8093,0
YCBD_A.US,D,20191030,000000,9.68,9.69,9.6325,9.6425,2820,0
YCBD_A.US,D,20191031,000000,9.4,9.43,9.4,9.43,860,0
YCBD_A.US,D,20191101,000000,9.56,9.69,9.56,9.69,1001,0
YCBD_A.US,D,20191104,000000,9.6,9.69,9.4,9.4,6545,0
YCBD_A.US,D,20191105,000000,9.68,9.68,9.45,9.45,1905,0
YCBD_A.US,D,20191106,000000,9.48,9.48,9,9.25,5219,0
YCBD_A.US,D,20191107,000000,9.25,9.25,9,9,3505,0
YCBD_A.US,D,20191108,000000,9.62,9.62,9.0268,9.05,2116,0
YCBD_A.US,D,20191111,000000,9.03,9.25,9,9.249,2214,0
YCBD_A.US,D,20191112,000000,9.02,9.1125,9.02,9.1125,1264,0
YCBD_A.US,D,20191113,000000,9.43,9.66,9.43,9.66,900,0
YCBD_A.US,D,20191115,000000,9.25,9.25,9.25,9.25,701,0
YCBD_A.US,D,20191118,000000,9.28,9.2852,9.25,9.2852,1240,0
YCBD_A.US,D,20191119,000000,9.2827,9.2827,9.05,9.2512,2700,0
YCBD_A.US,D,20191120,000000,9.5,9.6,9.387,9.387,829,0
YCBD_A.US,D,20191122,000000,9.4,9.4,9.4,9.4,445,0
YCBD_A.US,D,20191126,000000,9.25,9.25,9,9.02,5037,0
YCBD_A.US,D,20191129,000000,9.44,9.44,9.2,9.2,1108,0
YCBD_A.US,D,20191203,000000,9.3,9.3,9.01,9.2,720,0
YCBD_A.US,D,20191204,000000,9.2,9.2,9.2,9.2,213,0
YCBD_A.US,D,20191205,000000,9.03,9.03,9,9,1331,0
YCBD_A.US,D,20191209,000000,8.81,8.95,8.51,8.76,2946,0
YCBD_A.US,D,20191210,000000,8.95,8.95,8.76,8.76,1598,0
YCBD_A.US,D,20191211,000000,8.52,8.5581,8.52,8.5581,1400,0
YCBD_A.US,D,20191213,000000,8.71,8.71,8.5,8.5,2823,0
YCBD_A.US,D,20191216,000000,8.75,8.75,8.75,8.75,456,0
YCBD_A.US,D,20191217,000000,8.85,8.85,8.5,8.538,2073,0
YCBD_A.US,D,20191218,000000,8.5,8.5,8.5,8.5,1197,0
YCBD_A.US,D,20191220,000000,8.58,8.65,8.58,8.65,403,0
YCBD_A.US,D,20191223,000000,8.75,8.75,8.696,8.696,994,0
YCBD_A.US,D,20191224,000000,8.37,8.37,8.37,8.37,369,0
YCBD_A.US,D,20191226,000000,8.4981,8.55,8.4981,8.55,986,0
YCBD_A.US,D,20191227,000000,8.39,8.39,8.2915,8.2915,1246,0
YCBD_A.US,D,20191230,000000,8.48,8.48,7.25,7.5,7833,0
YCBD_A.US,D,20191231,000000,7.725,8.09,7.7,8.09,1868,0
YCBD_A.US,D,20200103,000000,7.7,7.7,7.7,7.7,458,0
