<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TRX.US,D,20110615,000000,6.63,6.71,6.25,6.48,467872,0
TRX.US,D,20110616,000000,6.42,6.5,6.05,6.2,601564,0
TRX.US,D,20110617,000000,6.26,6.37,5.94,6.31,1881691,0
TRX.US,D,20110620,000000,6.26,6.27,6.02,6.13,339800,0
TRX.US,D,20110621,000000,6.17,6.43,6.17,6.37,378101,0
TRX.US,D,20110622,000000,6.49,6.63,6.45,6.5,379344,0
TRX.US,D,20110623,000000,6.35,6.41,6.07,6.37,544672,0
TRX.US,D,20110624,000000,6.37,6.38,6.22,6.31,170783,0
TRX.US,D,20110627,000000,6.26,6.44,6.11,6.44,173005,0
TRX.US,D,20110628,000000,6.38,6.4,6.2,6.37,299250,0
TRX.US,D,20110629,000000,6.39,6.53,6.35,6.49,224235,0
TRX.US,D,20110630,000000,6.63,6.69,6.48,6.55,367685,0
TRX.US,D,20110701,000000,6.69,6.69,6.31,6.6,143699,0
TRX.US,D,20110705,000000,6.75,6.76,6.5,6.62,189443,0
TRX.US,D,20110706,000000,6.6,6.67,6.55,6.59,207986,0
TRX.US,D,20110707,000000,6.6,6.84,6.33,6.35,413381,0
TRX.US,D,20110708,000000,6.69,6.69,6.16,6.27,376972,0
TRX.US,D,20110711,000000,6.4,6.41,6.12,6.27,214752,0
TRX.US,D,20110712,000000,6.39,6.52,6.25,6.42,271175,0
TRX.US,D,20110713,000000,6.45,6.63,6.41,6.56,511242,0
TRX.US,D,20110714,000000,6.57,6.61,6.35,6.42,195132,0
TRX.US,D,20110715,000000,6.41,6.41,6.27,6.34,357397,0
TRX.US,D,20110718,000000,6.42,6.52,6.26,6.33,346112,0
TRX.US,D,20110719,000000,6.34,6.37,6.27,6.28,243028,0
TRX.US,D,20110720,000000,6.31,6.41,6.25,6.33,192340,0
TRX.US,D,20110721,000000,6.35,6.38,6.25,6.32,141236,0
TRX.US,D,20110722,000000,6.35,6.45,6.35,6.35,151486,0
TRX.US,D,20110725,000000,6.4,6.46,6.25,6.34,158403,0
TRX.US,D,20110726,000000,6.38,6.48,6.31,6.41,167691,0
TRX.US,D,20110727,000000,6.42,6.48,6.19,6.22,258145,0
TRX.US,D,20110728,000000,6.36,6.36,6.15,6.26,253874,0
TRX.US,D,20110729,000000,6.25,6.25,6.09,6.18,229389,0
TRX.US,D,20110801,000000,6.1,6.32,6.09,6.28,126952,0
TRX.US,D,20110802,000000,6.23,6.36,6.13,6.27,309855,0
TRX.US,D,20110803,000000,6.28,6.35,6.21,6.28,211197,0
TRX.US,D,20110804,000000,6.22,6.27,5.77,5.87,597003,0
TRX.US,D,20110805,000000,5.78,5.95,5.71,5.9,419723,0
TRX.US,D,20110808,000000,5.87,6.08,5.74,6,369722,0
TRX.US,D,20110809,000000,5.9,6,5.73,6,219831,0
TRX.US,D,20110810,000000,5.97,5.97,5.74,5.85,384420,0
TRX.US,D,20110811,000000,5.87,5.99,5.82,5.99,486958,0
TRX.US,D,20110812,000000,5.98,5.98,5.8,5.87,122151,0
TRX.US,D,20110815,000000,5.84,5.95,5.84,5.95,380543,0
TRX.US,D,20110816,000000,5.95,5.99,5.81,5.9,247467,0
TRX.US,D,20110817,000000,5.9,5.97,5.8,5.9,292580,0
TRX.US,D,20110818,000000,5.88,5.9,5.7,5.84,269140,0
TRX.US,D,20110819,000000,5.82,5.98,5.81,5.85,488126,0
TRX.US,D,20110822,000000,5.93,5.95,5.84,5.85,626699,0
TRX.US,D,20110823,000000,5.9,5.93,5.71,5.82,403985,0
TRX.US,D,20110824,000000,5.74,5.84,5.38,5.67,613332,0
TRX.US,D,20110825,000000,5.72,5.72,5.39,5.72,591252,0
TRX.US,D,20110826,000000,5.51,5.77,5.47,5.77,295633,0
TRX.US,D,20110829,000000,5.77,5.85,5.63,5.84,212992,0
TRX.US,D,20110830,000000,5.9,5.9,5.72,5.85,338204,0
TRX.US,D,20110831,000000,5.9,5.9,5.76,5.88,287496,0
TRX.US,D,20110901,000000,5.85,5.87,5.72,5.85,212027,0
TRX.US,D,20110902,000000,5.87,5.94,5.78,5.88,404306,0
TRX.US,D,20110906,000000,5.88,5.91,5.67,5.85,391988,0
TRX.US,D,20110907,000000,5.73,5.86,5.64,5.84,364555,0
TRX.US,D,20110908,000000,5.91,5.94,5.77,5.85,333327,0
TRX.US,D,20110909,000000,5.86,5.86,5.6,5.79,274698,0
TRX.US,D,20110912,000000,5.82,5.82,5.43,5.72,294206,0
TRX.US,D,20110913,000000,5.61,5.85,5.46,5.85,457962,0
TRX.US,D,20110914,000000,5.8,5.85,5.71,5.85,235508,0
TRX.US,D,20110915,000000,5.71,5.72,5.41,5.63,352600,0
TRX.US,D,20110916,000000,5.55,5.71,5.5,5.71,318367,0
TRX.US,D,20110919,000000,5.62,5.67,5.42,5.51,187527,0
TRX.US,D,20110920,000000,5.34,5.67,5.34,5.63,234408,0
TRX.US,D,20110921,000000,5.69,5.75,5.54,5.57,201812,0
TRX.US,D,20110922,000000,5.42,5.42,4.41,4.58,1449738,0
TRX.US,D,20110923,000000,4.55,4.55,3.98,4.07,1266357,0
TRX.US,D,20110926,000000,4.07,4.28,4.01,4.11,476514,0
TRX.US,D,20110927,000000,4.24,4.34,3.4,3.54,6330650,0
TRX.US,D,20110928,000000,3.68,3.82,3.49,3.54,1458610,0
TRX.US,D,20110929,000000,3.58,3.73,3.47,3.7,706247,0
TRX.US,D,20110930,000000,3.68,3.77,3.55,3.59,441184,0
TRX.US,D,20111003,000000,3.69,3.73,3.47,3.51,395157,0
TRX.US,D,20111004,000000,3.47,3.48,3.15,3.28,601789,0
TRX.US,D,20111005,000000,3.69,3.69,3.3,3.56,380562,0
TRX.US,D,20111006,000000,3.7,3.7,3.51,3.65,367467,0
TRX.US,D,20111007,000000,3.65,3.68,3.38,3.48,365818,0
TRX.US,D,20111010,000000,3.53,3.71,3.5,3.69,423677,0
TRX.US,D,20111011,000000,3.64,3.68,3.54,3.64,222292,0
TRX.US,D,20111012,000000,3.68,3.78,3.65,3.69,377357,0
TRX.US,D,20111013,000000,3.67,3.67,3.53,3.63,163576,0
TRX.US,D,20111014,000000,3.58,3.74,3.58,3.71,396468,0
TRX.US,D,20111017,000000,3.7,3.7,3.33,3.51,943595,0
TRX.US,D,20111018,000000,3.51,3.67,3.4,3.6,490625,0
TRX.US,D,20111019,000000,3.58,3.58,3.45,3.45,279851,0
TRX.US,D,20111020,000000,3.46,3.58,3.42,3.56,298596,0
TRX.US,D,20111021,000000,3.57,3.69,3.57,3.64,291068,0
TRX.US,D,20111024,000000,3.64,3.73,3.6,3.67,330628,0
TRX.US,D,20111025,000000,3.71,4.09,3.63,3.92,1359874,0
TRX.US,D,20111026,000000,4,4.06,3.84,3.94,460753,0
TRX.US,D,20111027,000000,4,4.06,3.92,3.96,366298,0
TRX.US,D,20111028,000000,3.93,4.07,3.89,3.96,363021,0
TRX.US,D,20111031,000000,3.89,3.9,3.8,3.86,162523,0
TRX.US,D,20111101,000000,3.73,3.95,3.65,3.95,227804,0
TRX.US,D,20111102,000000,3.97,4.01,3.8,3.94,191726,0
TRX.US,D,20111103,000000,3.98,4,3.4,3.67,1608305,0
TRX.US,D,20111104,000000,3.62,3.75,3.5,3.68,210754,0
TRX.US,D,20111107,000000,3.71,3.75,3.63,3.74,234104,0
TRX.US,D,20111108,000000,3.74,3.77,3.61,3.69,214787,0
TRX.US,D,20111109,000000,3.65,3.7,3.39,3.42,445557,0
TRX.US,D,20111110,000000,3.41,3.44,1.56,2.29,17110502,0
TRX.US,D,20111111,000000,2.51,2.96,2.39,2.84,3167962,0
TRX.US,D,20111114,000000,2.94,2.94,2.65,2.82,886193,0
TRX.US,D,20111115,000000,2.79,2.85,2.7,2.8,433658,0
TRX.US,D,20111116,000000,2.75,2.77,2.59,2.59,620675,0
TRX.US,D,20111117,000000,2.59,2.6,2.41,2.44,760201,0
TRX.US,D,20111118,000000,2.51,2.53,2.38,2.5,519743,0
TRX.US,D,20111121,000000,2.42,2.51,2.11,2.51,743633,0
TRX.US,D,20111122,000000,2.56,2.74,2.47,2.56,804343,0
TRX.US,D,20111123,000000,2.53,2.66,2.45,2.59,479148,0
TRX.US,D,20111125,000000,2.54,2.69,2.52,2.53,190753,0
TRX.US,D,20111128,000000,2.7,2.71,2.54,2.56,299626,0
TRX.US,D,20111129,000000,2.56,2.64,2.52,2.57,209036,0
TRX.US,D,20111130,000000,2.68,2.75,2.63,2.73,501352,0
TRX.US,D,20111201,000000,2.75,2.9,2.75,2.88,735706,0
TRX.US,D,20111202,000000,2.96,2.96,2.77,2.85,473648,0
TRX.US,D,20111205,000000,2.83,2.95,2.79,2.91,424289,0
TRX.US,D,20111206,000000,2.88,2.98,2.76,2.93,443900,0
TRX.US,D,20111207,000000,2.86,3.11,2.84,3.07,650605,0
TRX.US,D,20111208,000000,3.06,3.06,2.81,2.95,441868,0
TRX.US,D,20111209,000000,2.96,3.17,2.93,3.13,580261,0
TRX.US,D,20111212,000000,3,3,2.75,2.97,811320,0
TRX.US,D,20111213,000000,2.94,3.04,2.7,2.72,482119,0
TRX.US,D,20111214,000000,2.78,2.78,2.56,2.69,775162,0
TRX.US,D,20111215,000000,2.72,2.72,2.32,2.42,1209629,0
TRX.US,D,20111216,000000,2.56,2.58,2.28,2.28,938581,0
TRX.US,D,20111219,000000,2.38,2.39,2.19,2.21,656217,0
TRX.US,D,20111220,000000,2.23,2.48,2.22,2.46,562333,0
TRX.US,D,20111221,000000,2.5,2.65,2.46,2.5,547124,0
TRX.US,D,20111222,000000,2.52,2.52,2.35,2.38,275869,0
TRX.US,D,20111223,000000,2.43,2.46,2.38,2.46,271703,0
TRX.US,D,20111227,000000,2.44,2.46,2.3,2.31,262195,0
TRX.US,D,20111228,000000,2.49,2.49,2.22,2.26,279768,0
TRX.US,D,20111229,000000,2.41,2.41,2.18,2.28,521980,0
TRX.US,D,20111230,000000,2.28,2.42,2.25,2.4,535028,0
TRX.US,D,20120103,000000,2.54,2.65,2.53,2.64,525181,0
TRX.US,D,20120104,000000,2.61,2.79,2.61,2.74,517950,0
TRX.US,D,20120105,000000,2.72,2.79,2.64,2.71,242747,0
TRX.US,D,20120106,000000,2.71,2.76,2.68,2.71,178347,0
TRX.US,D,20120109,000000,2.72,2.75,2.62,2.74,424138,0
TRX.US,D,20120110,000000,2.81,2.81,2.68,2.74,418469,0
TRX.US,D,20120111,000000,2.75,2.84,2.75,2.79,410868,0
TRX.US,D,20120112,000000,2.82,2.9,2.76,2.79,221767,0
TRX.US,D,20120113,000000,2.77,2.77,2.65,2.75,227529,0
TRX.US,D,20120117,000000,2.77,2.81,2.65,2.68,315888,0
TRX.US,D,20120118,000000,2.71,2.78,2.63,2.72,184449,0
TRX.US,D,20120119,000000,2.72,2.82,2.7,2.72,225928,0
TRX.US,D,20120120,000000,2.75,2.89,2.7,2.88,391632,0
TRX.US,D,20120123,000000,2.88,3.13,2.8,3.04,1038802,0
TRX.US,D,20120124,000000,3.05,3.05,2.88,2.88,362204,0
TRX.US,D,20120125,000000,2.9,3.18,2.83,3.14,787648,0
TRX.US,D,20120126,000000,3.18,3.39,3.16,3.21,915466,0
TRX.US,D,20120127,000000,3.3,3.32,3.21,3.24,453542,0
TRX.US,D,20120130,000000,3.26,3.42,3.2,3.3,559921,0
TRX.US,D,20120131,000000,3.39,3.41,3.27,3.31,767191,0
TRX.US,D,20120201,000000,3.39,3.41,3.33,3.37,390627,0
TRX.US,D,20120202,000000,3.41,3.56,3.35,3.43,548588,0
TRX.US,D,20120203,000000,3.46,3.5,3.34,3.4,515274,0
TRX.US,D,20120206,000000,3.38,3.4,3.26,3.29,478888,0
TRX.US,D,20120207,000000,3.29,3.47,3.24,3.43,408342,0
TRX.US,D,20120208,000000,3.48,3.48,3.33,3.34,261620,0
TRX.US,D,20120209,000000,3.38,3.47,3.34,3.37,284359,0
TRX.US,D,20120210,000000,3.27,3.34,3.18,3.23,376644,0
TRX.US,D,20120213,000000,3.16,3.33,3.16,3.3,191548,0
TRX.US,D,20120214,000000,3.28,3.32,3.22,3.26,252840,0
TRX.US,D,20120215,000000,3.32,3.46,3.3,3.36,477989,0
TRX.US,D,20120216,000000,3.36,3.59,3.33,3.54,932283,0
TRX.US,D,20120217,000000,3.58,3.69,3.56,3.6,1121601,0
TRX.US,D,20120221,000000,3.75,3.84,3.6,3.74,844286,0
TRX.US,D,20120222,000000,3.75,3.92,3.74,3.88,575288,0
TRX.US,D,20120223,000000,3.9,4.25,3.89,4.15,1313481,0
TRX.US,D,20120224,000000,4.15,4.17,3.95,4.14,763318,0
TRX.US,D,20120227,000000,4.24,4.24,4.02,4.1,569880,0
TRX.US,D,20120228,000000,4.16,4.33,4.13,4.33,721418,0
TRX.US,D,20120229,000000,4.38,4.56,3.96,4.21,1568539,0
TRX.US,D,20120301,000000,4.17,4.47,4.1,4.42,979560,0
TRX.US,D,20120302,000000,4.34,4.42,4.12,4.3,815738,0
TRX.US,D,20120305,000000,4.3,4.34,4.1,4.14,656281,0
TRX.US,D,20120306,000000,4.06,4.12,3.82,4.01,1095645,0
TRX.US,D,20120307,000000,4.03,4.04,3.84,3.9,546481,0
TRX.US,D,20120308,000000,3.95,4.29,3.93,4.18,963558,0
TRX.US,D,20120309,000000,4.15,4.51,4.04,4.39,1204216,0
