<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MTNB.US,D,20170303,000000,3.6,3.85,3.6,3.79,173434,0
MTNB.US,D,20170306,000000,3.85,3.95,3.65,3.88,277079,0
MTNB.US,D,20170307,000000,3.88,3.88,3.7,3.73,182674,0
MTNB.US,D,20170308,000000,3.92,3.92,3.42,3.68,280301,0
MTNB.US,D,20170309,000000,3.57,3.67,3.4,3.51,241113,0
MTNB.US,D,20170310,000000,3.55,3.7,3.48,3.59,319320,0
MTNB.US,D,20170313,000000,3.48,3.61,3.33,3.5,201499,0
MTNB.US,D,20170314,000000,3.42,3.6,3.35,3.49,458900,0
MTNB.US,D,20170315,000000,3.43,3.4638,3.05,3.31,364583,0
MTNB.US,D,20170316,000000,3.37,3.4,2.87,3.2,446571,0
MTNB.US,D,20170317,000000,3.25,3.3,3.1,3.24,253861,0
MTNB.US,D,20170320,000000,3.17,3.32,3.17,3.24,289611,0
MTNB.US,D,20170321,000000,3.39,3.39,3.15,3.2,252028,0
MTNB.US,D,20170322,000000,3.19,3.39,2.97,3.25,354791,0
MTNB.US,D,20170323,000000,3.36,3.36,2.61,2.81,865909,0
MTNB.US,D,20170324,000000,2.9,2.9,1.5,2.5,3191740,0
MTNB.US,D,20170327,000000,2.64,2.7,2.51,2.55,894064,0
MTNB.US,D,20170328,000000,2.66,3.09,2.58,2.95,684632,0
MTNB.US,D,20170329,000000,2.92,3.1758,2.82,2.96,370025,0
MTNB.US,D,20170330,000000,2.94,2.99,2.56,2.75,306064,0
MTNB.US,D,20170331,000000,2.76,2.77,2.6601,2.77,326244,0
MTNB.US,D,20170403,000000,2.95,2.99,2.69,2.92,607870,0
MTNB.US,D,20170404,000000,2.94,2.95,2.62,2.84,402603,0
MTNB.US,D,20170405,000000,2.89,2.91,2.72,2.75,381761,0
MTNB.US,D,20170406,000000,2.77,2.9,2.77,2.9,231377,0
MTNB.US,D,20170407,000000,2.89,2.89,2.85,2.86,140847,0
MTNB.US,D,20170410,000000,2.86,2.91,2.76,2.86,253307,0
MTNB.US,D,20170411,000000,2.87,2.95,2.8,2.85,314907,0
MTNB.US,D,20170412,000000,2.9,3,2.85,3,158692,0
MTNB.US,D,20170413,000000,3,3,2.8854,2.95,124700,0
MTNB.US,D,20170417,000000,2.95,2.98,2.8,2.95,96624,0
MTNB.US,D,20170418,000000,2.97,2.9846,2.92,2.97,124732,0
MTNB.US,D,20170419,000000,2.95,2.98,2.8052,2.86,131227,0
MTNB.US,D,20170420,000000,2.89,2.9,2.8401,2.87,41237,0
MTNB.US,D,20170421,000000,2.86,3,2.85,2.93,397837,0
MTNB.US,D,20170424,000000,2.97,3.2,2.88,2.93,1036938,0
MTNB.US,D,20170425,000000,2.94,3,2.89,2.9,129822,0
MTNB.US,D,20170426,000000,2.9,2.98,2.84,2.88,242464,0
MTNB.US,D,20170427,000000,2.88,2.89,2.75,2.84,205467,0
MTNB.US,D,20170428,000000,2.89,2.89,2.65,2.73,219939,0
MTNB.US,D,20170501,000000,2.66,2.78,2.65,2.74,228958,0
MTNB.US,D,20170502,000000,2.79,2.8,2.71,2.8,320315,0
MTNB.US,D,20170503,000000,2.75,2.82,2.73,2.78,243051,0
MTNB.US,D,20170504,000000,2.7,2.7899,2.69,2.69,121926,0
MTNB.US,D,20170505,000000,2.69,2.73,2.6,2.73,235968,0
MTNB.US,D,20170508,000000,2.73,2.75,2.63,2.69,175937,0
MTNB.US,D,20170509,000000,2.69,2.72,2.65,2.72,203151,0
MTNB.US,D,20170510,000000,2.73,2.73,2.51,2.6699,262169,0
MTNB.US,D,20170511,000000,2.67,2.77,2.64,2.75,291479,0
MTNB.US,D,20170512,000000,2.75,2.8,2.7,2.75,250402,0
MTNB.US,D,20170515,000000,2.8,2.9,2.75,2.83,507177,0
MTNB.US,D,20170516,000000,2.85,2.98,2.83,2.97,734274,0
MTNB.US,D,20170517,000000,3,3,2.83,2.93,699372,0
MTNB.US,D,20170518,000000,2.95,2.97,2.81,2.94,259386,0
MTNB.US,D,20170519,000000,2.95,2.98,2.8928,2.96,223772,0
MTNB.US,D,20170522,000000,2.98,3.0749,2.955,3.01,490046,0
MTNB.US,D,20170523,000000,3,3.05,2.985,3.05,311341,0
MTNB.US,D,20170524,000000,3.05,3.05,3.01,3.04,179592,0
MTNB.US,D,20170525,000000,3.05,3.06,3.02,3.03,296697,0
MTNB.US,D,20170526,000000,3.04,3.05,2.97,3,297736,0
MTNB.US,D,20170530,000000,3,3.03,2.5001,2.66,1100832,0
MTNB.US,D,20170531,000000,2.67,2.71,2.02,2.31,1197179,0
MTNB.US,D,20170601,000000,2.31,2.35,2.13,2.34,1108219,0
MTNB.US,D,20170602,000000,2.39,2.56,2.3,2.41,621476,0
MTNB.US,D,20170605,000000,2.43,2.76,2.251,2.62,967101,0
MTNB.US,D,20170606,000000,2.59,2.68,2.45,2.5,363478,0
MTNB.US,D,20170607,000000,2.52,2.63,2.36,2.49,350150,0
MTNB.US,D,20170608,000000,2.47,2.54,2.26,2.37,348115,0
MTNB.US,D,20170609,000000,2.37,2.47,2.27,2.35,296789,0
MTNB.US,D,20170612,000000,2.32,2.45,2.16,2.27,614346,0
MTNB.US,D,20170613,000000,2.34,2.79,2.3,2.43,1387391,0
MTNB.US,D,20170614,000000,2.45,2.65,2.43,2.55,606113,0
MTNB.US,D,20170615,000000,2.5,2.85,2.47,2.73,1441594,0
MTNB.US,D,20170616,000000,2.7,2.85,2.7,2.85,3374290,0
MTNB.US,D,20170619,000000,2.88,2.89,2.6,2.76,360422,0
MTNB.US,D,20170620,000000,2.79,2.81,2.58,2.72,418526,0
MTNB.US,D,20170621,000000,2.76,2.76,2.51,2.7,348005,0
MTNB.US,D,20170622,000000,2.68,2.7,2.52,2.52,355388,0
MTNB.US,D,20170623,000000,2.5,2.79,2.27,2.77,4625579,0
MTNB.US,D,20170626,000000,1.55,2.47,1.4,2,3291193,0
MTNB.US,D,20170627,000000,2,2.07,1.57,1.81,1161606,0
MTNB.US,D,20170628,000000,1.79,1.84,1.59,1.67,556717,0
MTNB.US,D,20170629,000000,1.65,1.85,1.63,1.77,497757,0
MTNB.US,D,20170630,000000,1.76,1.77,1.66,1.69,180538,0
MTNB.US,D,20170703,000000,1.68,1.69,1.63,1.69,181376,0
MTNB.US,D,20170705,000000,1.55,1.8,1.52,1.67,541929,0
MTNB.US,D,20170706,000000,1.64,1.67,1.5618,1.57,464521,0
MTNB.US,D,20170707,000000,1.56,1.6,1.5448,1.6,365049,0
MTNB.US,D,20170710,000000,1.65,1.68,1.56,1.57,306174,0
MTNB.US,D,20170711,000000,1.55,1.74,1.51,1.72,460185,0
MTNB.US,D,20170712,000000,1.71,1.75,1.55,1.62,319008,0
MTNB.US,D,20170713,000000,1.6,1.6,1.41,1.45,584751,0
MTNB.US,D,20170714,000000,1.44,1.45,1.4,1.41,274553,0
MTNB.US,D,20170717,000000,1.4,1.49,1.31,1.34,394829,0
MTNB.US,D,20170718,000000,1.33,1.34,1.25,1.32,554549,0
MTNB.US,D,20170719,000000,1.32,1.46,1.3,1.45,181409,0
MTNB.US,D,20170720,000000,1.46,1.5,1.31,1.34,321922,0
MTNB.US,D,20170721,000000,1.29,1.36,1.27,1.33,270386,0
MTNB.US,D,20170724,000000,1.34,1.37,1.28,1.32,204744,0
MTNB.US,D,20170725,000000,1.33,1.36,1.19,1.26,500911,0
MTNB.US,D,20170726,000000,1.29,1.3,1.24,1.26,126575,0
MTNB.US,D,20170727,000000,1.26,1.3,1.23,1.24,122017,0
MTNB.US,D,20170728,000000,1.23,1.24,1.2,1.2,128116,0
MTNB.US,D,20170731,000000,1.21,1.22,1.12,1.12,237044,0
MTNB.US,D,20170801,000000,1.14,1.14,1.02,1.08,360283,0
MTNB.US,D,20170802,000000,1.01,1.08,1.01,1.05,309334,0
MTNB.US,D,20170803,000000,1.06,1.2,1.06,1.12,329249,0
MTNB.US,D,20170804,000000,1.12,1.28,1.12,1.16,376463,0
MTNB.US,D,20170807,000000,1.15,1.41,1.14,1.25,577195,0
MTNB.US,D,20170808,000000,1.35,1.44,1.3,1.43,640549,0
MTNB.US,D,20170809,000000,1.36,1.44,1.29,1.36,439509,0
MTNB.US,D,20170810,000000,1.33,1.37,1.3,1.3,213640,0
MTNB.US,D,20170811,000000,1.3,1.34,1.3,1.32,149897,0
MTNB.US,D,20170814,000000,1.32,1.47,1.32,1.43,418463,0
MTNB.US,D,20170815,000000,1.44,1.47,1.36,1.41,217251,0
MTNB.US,D,20170816,000000,1.4,1.46,1.33,1.36,110425,0
MTNB.US,D,20170817,000000,1.35,1.3693,1.32,1.32,51417,0
MTNB.US,D,20170818,000000,1.28,1.4365,1.25,1.36,303820,0
MTNB.US,D,20170821,000000,1.37,1.37,1.26,1.32,72575,0
MTNB.US,D,20170822,000000,1.31,1.39,1.25,1.35,132502,0
MTNB.US,D,20170823,000000,1.33,1.3893,1.28,1.36,63126,0
MTNB.US,D,20170824,000000,1.35,1.36,1.3,1.32,66038,0
MTNB.US,D,20170825,000000,1.34,1.36,1.3,1.32,81936,0
MTNB.US,D,20170828,000000,1.34,1.38,1.3285,1.35,114148,0
MTNB.US,D,20170829,000000,1.33,1.38,1.28,1.34,125036,0
MTNB.US,D,20170830,000000,1.32,1.38,1.32,1.35,58237,0
MTNB.US,D,20170831,000000,1.41,1.41,1.28,1.28,171054,0
MTNB.US,D,20170901,000000,1.27,1.32,1.26,1.29,74932,0
MTNB.US,D,20170905,000000,1.26,1.33,1.26,1.29,95661,0
MTNB.US,D,20170906,000000,1.33,1.33,1.17,1.19,186099,0
MTNB.US,D,20170907,000000,1.24,1.4,1.2124,1.37,429847,0
MTNB.US,D,20170908,000000,1.38,1.4195,1.3,1.35,222708,0
MTNB.US,D,20170911,000000,1.41,1.41,1.35,1.37,95179,0
MTNB.US,D,20170912,000000,1.3995,1.3995,1.35,1.39,192773,0
MTNB.US,D,20170913,000000,1.38,1.44,1.23,1.23,343802,0
MTNB.US,D,20170914,000000,1.23,1.28,1.22,1.22,153338,0
MTNB.US,D,20170915,000000,1.26,1.32,1.2,1.25,250167,0
MTNB.US,D,20170918,000000,1.23,1.37,1.23,1.29,194743,0
MTNB.US,D,20170919,000000,1.31,1.31,1.22,1.24,353997,0
MTNB.US,D,20170920,000000,1.25,1.26,1.17,1.24,193816,0
MTNB.US,D,20170921,000000,1.24,1.28,1.2,1.25,118438,0
MTNB.US,D,20170922,000000,1.26,1.27,1.23,1.27,84296,0
MTNB.US,D,20170925,000000,1.3,1.3,1.23,1.27,126939,0
MTNB.US,D,20170926,000000,1.28,1.29,1.25,1.26,79564,0
MTNB.US,D,20170927,000000,1.28,1.29,1.21,1.28,355826,0
MTNB.US,D,20170928,000000,1.2401,1.32,1.2401,1.31,160013,0
MTNB.US,D,20170929,000000,1.32,1.3498,1.3,1.32,209765,0
MTNB.US,D,20171002,000000,1.35,1.38,1.32,1.35,268228,0
MTNB.US,D,20171003,000000,1.36,1.42,1.36,1.37,278226,0
MTNB.US,D,20171004,000000,1.38,1.4,1.2989,1.33,123249,0
MTNB.US,D,20171005,000000,1.35,1.37,1.34,1.37,68122,0
MTNB.US,D,20171006,000000,1.37,1.4,1.35,1.35,85791,0
MTNB.US,D,20171009,000000,1.35,1.37,1.3401,1.35,108076,0
MTNB.US,D,20171010,000000,1.37,1.37,1.33,1.36,113820,0
MTNB.US,D,20171011,000000,1.35,1.37,1.31,1.34,161474,0
MTNB.US,D,20171012,000000,1.32,1.47,1.31,1.31,505138,0
MTNB.US,D,20171013,000000,1.33,1.33,1.27,1.27,81351,0
MTNB.US,D,20171016,000000,1.26,1.28,1.21,1.23,146064,0
MTNB.US,D,20171017,000000,1.25,1.28,1.2,1.28,404864,0
MTNB.US,D,20171018,000000,1.27,1.29,1.24,1.25,81343,0
MTNB.US,D,20171019,000000,1.23,1.33,1.22,1.26,203965,0
MTNB.US,D,20171020,000000,1.29,1.29,1.21,1.23,219945,0
MTNB.US,D,20171023,000000,1.24,1.25,1.15,1.15,244983,0
MTNB.US,D,20171024,000000,1.15,1.18,1.11,1.14,139266,0
MTNB.US,D,20171025,000000,1.14,1.16,1.13,1.13,74914,0
MTNB.US,D,20171026,000000,1.15,1.15,1.07,1.11,182666,0
MTNB.US,D,20171027,000000,1.12,1.15,1.02,1.11,196291,0
MTNB.US,D,20171030,000000,1.11,1.14,1.09,1.13,209087,0
MTNB.US,D,20171031,000000,1.14,1.15,1.1,1.12,141388,0
MTNB.US,D,20171101,000000,1.11,1.12,1.09,1.1,91305,0
MTNB.US,D,20171102,000000,1.11,1.12,1.09,1.11,65997,0
MTNB.US,D,20171103,000000,1.11,1.13,1.1,1.1,78323,0
MTNB.US,D,20171106,000000,1.1,1.2,1.1,1.2,136604,0
MTNB.US,D,20171107,000000,1.2,1.2,1.12,1.13,106524,0
MTNB.US,D,20171108,000000,1.13,1.14,1.1,1.11,64192,0
MTNB.US,D,20171109,000000,1.11,1.12,1.1,1.11,56754,0
MTNB.US,D,20171110,000000,1.13,1.13,1.1,1.12,103706,0
MTNB.US,D,20171113,000000,1.12,1.16,1.12,1.15,42712,0
MTNB.US,D,20171114,000000,1.13,1.14,1.11,1.14,46744,0
MTNB.US,D,20171115,000000,1.2,1.2599,1.1,1.1,209853,0
MTNB.US,D,20171116,000000,1.12,1.21,1.11,1.17,77704,0
MTNB.US,D,20171117,000000,1.15,1.2,1.15,1.19,66584,0
MTNB.US,D,20171120,000000,1.2,1.2,1.17,1.19,43600,0
MTNB.US,D,20171121,000000,1.22,1.22,1.19,1.21,118064,0
MTNB.US,D,20171122,000000,1.22,1.29,1.18,1.27,110738,0
MTNB.US,D,20171124,000000,1.3,1.35,1.2701,1.35,89781,0
MTNB.US,D,20171127,000000,1.35,1.41,1.33,1.38,376564,0
MTNB.US,D,20171128,000000,1.41,1.44,1.38,1.44,149711,0
MTNB.US,D,20171129,000000,1.44,1.47,1.4,1.45,127070,0
MTNB.US,D,20171130,000000,1.47,1.54,1.35,1.41,579527,0
MTNB.US,D,20171201,000000,1.439,1.47,1.36,1.47,89550,0
MTNB.US,D,20171204,000000,1.54,1.57,1.47,1.54,417342,0
MTNB.US,D,20171205,000000,1.54,1.6,1.43,1.46,304379,0
MTNB.US,D,20171206,000000,1.45,1.5301,1.43,1.44,158921,0
MTNB.US,D,20171207,000000,1.42,1.43,1.34,1.39,154065,0
MTNB.US,D,20171208,000000,1.38,1.5,1.38,1.5,211101,0
MTNB.US,D,20171211,000000,1.48,1.5,1.39,1.4,149822,0
MTNB.US,D,20171212,000000,1.42,1.57,1.39,1.45,490611,0
