<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NTSE.US,D,20210521,000000,40.181,40.181,39.881,39.881,6246,0
NTSE.US,D,20210524,000000,40.311,40.311,40.239,40.239,888,0
NTSE.US,D,20210525,000000,41.14,41.14,40.615,40.615,332,0
NTSE.US,D,20210526,000000,40.89,40.92,40.876,40.876,2874,0
NTSE.US,D,20210527,000000,40.86,40.891,40.811,40.891,702,0
NTSE.US,D,20210528,000000,41.2,41.2,41.145,41.145,797,0
NTSE.US,D,20210601,000000,41.954,41.954,41.954,41.954,204,0
NTSE.US,D,20210602,000000,42.018,42.022,42.014,42.022,1332,0
NTSE.US,D,20210603,000000,41.558,41.558,41.54,41.54,402,0
NTSE.US,D,20210604,000000,42.059,42.059,42.041,42.041,279,0
NTSE.US,D,20210607,000000,41.729,41.829,41.729,41.779,263,0
NTSE.US,D,20210608,000000,41.618,41.669,41.618,41.631,275,0
NTSE.US,D,20210609,000000,41.688,41.688,41.578,41.578,590,0
NTSE.US,D,20210610,000000,41.929,41.979,41.918,41.961,3789,0
NTSE.US,D,20210611,000000,41.859,41.859,41.784,41.784,404,0
NTSE.US,D,20210614,000000,41.828,41.828,41.828,41.828,75,0
NTSE.US,D,20210615,000000,41.541,41.541,41.541,41.541,103,0
NTSE.US,D,20210616,000000,41.49,41.49,41.057,41.057,818,0
NTSE.US,D,20210617,000000,41.36,41.36,41.283,41.283,141,0
NTSE.US,D,20210618,000000,41.034,41.034,41.034,41.034,111,0
NTSE.US,D,20210621,000000,41.088,41.145,41.088,41.145,1038,0
NTSE.US,D,20210622,000000,41.022,41.022,41.022,41.022,249,0
NTSE.US,D,20210623,000000,41.41,41.41,41.19,41.19,445,0
NTSE.US,D,20210624,000000,41.55,41.6699,41.55,41.583,443,0
NTSE.US,D,20210625,000000,41.801,41.801,41.801,41.801,66,0
NTSE.US,D,20210628,000000,41.885,41.905,41.85,41.9001,2684,0
NTSE.US,D,20210629,000000,41.8634,41.8634,41.8634,41.8634,136,0
NTSE.US,D,20210630,000000,41.67,41.6889,41.66,41.6889,415,0
NTSE.US,D,20210701,000000,41.369,41.3883,41.33,41.3883,1222,0
NTSE.US,D,20210702,000000,41.299,41.3991,41.279,41.3991,353,0
NTSE.US,D,20210706,000000,41,41,40.849,40.8862,897,0
NTSE.US,D,20210707,000000,41.109,41.109,40.8758,40.8758,384,0
NTSE.US,D,20210708,000000,40.115,40.2103,40.115,40.2103,265,0
NTSE.US,D,20210709,000000,40.753,40.76,40.6889,40.6889,2722,0
NTSE.US,D,20210712,000000,40.629,40.6753,40.625,40.6753,588,0
NTSE.US,D,20210713,000000,41.02,41.02,40.6979,40.6979,352,0
NTSE.US,D,20210714,000000,41.02,41.04,40.9445,40.9789,717,0
NTSE.US,D,20210715,000000,41.095,41.146,41.07,41.146,276,0
NTSE.US,D,20210716,000000,40.949,40.949,40.7972,40.7972,4125,0
NTSE.US,D,20210719,000000,40.215,40.3045,40.215,40.3045,302,0
NTSE.US,D,20210720,000000,40.459,40.57,40.459,40.4829,296,0
NTSE.US,D,20210721,000000,40.27,40.62,40.27,40.5662,2209,0
NTSE.US,D,20210722,000000,40.6495,40.7374,40.6495,40.7374,293,0
NTSE.US,D,20210723,000000,40.05,40.18,40.05,40.18,941,0
NTSE.US,D,20210726,000000,39.36,39.4116,39.3417,39.3417,2616,0
NTSE.US,D,20210727,000000,38.8002,38.8002,38.8002,38.8002,183,0
NTSE.US,D,20210728,000000,39.45,39.7589,39.45,39.7589,405,0
NTSE.US,D,20210729,000000,39.86,39.909,39.79,39.8469,2187,0
NTSE.US,D,20210730,000000,39.59,39.63,39.5416,39.5416,489,0
NTSE.US,D,20210802,000000,39.98,39.98,39.857,39.857,259,0
NTSE.US,D,20210803,000000,39.935,40.021,39.935,40.021,559,0
NTSE.US,D,20210804,000000,40.2799,40.329,40.2776,40.2776,663,0
NTSE.US,D,20210805,000000,40.15,40.15,40.1138,40.1138,750,0
NTSE.US,D,20210806,000000,39.85,39.85,39.6468,39.6468,1023,0
NTSE.US,D,20210809,000000,39.909,39.909,39.8306,39.8306,670,0
NTSE.US,D,20210810,000000,39.785,39.819,39.776,39.776,380,0
NTSE.US,D,20210811,000000,39.9147,39.9147,39.9147,39.9147,292,0
NTSE.US,D,20210812,000000,39.54,39.54,39.5356,39.5356,178,0
NTSE.US,D,20210813,000000,39.529,39.53,39.48,39.5233,2718,0
NTSE.US,D,20210816,000000,39.265,39.265,39.2,39.2501,3529,0
NTSE.US,D,20210817,000000,38.65,38.72,38.6,38.6075,2707,0
NTSE.US,D,20210818,000000,38.6541,38.6541,38.6541,38.6541,44,0
NTSE.US,D,20210819,000000,38,38.0095,38,38.0095,229,0
NTSE.US,D,20210820,000000,37.9969,37.9969,37.9969,37.9969,32,0
NTSE.US,D,20210823,000000,38.2501,38.519,38.2501,38.4986,627,0
NTSE.US,D,20210824,000000,39.33,39.33,39.2982,39.2982,841,0
NTSE.US,D,20210825,000000,39.27,39.3179,39.27,39.3179,856,0
NTSE.US,D,20210826,000000,39.09,39.09,38.9365,38.9365,281,0
NTSE.US,D,20210827,000000,39.3973,39.3973,39.3973,39.3973,218,0
NTSE.US,D,20210830,000000,39.5687,39.5687,39.5687,39.5687,54,0
NTSE.US,D,20210831,000000,40.08,40.16,40.08,40.1479,2310,0
NTSE.US,D,20210901,000000,40.519,40.6518,40.519,40.6518,622,0
NTSE.US,D,20210902,000000,40.65,40.65,40.3858,40.3858,324,0
NTSE.US,D,20210903,000000,40.6005,40.6005,40.6005,40.6005,193,0
NTSE.US,D,20210907,000000,40.77,40.8364,40.77,40.8364,233,0
NTSE.US,D,20210908,000000,40.45,40.45,40.2754,40.2754,754,0
NTSE.US,D,20210909,000000,40.12,40.1697,40.12,40.1697,147,0
NTSE.US,D,20210910,000000,40.425,40.425,40.0742,40.0742,219,0
NTSE.US,D,20210913,000000,40.2471,40.2471,40.2471,40.2471,27,0
NTSE.US,D,20210914,000000,40.02,40.02,39.8821,39.8821,407,0
NTSE.US,D,20210915,000000,39.769,39.8675,39.769,39.8675,378,0
NTSE.US,D,20210916,000000,39.295,39.4253,39.295,39.4253,338,0
NTSE.US,D,20210917,000000,39.4,39.4,39.2501,39.2501,1431,0
NTSE.US,D,20210920,000000,38.5,38.5,38.2,38.3125,864,0
NTSE.US,D,20210921,000000,38.559,38.65,38.559,38.5957,559,0
NTSE.US,D,20210922,000000,38.96,39.1599,38.96,39.0607,1286,0
NTSE.US,D,20210923,000000,39.19,39.32,39.14,39.1832,2666,0
NTSE.US,D,20210924,000000,38.4021,38.4021,38.4021,38.4021,158,0
NTSE.US,D,20210927,000000,38.64,38.7,38.64,38.6884,464,0
NTSE.US,D,20210928,000000,37.97,38.12,37.94,38.0367,6319,0
NTSE.US,D,20210929,000000,38.08,38.08,37.8716,37.8716,396,0
NTSE.US,D,20210930,000000,38.1269,38.1269,38.1269,38.1269,96,0
NTSE.US,D,20211001,000000,37.989,38.1673,37.989,38.1673,211,0
NTSE.US,D,20211004,000000,37.55,37.617,37.55,37.617,757,0
NTSE.US,D,20211005,000000,37.8722,37.8722,37.8722,37.8722,14,0
NTSE.US,D,20211006,000000,37.7524,37.7524,37.7524,37.7524,86,0
NTSE.US,D,20211007,000000,38.3393,38.3393,38.3393,38.3393,20,0
NTSE.US,D,20211008,000000,38.4,38.469,38.33,38.4613,791,0
NTSE.US,D,20211011,000000,38.69,38.69,38.3363,38.3363,1836,0
NTSE.US,D,20211012,000000,38.2409,38.2409,38.2409,38.2409,76,0
NTSE.US,D,20211013,000000,38.7668,38.7668,38.7668,38.7668,114,0
NTSE.US,D,20211014,000000,38.84,38.959,38.84,38.9423,859,0
NTSE.US,D,20211015,000000,39.04,39.275,39.04,39.2156,9400,0
NTSE.US,D,20211018,000000,39,39.25,38.995,39.1542,6844,0
NTSE.US,D,20211019,000000,39.45,39.53,39.45,39.5298,1373,0
NTSE.US,D,20211020,000000,39.555,39.619,39.5086,39.5086,4740,0
NTSE.US,D,20211021,000000,39.17,39.18,39.13,39.1384,897,0
NTSE.US,D,20211022,000000,39.159,39.159,39.0865,39.0865,1011,0
NTSE.US,D,20211025,000000,39.35,39.44,39.3265,39.3819,3925,0
NTSE.US,D,20211026,000000,39.48,39.48,39.2036,39.2036,4102,0
NTSE.US,D,20211027,000000,39.01,39.11,38.9757,38.9757,817,0
