<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSPQ-WS.US,D,20210426,000000,0.84,0.84,0.699899,0.74,15583,0
TSPQ-WS.US,D,20210427,000000,0.8,0.8,0.745549,0.75,7356,0
TSPQ-WS.US,D,20210428,000000,0.75,0.7826,0.710201,0.765,39498,0
TSPQ-WS.US,D,20210429,000000,0.74,0.795,0.74,0.756,31787,0
TSPQ-WS.US,D,20210430,000000,0.7031,0.74,0.7,0.72,149298,0
TSPQ-WS.US,D,20210503,000000,0.75,0.87,0.7,0.7,25390,0
TSPQ-WS.US,D,20210504,000000,0.7007,0.745349,0.7,0.745349,393869,0
TSPQ-WS.US,D,20210506,000000,0.7501,0.81198,0.7501,0.8001,1700,0
TSPQ-WS.US,D,20210507,000000,0.7503,0.7503,0.7,0.71,39277,0
TSPQ-WS.US,D,20210510,000000,0.73,0.75,0.690199,0.7,92124,0
TSPQ-WS.US,D,20210511,000000,0.749999,0.749999,0.73,0.73,1100,0
TSPQ-WS.US,D,20210512,000000,0.6802,0.71,0.6702,0.68,48495,0
TSPQ-WS.US,D,20210513,000000,0.6801,0.72,0.5992,0.67,96649,0
TSPQ-WS.US,D,20210514,000000,0.7418,0.7419,0.7418,0.7419,3060,0
TSPQ-WS.US,D,20210517,000000,0.689899,0.7,0.689899,0.7,2611,0
TSPQ-WS.US,D,20210518,000000,0.64,0.68,0.64,0.68,740,0
TSPQ-WS.US,D,20210519,000000,0.72,0.75,0.71,0.710251,6112,0
TSPQ-WS.US,D,20210520,000000,0.6899,0.7,0.62,0.664876,49176,0
TSPQ-WS.US,D,20210521,000000,0.66,0.7,0.6401,0.6499,31250,0
TSPQ-WS.US,D,20210524,000000,0.6401,0.710092,0.6401,0.6607,18198,0
TSPQ-WS.US,D,20210525,000000,0.66,0.7399,0.6476,0.7398,6864,0
TSPQ-WS.US,D,20210526,000000,0.7,0.71,0.6704,0.71,26494,0
TSPQ-WS.US,D,20210527,000000,0.68,0.7399,0.68,0.69,36444,0
TSPQ-WS.US,D,20210528,000000,0.71,0.735599,0.67,0.735599,32503,0
TSPQ-WS.US,D,20210601,000000,0.7399,0.7399,0.7124,0.7124,9012,0
TSPQ-WS.US,D,20210602,000000,0.7299,0.7599,0.7099,0.72,10459,0
TSPQ-WS.US,D,20210603,000000,0.74,0.75495,0.74,0.75495,1778,0
TSPQ-WS.US,D,20210604,000000,0.7801,0.8,0.7728,0.8,20100,0
TSPQ-WS.US,D,20210607,000000,0.764899,0.8,0.764899,0.8,26920,0
TSPQ-WS.US,D,20210608,000000,0.79,0.8399,0.78,0.839699,1979,0
TSPQ-WS.US,D,20210609,000000,0.781,0.8,0.76,0.8,13518,0
TSPQ-WS.US,D,20210610,000000,0.8999,0.9,0.84,0.84,19420,0
TSPQ-WS.US,D,20210611,000000,0.84,0.84,0.81,0.815,11100,0
TSPQ-WS.US,D,20210614,000000,0.9048,0.9048,0.80505,0.80505,7640,0
TSPQ-WS.US,D,20210615,000000,0.810201,0.87,0.79,0.809,19055,0
TSPQ-WS.US,D,20210616,000000,0.8001,0.84,0.8001,0.82,1969,0
TSPQ-WS.US,D,20210617,000000,0.8099,0.9,0.8099,0.85,6153,0
TSPQ-WS.US,D,20210618,000000,0.87,0.88,0.820049,0.85,63498,0
TSPQ-WS.US,D,20210621,000000,0.9099,0.9099,0.8001,0.84,63602,0
TSPQ-WS.US,D,20210622,000000,0.81,0.8101,0.8,0.81,1422,0
TSPQ-WS.US,D,20210623,000000,0.8,0.8499,0.7501,0.82,65595,0
TSPQ-WS.US,D,20210624,000000,0.85,0.852,0.85,0.852,800,0
TSPQ-WS.US,D,20210625,000000,0.82,0.835,0.82,0.835,2485,0
TSPQ-WS.US,D,20210628,000000,0.8997,1.0035,0.8503,0.9,116035,0
TSPQ-WS.US,D,20210629,000000,0.9499,0.9499,0.9,0.9,1582,0
TSPQ-WS.US,D,20210630,000000,0.9499,0.9499,0.9499,0.9499,329,0
TSPQ-WS.US,D,20210701,000000,0.95,0.9599,0.9498,0.95,7748,0
TSPQ-WS.US,D,20210706,000000,0.91,0.9101,0.8699,0.89,20436,0
TSPQ-WS.US,D,20210707,000000,0.864,0.89,0.85,0.89,19028,0
TSPQ-WS.US,D,20210708,000000,0.8901,0.97,0.890001,0.9001,4262,0
TSPQ-WS.US,D,20210709,000000,0.9701,0.9701,0.93,0.93,6898,0
TSPQ-WS.US,D,20210713,000000,0.9801,1.02,0.975,0.9902,24994,0
TSPQ-WS.US,D,20210714,000000,0.9901,0.9901,0.99,0.99,5483,0
TSPQ-WS.US,D,20210715,000000,0.961,0.979999,0.8799,0.936199,7236,0
TSPQ-WS.US,D,20210716,000000,1,1,1,1,7333,0
TSPQ-WS.US,D,20210719,000000,0.970001,0.99,0.95,0.9801,3217,0
TSPQ-WS.US,D,20210720,000000,0.90005,0.98,0.835,0.96,22550,0
TSPQ-WS.US,D,20210722,000000,0.96,0.96,0.96,0.96,100,0
TSPQ-WS.US,D,20210723,000000,0.9001,0.91,0.9001,0.909753,521,0
TSPQ-WS.US,D,20210726,000000,0.91,0.91,0.9,0.91,14859,0
TSPQ-WS.US,D,20210727,000000,0.9001,0.95,0.81035,0.84,15206,0
TSPQ-WS.US,D,20210728,000000,0.82,0.841,0.82,0.8401,10606,0
TSPQ-WS.US,D,20210729,000000,0.8798,0.8798,0.8142,0.8142,1778,0
TSPQ-WS.US,D,20210730,000000,0.8142,0.8142,0.8141,0.8141,4061,0
TSPQ-WS.US,D,20210802,000000,0.85,0.85,0.85,0.85,1298,0
TSPQ-WS.US,D,20210803,000000,0.8394,0.8501,0.8147,0.85,6774,0
TSPQ-WS.US,D,20210804,000000,0.89,0.8901,0.8147,0.8147,4525,0
TSPQ-WS.US,D,20210805,000000,0.8147,0.8147,0.8147,0.8147,350,0
TSPQ-WS.US,D,20210806,000000,0.81,0.81,0.770295,0.8098,8000,0
TSPQ-WS.US,D,20210809,000000,0.79,0.79,0.79,0.79,1300,0
TSPQ-WS.US,D,20210810,000000,0.81,0.81,0.73,0.77505,37134,0
TSPQ-WS.US,D,20210811,000000,0.8501,0.8501,0.8501,0.8501,150,0
TSPQ-WS.US,D,20210813,000000,0.76,0.775,0.737599,0.76,42305,0
TSPQ-WS.US,D,20210816,000000,0.8,0.8,0.8,0.8,160,0
