<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MPLN.US,D,20200408,000000,9.75,9.81,9.75,9.8,50550,0
MPLN.US,D,20200414,000000,9.85,9.9,9.79,9.81,1280740,0
MPLN.US,D,20200415,000000,9.8,9.8,9.78,9.78,101016,0
MPLN.US,D,20200416,000000,9.76,9.78,9.7,9.76,260505,0
MPLN.US,D,20200417,000000,9.81,9.81,9.77,9.77,784200,0
MPLN.US,D,20200420,000000,9.75,9.8,9.75,9.8,502,0
MPLN.US,D,20200422,000000,9.85,9.85,9.85,9.85,101,0
MPLN.US,D,20200423,000000,9.8499,9.85,9.8,9.82,8660,0
MPLN.US,D,20200424,000000,9.75,9.85,9.75,9.84,250463,0
MPLN.US,D,20200427,000000,9.95,9.95,9.95,9.95,2000,0
MPLN.US,D,20200428,000000,9.94,9.94,9.94,9.94,1102995,0
MPLN.US,D,20200429,000000,9.95,9.95,9.9498,9.9499,2108,0
MPLN.US,D,20200430,000000,9.9499,9.9499,9.9499,9.9499,1092,0
MPLN.US,D,20200501,000000,9.9,9.9,9.89,9.89,251680,0
MPLN.US,D,20200504,000000,9.7,9.9,9.7,9.89,960610,0
MPLN.US,D,20200506,000000,9.85,9.86,9.85,9.86,404700,0
MPLN.US,D,20200508,000000,9.875,10.25,9.8502,9.92,305600,0
MPLN.US,D,20200511,000000,9.93,9.97,9.92,9.97,223400,0
MPLN.US,D,20200512,000000,10.397,10.397,10,10.2,397746,0
MPLN.US,D,20200513,000000,10.1,10.24,10.02,10.02,369702,0
MPLN.US,D,20200514,000000,10.09,10.15,10.05,10.09,426058,0
MPLN.US,D,20200515,000000,10.09,10.1,10.04,10.04,7304,0
MPLN.US,D,20200518,000000,10.05,10.07,10.05,10.07,802,0
MPLN.US,D,20200519,000000,10.065,10.1,10.065,10.09,702329,0
MPLN.US,D,20200520,000000,10.05,10.24,10.05,10.1,523793,0
MPLN.US,D,20200521,000000,10.076,10.12,10.076,10.1,10644,0
MPLN.US,D,20200522,000000,10.1,10.1,10.0998,10.1,2376,0
MPLN.US,D,20200526,000000,10.14,10.1799,10.05,10.1,16244,0
MPLN.US,D,20200527,000000,10.15,10.2,10.078,10.14,54797,0
MPLN.US,D,20200528,000000,10.11,10.2,10.1,10.2,21532,0
MPLN.US,D,20200529,000000,10.17,10.36,10.15,10.25,153815,0
MPLN.US,D,20200601,000000,10.25,10.25,10.03,10.23,39242,0
MPLN.US,D,20200602,000000,10.3,10.3,10.135,10.2,23434,0
MPLN.US,D,20200603,000000,10.22,10.23,10.0421,10.19,21287,0
MPLN.US,D,20200604,000000,10.24,10.24,10.0601,10.19,419428,0
MPLN.US,D,20200605,000000,10.19,10.25,10.1174,10.25,619834,0
MPLN.US,D,20200608,000000,10.25,10.3,10.14,10.26,20557,0
MPLN.US,D,20200609,000000,10.26,10.3,10.26,10.29,61030,0
MPLN.US,D,20200610,000000,10.29,10.45,10.19,10.32,253344,0
MPLN.US,D,20200611,000000,10.2,10.42,10.2,10.2,61778,0
MPLN.US,D,20200612,000000,10.28,10.3,10.06,10.1,104151,0
MPLN.US,D,20200615,000000,10.16,10.2799,9.91,10.09,149104,0
MPLN.US,D,20200616,000000,10.16,10.23,10.07,10.19,51151,0
MPLN.US,D,20200617,000000,10.29,10.3,10.1701,10.26,176415,0
MPLN.US,D,20200618,000000,10.31,10.31,10.17,10.25,70948,0
MPLN.US,D,20200619,000000,10.53,10.53,10.2,10.25,156068,0
MPLN.US,D,20200622,000000,10.4,10.4,10.25,10.25,171986,0
MPLN.US,D,20200623,000000,10.33,10.5,10.25,10.4373,476791,0
MPLN.US,D,20200624,000000,10.44,10.44,10.29,10.35,74385,0
MPLN.US,D,20200625,000000,10.36,10.4055,10.3,10.38,62139,0
MPLN.US,D,20200626,000000,10.44,10.44,10.27,10.27,604114,0
MPLN.US,D,20200629,000000,10.35,10.42,10.26,10.4,133939,0
MPLN.US,D,20200630,000000,10.45,11.7,10.4,10.79,3169838,0
MPLN.US,D,20200701,000000,11,11,10.71,10.81,223753,0
MPLN.US,D,20200702,000000,10.9,11.05,10.81,10.93,591182,0
MPLN.US,D,20200706,000000,10.7,10.88,10.6,10.75,261378,0
MPLN.US,D,20200707,000000,10.6,10.79,10.54,10.67,213873,0
MPLN.US,D,20200708,000000,10.58,10.65,10.54,10.63,176405,0
MPLN.US,D,20200709,000000,10.65,10.7,10.5,10.65,192645,0
MPLN.US,D,20200710,000000,10.7,10.85,10.616,10.81,150992,0
MPLN.US,D,20200713,000000,12.76,12.93,11,11.21,23721100,0
MPLN.US,D,20200714,000000,11.2,11.34,10.725,11.14,5289391,0
MPLN.US,D,20200715,000000,11,11.49,11,11.35,9369119,0
MPLN.US,D,20200716,000000,11.23,11.89,11.23,11.8,8343014,0
MPLN.US,D,20200717,000000,11.75,12.27,11.75,11.97,10237811,0
MPLN.US,D,20200720,000000,11.94,12,11.4,11.67,1578645,0
MPLN.US,D,20200721,000000,11.67,11.8,11.14,11.4,1585911,0
MPLN.US,D,20200722,000000,11.55,11.74,10.91,11.0777,1725017,0
MPLN.US,D,20200723,000000,11.12,11.3199,10.91,10.98,1274499,0
MPLN.US,D,20200724,000000,11,11.2,10.85,10.98,1004466,0
MPLN.US,D,20200727,000000,11,11.44,10.95,11.29,3265414,0
MPLN.US,D,20200728,000000,11.25,11.29,10.91,10.94,1396546,0
MPLN.US,D,20200729,000000,10.96,11.05,10.6,10.96,906808,0
MPLN.US,D,20200730,000000,10.85,10.98,10.52,10.6,2215805,0
MPLN.US,D,20200731,000000,10.55,10.69,10.27,10.36,1288768,0
MPLN.US,D,20200803,000000,10.3,10.5,10.2,10.25,1132647,0
MPLN.US,D,20200804,000000,10.26,10.47,10.19,10.47,1559764,0
MPLN.US,D,20200805,000000,10.46,10.5,10.19,10.24,1959679,0
MPLN.US,D,20200806,000000,10.2,10.85,10.16,10.83,3959768,0
MPLN.US,D,20200807,000000,10.7,10.88,10.32,10.86,4759278,0
MPLN.US,D,20200810,000000,10.73,10.94,10.665,10.92,1525217,0
MPLN.US,D,20200811,000000,10.93,10.93,10.65,10.75,1583797,0
MPLN.US,D,20200812,000000,10.6,10.9,10.58,10.69,1811554,0
MPLN.US,D,20200813,000000,10.6,10.76,10.5,10.75,1252014,0
