<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
POND.US,D,20210712,000000,9.85,9.85,9.57,9.65,21401,0
POND.US,D,20210713,000000,9.77,9.77,9.65,9.65,201800,0
POND.US,D,20210714,000000,9.6799,9.68,9.649,9.68,2419,0
POND.US,D,20210715,000000,9.72,9.72,9.625,9.63,31878,0
POND.US,D,20210716,000000,9.63,9.64,9.6,9.64,3090,0
POND.US,D,20210719,000000,9.65,9.65,9.61,9.61,400,0
POND.US,D,20210720,000000,9.6384,9.64,9.6,9.6,6904,0
POND.US,D,20210721,000000,9.64,9.64,9.6,9.64,48766,0
POND.US,D,20210723,000000,9.64,9.65,9.6,9.64,3810,0
POND.US,D,20210727,000000,9.62,9.62,9.62,9.62,371,0
POND.US,D,20210728,000000,9.65,9.68,9.65,9.68,8534,0
POND.US,D,20210804,000000,9.64,9.68,9.64,9.68,501252,0
POND.US,D,20210805,000000,9.9,9.9,9.68,9.68,2264,0
POND.US,D,20210809,000000,9.7,9.7,9.7,9.7,2550,0
POND.US,D,20210812,000000,9.65,9.65,9.6491,9.6491,6239,0
POND.US,D,20210816,000000,9.62,9.62,9.62,9.62,101,0
POND.US,D,20210817,000000,9.62,9.625,9.5963,9.625,27702,0
POND.US,D,20210819,000000,9.69,9.69,9.61,9.61,3276,0
POND.US,D,20210820,000000,9.6,9.61,9.59,9.6,4118,0
POND.US,D,20210823,000000,9.63,9.63,9.63,9.63,100,0
POND.US,D,20210825,000000,9.59,9.59,9.59,9.59,102,0
POND.US,D,20210826,000000,9.62,9.62,9.62,9.62,4434,0
POND.US,D,20210903,000000,9.5999,9.61,9.5999,9.61,9039,0
POND.US,D,20210907,000000,9.6184,9.62,9.6,9.6,2976,0
POND.US,D,20210908,000000,9.615,9.615,9.61,9.61,2112,0
POND.US,D,20210909,000000,9.62,9.62,9.6,9.61,1000,0
POND.US,D,20210910,000000,9.6,9.6199,9.6,9.6199,2701,0
POND.US,D,20210913,000000,9.62,9.62,9.62,9.62,584,0
POND.US,D,20210914,000000,9.63,9.66,9.63,9.65,123358,0
POND.US,D,20210915,000000,9.66,9.6601,9.66,9.66,5670,0
POND.US,D,20210916,000000,9.66,9.66,9.65,9.66,10322,0
POND.US,D,20210917,000000,9.66,9.7,9.65,9.655,581717,0
POND.US,D,20210920,000000,9.6797,9.6818,9.66,9.66,1816,0
POND.US,D,20210922,000000,9.68,9.68,9.64,9.65,21100,0
POND.US,D,20210923,000000,9.68,9.68,9.63,9.65,5506,0
POND.US,D,20210924,000000,9.65,9.65,9.65,9.65,1104,0
POND.US,D,20210927,000000,9.65,9.65,9.65,9.65,400,0
POND.US,D,20210928,000000,9.65,9.68,9.64,9.68,43958,0
POND.US,D,20210929,000000,9.645,9.65,9.645,9.65,500,0
POND.US,D,20210930,000000,9.65,9.66,9.65,9.66,3008,0
POND.US,D,20211001,000000,9.66,9.66,9.6566,9.6566,2064,0
POND.US,D,20211004,000000,9.68,9.7,9.65,9.7,39029,0
POND.US,D,20211005,000000,9.6518,9.7,9.6518,9.69,4420,0
POND.US,D,20211006,000000,9.7535,9.77,9.73,9.73,22584,0
POND.US,D,20211007,000000,9.77,9.77,9.72,9.77,1601,0
POND.US,D,20211008,000000,9.7581,9.7581,9.7581,9.7581,326,0
POND.US,D,20211012,000000,9.77,9.77,9.77,9.77,131,0
POND.US,D,20211014,000000,9.75,9.75,9.75,9.75,210,0
POND.US,D,20211021,000000,9.7,9.7,9.7,9.7,611,0
POND.US,D,20211022,000000,9.69,9.69,9.69,9.69,15184,0
POND.US,D,20211025,000000,9.75,9.75,9.69,9.695,4406,0
POND.US,D,20211026,000000,9.68,9.7051,9.68,9.7,32157,0
POND.US,D,20211027,000000,9.68,9.68,9.68,9.68,521,0
