<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSFE.US,D,20201012,000000,9.72,9.94,9.72,9.86,30819,0
PSFE.US,D,20201013,000000,9.9,9.9,9.9,9.9,2113,0
PSFE.US,D,20201014,000000,9.8645,9.8645,9.86,9.86,203,0
PSFE.US,D,20201015,000000,9.805,9.805,9.805,9.805,1521,0
PSFE.US,D,20201016,000000,9.86,9.86,9.77,9.77,516204,0
PSFE.US,D,20201019,000000,9.8,9.8,9.76,9.77,367442,0
PSFE.US,D,20201020,000000,9.83,9.83,9.74,9.74,20697,0
PSFE.US,D,20201021,000000,9.85,9.85,9.72,9.72,628763,0
PSFE.US,D,20201022,000000,9.78,9.78,9.7,9.75,511539,0
PSFE.US,D,20201023,000000,9.78,9.78,9.71,9.78,5238,0
PSFE.US,D,20201026,000000,9.79,9.84,9.66,9.7,1183347,0
PSFE.US,D,20201027,000000,9.7,9.71,9.67,9.685,959406,0
PSFE.US,D,20201028,000000,9.68,9.69,9.595,9.67,823976,0
PSFE.US,D,20201029,000000,9.7,9.7,9.63,9.64,355877,0
PSFE.US,D,20201030,000000,9.64,9.69,9.63,9.67,171666,0
PSFE.US,D,20201102,000000,9.65,9.72,9.65,9.67,524947,0
PSFE.US,D,20201103,000000,9.68,9.74,9.68,9.71,522201,0
PSFE.US,D,20201104,000000,9.76,9.79,9.75,9.76,133510,0
PSFE.US,D,20201105,000000,9.84,9.88,9.75,9.8,402864,0
PSFE.US,D,20201106,000000,9.76,11.13,9.72,10.15,11033327,0
PSFE.US,D,20201109,000000,10.3,10.5,10.16,10.28,3745309,0
PSFE.US,D,20201110,000000,10.45,10.45,10.15,10.22,221558,0
PSFE.US,D,20201111,000000,10.27,10.27,10.16,10.22,228061,0
PSFE.US,D,20201112,000000,10.21,10.64,10.15,10.5,1116217,0
PSFE.US,D,20201113,000000,10.24,10.97,10.24,10.565,1370326,0
PSFE.US,D,20201116,000000,10.57,10.75,10.38,10.61,608858,0
PSFE.US,D,20201117,000000,10.61,10.61,10.38,10.4,520975,0
PSFE.US,D,20201118,000000,10.32,10.45,10.25,10.4,174978,0
PSFE.US,D,20201119,000000,10.4,10.55,10.15,10.37,321932,0
PSFE.US,D,20201120,000000,10.42,10.61,10.25,10.54,454302,0
PSFE.US,D,20201123,000000,10.75,10.75,10.36,10.36,640251,0
PSFE.US,D,20201124,000000,10.58,10.65,10.42,10.45,127561,0
PSFE.US,D,20201125,000000,10.47,10.5903,10.3929,10.425,342234,0
PSFE.US,D,20201127,000000,10.44,10.555,10.44,10.44,318413,0
PSFE.US,D,20201130,000000,10.66,10.75,10.4,10.4899,316240,0
PSFE.US,D,20201201,000000,10.6,10.727,10.44,10.48,271941,0
PSFE.US,D,20201202,000000,10.3,10.5,10.25,10.44,337951,0
PSFE.US,D,20201203,000000,10.41,10.49,10.34,10.49,327652,0
PSFE.US,D,20201204,000000,10.75,10.75,10.48,10.62,575105,0
PSFE.US,D,20201207,000000,11.45,12.66,11.42,11.95,81377335,0
PSFE.US,D,20201208,000000,13.26,13.77,12.42,12.78,52794590,0
PSFE.US,D,20201209,000000,13.49,13.5,12.51,12.75,32967111,0
PSFE.US,D,20201210,000000,12.99,13.45,12.71,13.45,21412236,0
PSFE.US,D,20201211,000000,13.75,14.82,13.5,14,28622968,0
PSFE.US,D,20201214,000000,15.23,15.39,14.5,14.61,35410660,0
PSFE.US,D,20201215,000000,14.55,14.781,13.6,14.08,19771715,0
PSFE.US,D,20201216,000000,13.74,14.08,13.51,13.72,11491760,0
PSFE.US,D,20201217,000000,13.95,14.04,13.7,13.88,9480711,0
PSFE.US,D,20201218,000000,13.95,14.31,13.76,13.92,9047299,0
PSFE.US,D,20201221,000000,14.06,15.15,13.86,14.82,19839303,0
PSFE.US,D,20201222,000000,15.38,15.46,14.5,14.68,17028488,0
PSFE.US,D,20201223,000000,14.9,14.91,14.31,14.63,12873081,0
PSFE.US,D,20201224,000000,15.0008,15.85,15.0008,15.23,13113301,0
PSFE.US,D,20201228,000000,16.55,17,16.1022,16.3,21406977,0
PSFE.US,D,20201229,000000,16.88,16.89,15.01,15.76,14610779,0
PSFE.US,D,20201230,000000,15.89,16.29,15.66,15.79,7789680,0
PSFE.US,D,20201231,000000,15.6,15.8768,15.03,15.1,12887326,0
PSFE.US,D,20210104,000000,15,15.01,13.68,14.45,15226273,0
PSFE.US,D,20210105,000000,13.76,14.93,13.73,14.8,8104482,0
PSFE.US,D,20210106,000000,14.5,15.29,14.22,14.49,9487101,0
PSFE.US,D,20210107,000000,14.85,15.39,14.72,14.95,6584726,0
PSFE.US,D,20210108,000000,15.08,15.1,14.64,15.05,6839979,0
PSFE.US,D,20210111,000000,14.5,16.2,14.4,15.55,12261749,0
PSFE.US,D,20210112,000000,15.3,15.45,14.85,15.21,7000525,0
PSFE.US,D,20210113,000000,15.05,16.47,14.95,16.33,9788436,0
PSFE.US,D,20210114,000000,16.16,16.2,15.6,15.81,5877498,0
PSFE.US,D,20210115,000000,15.7,16.19,14.95,15.59,7505082,0
PSFE.US,D,20210119,000000,16.76,17.98,16.38,16.55,16651456,0
PSFE.US,D,20210120,000000,17.14,17.59,16.8,17.47,7303731,0
PSFE.US,D,20210121,000000,18.5,19.5,17.7,19.24,12974103,0
PSFE.US,D,20210122,000000,19,19.18,18.41,18.89,8978737,0
PSFE.US,D,20210125,000000,19.26,19.5662,16,17.79,14450769,0
PSFE.US,D,20210126,000000,17.6,17.78,16.55,16.68,8718252,0
PSFE.US,D,20210127,000000,15.78,16.14,14.81,14.89,20057973,0
PSFE.US,D,20210128,000000,15.29,16.02,15.11,15.64,9984627,0
PSFE.US,D,20210129,000000,15.4,15.94,14.9,15.42,11085366,0
PSFE.US,D,20210201,000000,15.9,16.82,15.45,16.67,9447878,0
PSFE.US,D,20210202,000000,16.92,17.24,16.4,16.67,6889395,0
PSFE.US,D,20210203,000000,17.4,18.3,17.2,18.1,8582307,0
PSFE.US,D,20210204,000000,17.9,18.81,17.4,18.2,9065314,0
PSFE.US,D,20210205,000000,18.4,18.57,17.51,17.89,6239702,0
PSFE.US,D,20210208,000000,18,18.05,17.41,17.7,5580570,0
PSFE.US,D,20210209,000000,17.4,17.52,16.76,17.13,6215332,0
PSFE.US,D,20210210,000000,17,17.22,16.06,16.69,8112194,0
PSFE.US,D,20210211,000000,16.4,16.55,16,16.15,7405417,0
PSFE.US,D,20210212,000000,16.52,17.34,16.35,17.27,5679850,0
PSFE.US,D,20210216,000000,17.3,17.35,16.61,16.9,4484348,0
PSFE.US,D,20210217,000000,16.8,17.75,16.51,17.4,5548634,0
PSFE.US,D,20210218,000000,17.06,17.48,16.71,16.94,3986912,0
PSFE.US,D,20210219,000000,17.14,17.73,16.9,17.39,5806272,0
PSFE.US,D,20210222,000000,17.29,17.96,16.63,16.87,6723921,0
PSFE.US,D,20210223,000000,16,16.34,14.65,16.18,9781570,0
PSFE.US,D,20210224,000000,16.18,16.8,16.08,16.35,4442205,0
PSFE.US,D,20210225,000000,16.27,16.45,15.08,15.34,6718786,0
PSFE.US,D,20210226,000000,15.45,15.89,14.57,15.21,6790493,0
PSFE.US,D,20210301,000000,15.8,16.0899,15.28,15.79,5899772,0
PSFE.US,D,20210302,000000,15.85,16.38,15.6,15.84,5423775,0
PSFE.US,D,20210303,000000,16,16.06,14.62,14.78,9363427,0
PSFE.US,D,20210304,000000,14.89,15.2594,12.97,13.95,11099746,0
PSFE.US,D,20210305,000000,14.02,15.05,12.5,14.93,12250870,0
PSFE.US,D,20210308,000000,15.81,15.81,14.5,14.65,6581819,0
PSFE.US,D,20210309,000000,15.15,15.25,14.64,14.77,5951343,0
PSFE.US,D,20210310,000000,15.25,15.25,14.31,14.78,5837192,0
PSFE.US,D,20210311,000000,14.9,15.33,14.72,14.92,5212670,0
PSFE.US,D,20210312,000000,14.5,15.25,14.5,14.9,4945748,0
PSFE.US,D,20210315,000000,15,16.98,14.91,16.5,8272829,0
PSFE.US,D,20210316,000000,16.65,17.25,15.95,16.62,7902244,0
PSFE.US,D,20210317,000000,16,16.58,15.55,16,7462717,0
PSFE.US,D,20210318,000000,15.9,16.55,15.8,15.89,5556642,0
PSFE.US,D,20210319,000000,16.07,16.17,15.51,15.6,5109758,0
PSFE.US,D,20210322,000000,16.24,16.7899,15.71,16.15,6517035,0
PSFE.US,D,20210323,000000,16.08,16.25,15.52,15.63,4277593,0
PSFE.US,D,20210324,000000,16.01,16.44,14.65,14.73,9260961,0
PSFE.US,D,20210325,000000,14.48,15.47,14.16,14.95,9559131,0
PSFE.US,D,20210326,000000,15.28,15.44,14.3,14.55,5812094,0
PSFE.US,D,20210329,000000,14.5,15.42,14.46,15.39,7266551,0
PSFE.US,D,20210330,000000,15.9,16.07,14.95,15.1,13084394,0
PSFE.US,D,20210331,000000,15.49,15.65,13.5,13.5,15761100,0
PSFE.US,D,20210401,000000,13.93,14.65,13.8,14.6,9522000,0
PSFE.US,D,20210405,000000,14.85,14.88,14.1,14.15,6782100,0
PSFE.US,D,20210406,000000,13.96,14.55,13.83,14.3,5037300,0
PSFE.US,D,20210407,000000,14.32,14.95,13.96,14.07,6205300,0
PSFE.US,D,20210408,000000,14.16,14.35,13.85,14.24,3644700,0
PSFE.US,D,20210409,000000,14,14.08,13.81,13.87,3690500,0
PSFE.US,D,20210412,000000,13.8,13.82,13.02,13.24,5654200,0
PSFE.US,D,20210413,000000,13,13.55,12.8,13.39,4855300,0
PSFE.US,D,20210414,000000,13.58,14.3,13.56,13.73,5287700,0
PSFE.US,D,20210415,000000,14.19,14.3,13.75,13.99,4619900,0
PSFE.US,D,20210416,000000,13.99,13.99,13.4,13.49,3872400,0
PSFE.US,D,20210419,000000,13.02,13.2,12.62,13.05,5876900,0
PSFE.US,D,20210420,000000,12.75,12.87,12.2,12.83,7044400,0
PSFE.US,D,20210421,000000,12.42,13.12,12.39,12.93,4326400,0
PSFE.US,D,20210422,000000,12.93,13.4,12.71,13.26,4336800,0
PSFE.US,D,20210423,000000,13.45,13.77,13.28,13.5,2817000,0
PSFE.US,D,20210426,000000,13.98,14.07,13.72,13.95,5478347,0
PSFE.US,D,20210427,000000,14,14,13.87,13.93,3828007,0
PSFE.US,D,20210428,000000,13.8,13.88,13.7,13.79,2942638,0
PSFE.US,D,20210429,000000,14.05,14.06,13.55,13.84,4030790,0
PSFE.US,D,20210430,000000,13.6,14,13.53,13.8,4005561,0
PSFE.US,D,20210503,000000,14.01,14.07,13.58,13.9,4897127,0
PSFE.US,D,20210504,000000,13.72,13.7999,12.96,13.59,4875636,0
PSFE.US,D,20210505,000000,13.54,13.75,13.28,13.29,2514682,0
PSFE.US,D,20210506,000000,13.34,13.44,12.62,12.76,6616146,0
PSFE.US,D,20210507,000000,12.88,13.53,12.88,13.45,3749969,0
PSFE.US,D,20210510,000000,13.63,13.95,13.23,13.57,6346364,0
PSFE.US,D,20210511,000000,10.91,12.35,10.67,11.95,18819596,0
PSFE.US,D,20210512,000000,11.24,11.66,10.88,11.09,14669465,0
PSFE.US,D,20210513,000000,11.19,11.37,10.08,10.37,12966840,0
PSFE.US,D,20210514,000000,10.57,11.04,10.48,10.86,5120165,0
PSFE.US,D,20210517,000000,10.9,11.32,10.82,11.05,4199619,0
PSFE.US,D,20210518,000000,11.5,12.52,11.21,11.89,9324871,0
PSFE.US,D,20210519,000000,11.49,12.3,11.45,12.21,6113841,0
PSFE.US,D,20210520,000000,12.16,12.72,12.05,12.07,6037346,0
PSFE.US,D,20210521,000000,12.33,12.57,11.835,11.96,4225143,0
PSFE.US,D,20210524,000000,12.07,12.1513,11.57,11.64,6023173,0
PSFE.US,D,20210525,000000,11.52,11.82,11.31,11.5,6330436,0
PSFE.US,D,20210526,000000,11.65,11.68,11.35,11.54,5140981,0
PSFE.US,D,20210527,000000,11.59,11.6899,11.26,11.32,4172174,0
PSFE.US,D,20210528,000000,11.34,11.6,11.22,11.22,3848825,0
PSFE.US,D,20210601,000000,11.29,11.95,10.93,11.8,10338941,0
PSFE.US,D,20210602,000000,11.76,12.28,11.58,12.15,5989641,0
PSFE.US,D,20210603,000000,12,12.19,11.68,11.82,8980257,0
PSFE.US,D,20210604,000000,11.89,12.42,11.77,12.26,12897146,0
PSFE.US,D,20210607,000000,12.75,12.77,12.04,12.3,14993282,0
PSFE.US,D,20210608,000000,12.45,12.48,11.744,12.08,14404354,0
PSFE.US,D,20210609,000000,12.11,12.2471,11.96,12.03,5697416,0
PSFE.US,D,20210610,000000,11.99,12.18,11.81,11.83,6212130,0
PSFE.US,D,20210611,000000,11.91,12.02,11.78,11.95,5068234,0
PSFE.US,D,20210614,000000,12,12.015,11.56,11.65,6928906,0
PSFE.US,D,20210615,000000,11.61,11.64,11.25,11.33,6818583,0
PSFE.US,D,20210616,000000,11.25,11.4165,11.15,11.22,5110639,0
PSFE.US,D,20210617,000000,11.19,11.56,11.18,11.36,7160918,0
PSFE.US,D,20210618,000000,11.44,11.6794,11.235,11.25,7473760,0
PSFE.US,D,20210621,000000,11.29,11.38,11.16,11.25,4790041,0
PSFE.US,D,20210622,000000,11.28,11.37,11.03,11.1,4610630,0
PSFE.US,D,20210623,000000,11.11,11.4,11.11,11.2,9775077,0
PSFE.US,D,20210624,000000,11.23,11.41,11.07,11.11,8625330,0
PSFE.US,D,20210625,000000,12.27,13.19,11.92,12.21,57274668,0
