<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JIDA.US,D,20210708,000000,47.5,47.5,47.4106,47.4106,258,0
JIDA.US,D,20210709,000000,48.105,48.3159,48.105,48.3159,1045,0
JIDA.US,D,20210712,000000,48.38,48.57,48.38,48.5436,1129,0
JIDA.US,D,20210713,000000,48.2506,48.2506,48.2506,48.2506,65,0
JIDA.US,D,20210714,000000,48.55,48.55,48.4119,48.4119,287,0
JIDA.US,D,20210715,000000,48.01,48.08,47.91,48,2203,0
JIDA.US,D,20210716,000000,47.5506,47.5506,47.5506,47.5506,35,0
JIDA.US,D,20210719,000000,46.82,46.82,46.575,46.575,307,0
JIDA.US,D,20210720,000000,46.61,47.1657,46.61,47.1657,100,0
JIDA.US,D,20210721,000000,47.9098,47.9098,47.9098,47.9098,24,0
JIDA.US,D,20210722,000000,47.9312,47.9312,47.9312,47.9312,35,0
JIDA.US,D,20210723,000000,48.28,48.28,48.28,48.28,4,0
JIDA.US,D,20210726,000000,48.3169,48.3169,48.3169,48.3169,2,0
JIDA.US,D,20210727,000000,48.0002,48.0002,48.0002,48.0002,2,0
JIDA.US,D,20210728,000000,48.3514,48.3514,48.3514,48.3514,60,0
JIDA.US,D,20210729,000000,48.764,48.764,48.764,48.764,24,0
JIDA.US,D,20210730,000000,48.5346,48.5346,48.4971,48.5001,666,0
JIDA.US,D,20210802,000000,48.88,48.89,48.79,48.79,519,0
JIDA.US,D,20210803,000000,48.9017,49.1294,48.9017,49.1294,439,0
JIDA.US,D,20210804,000000,49.1167,49.1167,49.1167,49.1167,1,0
JIDA.US,D,20210805,000000,49.325,49.33,49.2871,49.3085,1001,0
JIDA.US,D,20210806,000000,49.12,49.1515,49.08,49.1515,1600,0
JIDA.US,D,20210809,000000,49.14,49.1716,49.139,49.1716,249,0
JIDA.US,D,20210810,000000,49.1601,49.2385,49.16,49.2385,803,0
JIDA.US,D,20210811,000000,49.58,49.58,49.5399,49.5754,480,0
JIDA.US,D,20210812,000000,49.5463,49.5463,49.5463,49.5463,1,0
