<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YALA.US,D,20200930,000000,9.75,10.99,6.98,7,13234144,0
YALA.US,D,20201001,000000,7.21,7.34,6.26,6.92,2438760,0
YALA.US,D,20201002,000000,6.45,6.84,6.4,6.7,1169209,0
YALA.US,D,20201005,000000,6.7,6.7,6.27,6.6,1038981,0
YALA.US,D,20201006,000000,6.62,7.49,6.6,7.41,1866195,0
YALA.US,D,20201007,000000,7.6,8.48,7.6,8.08,2542067,0
YALA.US,D,20201008,000000,8.3,9.43,8.08,9,2189728,0
YALA.US,D,20201009,000000,9.3,9.33,8.15,8.6,2059414,0
YALA.US,D,20201012,000000,8.71,9.06,8.51,8.51,549217,0
YALA.US,D,20201013,000000,8.51,8.6,8.15,8.35,431520,0
YALA.US,D,20201014,000000,8.28,8.5,7.5,7.76,993220,0
YALA.US,D,20201015,000000,7.75,8.99,7.5776,8.96,1498535,0
YALA.US,D,20201016,000000,9,9.05,8.58,8.91,1588304,0
YALA.US,D,20201019,000000,8.91,9.2,8.33,8.48,829848,0
YALA.US,D,20201020,000000,8.45,8.79,8.12,8.48,514775,0
YALA.US,D,20201021,000000,8.44,8.7,8.05,8.22,288074,0
YALA.US,D,20201022,000000,8.12,8.31,7.88,8.1,206901,0
YALA.US,D,20201023,000000,8.16,9.01,8.16,8.99,970069,0
YALA.US,D,20201026,000000,8.39,8.6975,8.12,8.15,560223,0
YALA.US,D,20201027,000000,8.28,8.53,8.25,8.52,225476,0
YALA.US,D,20201028,000000,8.2,8.5,8.14,8.22,508608,0
YALA.US,D,20201029,000000,8.22,9,8.22,8.8,698473,0
YALA.US,D,20201030,000000,8.55,8.85,8.2701,8.41,241491,0
YALA.US,D,20201102,000000,8.67,9.6799,8.52,8.65,1533760,0
YALA.US,D,20201103,000000,8.76,9.08,8.65,8.84,528414,0
YALA.US,D,20201104,000000,9,9.5,8.31,8.52,2401322,0
YALA.US,D,20201105,000000,8.64,9.15,8.62,8.94,536715,0
YALA.US,D,20201106,000000,8.94,10.35,8.82,10.29,2024530,0
YALA.US,D,20201109,000000,11.09,11.88,10.29,11.53,2402574,0
YALA.US,D,20201110,000000,9.82,10.46,9.08,9.51,2076032,0
YALA.US,D,20201111,000000,10.05,10.08,9.12,9.21,1039131,0
YALA.US,D,20201112,000000,9.21,9.36,8.68,9.03,1726500,0
YALA.US,D,20201113,000000,9.03,9.03,8.6,9,771344,0
YALA.US,D,20201116,000000,9,9.3,8.5,8.66,979763,0
YALA.US,D,20201117,000000,8.73,9.6,8.68,9.56,1353086,0
YALA.US,D,20201118,000000,9.3,9.96,9.01,9.02,1279054,0
YALA.US,D,20201119,000000,9.2,9.59,9.08,9.22,531291,0
YALA.US,D,20201120,000000,9.23,9.7717,9.15,9.6,912689,0
YALA.US,D,20201123,000000,9.82,10.8,9.7,10.65,2176539,0
YALA.US,D,20201124,000000,10.67,11.58,10.46,10.88,2198801,0
YALA.US,D,20201125,000000,10.7,11.04,10.05,10.5,1096053,0
YALA.US,D,20201127,000000,10.65,11.09,10.55,10.81,654539,0
YALA.US,D,20201130,000000,11,15.655,10.48,15.41,6590627,0
YALA.US,D,20201201,000000,15.4,15.5847,13.02,13.35,5017675,0
YALA.US,D,20201202,000000,13.5,13.78,12.61,13.48,1839596,0
YALA.US,D,20201203,000000,13.79,15,13.75,14.58,2393263,0
