<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PSPC-U.US,D,20210527,000000,10,10.13,10,10.05,156699,0
PSPC-U.US,D,20210528,000000,10.05,10.05,10.02,10.05,20926,0
PSPC-U.US,D,20210601,000000,10.14,10.25,10.12,10.12,73146,0
PSPC-U.US,D,20210602,000000,10.14,10.15,10.07,10.07,8124,0
PSPC-U.US,D,20210603,000000,10.03,10.15,10.02,10.02,207821,0
PSPC-U.US,D,20210604,000000,10.09,10.09,10.04,10.04,2462,0
PSPC-U.US,D,20210607,000000,10.0501,10.0501,10.0501,10.0501,207,0
PSPC-U.US,D,20210608,000000,10.15,10.15,10.05,10.0948,24932,0
PSPC-U.US,D,20210609,000000,10.1,10.1,10.06,10.06,19397,0
PSPC-U.US,D,20210610,000000,10.09,10.1,10.06,10.06,2600,0
PSPC-U.US,D,20210611,000000,10.05,10.08,10.05,10.08,7402,0
PSPC-U.US,D,20210615,000000,10.075,10.075,10.075,10.075,101,0
PSPC-U.US,D,20210616,000000,10.15,10.15,10.03,10.03,6405,0
PSPC-U.US,D,20210618,000000,10.1388,10.15,10.04,10.04,33759,0
PSPC-U.US,D,20210622,000000,10.15,10.15,10.05,10.15,5310,0
PSPC-U.US,D,20210623,000000,10.15,10.15,10.1499,10.1499,800,0
PSPC-U.US,D,20210624,000000,10.15,10.16,10.06,10.16,22965,0
PSPC-U.US,D,20210625,000000,10.06,10.16,10.05,10.13,41780,0
PSPC-U.US,D,20210629,000000,10.19,11.0399,10.14,10.365,406328,0
PSPC-U.US,D,20210630,000000,10.6,10.63,10.38,10.39,234594,0
PSPC-U.US,D,20210701,000000,10.4,10.42,10.36,10.4,314509,0
PSPC-U.US,D,20210702,000000,10.4,10.83,10.37,10.38,63219,0
PSPC-U.US,D,20210706,000000,10.48,10.5499,10.38,10.39,27767,0
PSPC-U.US,D,20210707,000000,10.47,10.47,10.35,10.38,72210,0
PSPC-U.US,D,20210708,000000,10.46,10.55,10.31,10.32,32198,0
PSPC-U.US,D,20210709,000000,10.38,10.38,10.3,10.33,32198,0
PSPC-U.US,D,20210712,000000,10.35,10.35,10.32,10.32,15645,0
PSPC-U.US,D,20210713,000000,10.4,10.4,10.29,10.3,99963,0
PSPC-U.US,D,20210714,000000,10.41,10.4175,10.24,10.25,113899,0
PSPC-U.US,D,20210715,000000,10.3,10.325,10.16,10.217,31181,0
PSPC-U.US,D,20210716,000000,10.29,10.325,10.18,10.19,15537,0
PSPC-U.US,D,20210719,000000,10.2,10.55,10.02,10.05,102106,0
PSPC-U.US,D,20210720,000000,10.1,10.35,10.1,10.3016,31896,0
