<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WRAC-WS.US,D,20210921,000000,0.4798,0.5201,0.4798,0.519899,243460,0
WRAC-WS.US,D,20210922,000000,0.47,0.53,0.47,0.5101,5978,0
WRAC-WS.US,D,20210923,000000,0.51,0.5201,0.5099,0.51,151255,0
WRAC-WS.US,D,20210924,000000,0.5301,0.5301,0.51,0.51,11879,0
WRAC-WS.US,D,20210927,000000,0.51,0.51,0.4501,0.509999,282282,0
WRAC-WS.US,D,20210928,000000,0.4995,0.51,0.4899,0.51,50446,0
WRAC-WS.US,D,20210929,000000,0.51,0.51,0.48,0.5,34099,0
WRAC-WS.US,D,20210930,000000,0.5,0.5,0.5,0.5,17000,0
WRAC-WS.US,D,20211001,000000,0.5025,0.5125,0.495,0.5,31006,0
WRAC-WS.US,D,20211004,000000,0.5,0.5,0.4939,0.4939,13939,0
WRAC-WS.US,D,20211005,000000,0.49,0.519799,0.485,0.4919,34387,0
WRAC-WS.US,D,20211006,000000,0.54,0.54,0.47,0.4797,207152,0
WRAC-WS.US,D,20211007,000000,0.5197,0.5299,0.4797,0.4946,1122,0
WRAC-WS.US,D,20211013,000000,0.4998,0.4998,0.4797,0.4848,1710,0
WRAC-WS.US,D,20211014,000000,0.515,0.515,0.465,0.4716,202853,0
WRAC-WS.US,D,20211015,000000,0.4716,0.4716,0.465,0.4695,19900,0
WRAC-WS.US,D,20211018,000000,0.4694,0.4694,0.4694,0.4694,1353,0
WRAC-WS.US,D,20211019,000000,0.4694,0.48,0.4649,0.48,62100,0
WRAC-WS.US,D,20211020,000000,0.4649,0.4649,0.4649,0.4649,200,0
WRAC-WS.US,D,20211021,000000,0.4773,0.5,0.46,0.5,319812,0
WRAC-WS.US,D,20211022,000000,0.5099,0.52,0.5099,0.515,212000,0
WRAC-WS.US,D,20211025,000000,0.5,0.5,0.5,0.5,200,0
WRAC-WS.US,D,20211026,000000,0.53,0.5349,0.5,0.53,35576,0
WRAC-WS.US,D,20211027,000000,0.535,0.55,0.5176,0.54,108069,0
