<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLNT.US,D,20150806,000000,12.748,14.225,12.089,14.067,18392389,0
PLNT.US,D,20150807,000000,14.128,16.221,14.067,16.045,2097857,0
PLNT.US,D,20150810,000000,17.144,18.182,16.203,16.423,1237854,0
PLNT.US,D,20150811,000000,16.423,16.493,14.691,15.28,760436,0
PLNT.US,D,20150812,000000,14.972,15.113,14.507,14.761,626150,0
PLNT.US,D,20150813,000000,14.99,16.502,14.946,16.318,531061,0
PLNT.US,D,20150814,000000,16.318,16.617,15.737,16.511,484541,0
PLNT.US,D,20150817,000000,16.388,17.047,16.124,16.792,256488,0
PLNT.US,D,20150818,000000,16.872,16.915,16.511,16.704,240905,0
PLNT.US,D,20150819,000000,16.485,16.704,15.078,15.641,661523,0
PLNT.US,D,20150820,000000,15.368,15.368,14.577,14.937,614207,0
PLNT.US,D,20150821,000000,14.524,14.718,14.076,14.278,584065,0
PLNT.US,D,20150824,000000,12.968,13.627,12.001,13.232,743615,0
PLNT.US,D,20150825,000000,14.823,14.823,13.197,13.425,344297,0
PLNT.US,D,20150826,000000,13.926,14.287,13.583,13.979,293568,0
PLNT.US,D,20150827,000000,14.331,14.507,13.926,14.111,287312,0
PLNT.US,D,20150828,000000,14.023,14.797,14.014,14.753,230214,0
PLNT.US,D,20150831,000000,15.605,15.693,15.342,15.658,512294,0
PLNT.US,D,20150901,000000,14.691,16.88,14.691,16.036,784137,0
PLNT.US,D,20150902,000000,16.652,16.704,15.641,16.265,644576,0
PLNT.US,D,20150903,000000,16.704,17.276,15.887,16.353,1026635,0
PLNT.US,D,20150904,000000,16.186,16.485,15.605,16.344,258763,0
PLNT.US,D,20150908,000000,16.476,16.687,16.001,16.159,553923,0
PLNT.US,D,20150909,000000,16.265,16.37,15.069,15.588,465887,0
PLNT.US,D,20150910,000000,15.72,16.045,15.386,15.509,422193,0
PLNT.US,D,20150911,000000,15.245,15.649,15.201,15.57,248867,0
PLNT.US,D,20150914,000000,15.57,15.817,14.946,15.474,395936,0
PLNT.US,D,20150915,000000,15.562,15.773,15.28,15.474,517526,0
PLNT.US,D,20150916,000000,15.263,15.904,15.219,15.869,861368,0
PLNT.US,D,20150917,000000,15.878,16.661,15.588,16.159,822127,0
PLNT.US,D,20150918,000000,15.773,16.573,15.465,15.676,1167220,0
PLNT.US,D,20150921,000000,15.799,16.485,15.394,15.72,409585,0
PLNT.US,D,20150922,000000,15.562,15.896,15.131,15.271,423120,0
PLNT.US,D,20150923,000000,15.324,16.159,15.298,15.518,349415,0
PLNT.US,D,20150924,000000,15.386,16.063,15.359,15.579,396233,0
PLNT.US,D,20150925,000000,15.86,16.08,15.386,15.913,862392,0
PLNT.US,D,20150928,000000,15.834,16.177,15.351,15.386,506645,0
PLNT.US,D,20150929,000000,15.412,16.071,15.183,15.386,520142,0
PLNT.US,D,20150930,000000,15.535,15.834,14.999,15.069,2767570,0
PLNT.US,D,20151001,000000,15.166,15.219,14.049,14.234,460427,0
PLNT.US,D,20151002,000000,14.172,14.392,13.636,14.014,204736,0
PLNT.US,D,20151005,000000,14.172,14.638,13.944,14.313,403115,0
PLNT.US,D,20151006,000000,14.252,14.665,14.093,14.419,323255,0
