<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWBK-U.US,D,20210111,000000,12,12.1499,11.81,12,762158,0
SWBK-U.US,D,20210112,000000,12.31,12.31,11.85,12,938696,0
SWBK-U.US,D,20210113,000000,12.3,12.3,12.01,12.15,964117,0
SWBK-U.US,D,20210114,000000,12.5,12.5,12.24,12.49,568522,0
SWBK-U.US,D,20210115,000000,12.5,12.616,12.05,12.17,395934,0
SWBK-U.US,D,20210119,000000,12.3,12.44,12.01,12.09,423898,0
SWBK-U.US,D,20210120,000000,12.1,12.29,11.87,12.18,661428,0
SWBK-U.US,D,20210121,000000,12.24,12.29,12.01,12.25,588040,0
SWBK-U.US,D,20210122,000000,12.29,12.51,12.21,12.42,470690,0
SWBK-U.US,D,20210125,000000,12.65,13.4668,12.28,12.39,323069,0
SWBK-U.US,D,20210126,000000,12.5,12.5,11.96,12.05,366997,0
SWBK-U.US,D,20210127,000000,11.79,11.9,11.37,11.78,476842,0
SWBK-U.US,D,20210128,000000,11.9,11.99,11.6,11.92,503362,0
SWBK-U.US,D,20210129,000000,11.97,11.97,11.57,11.78,126577,0
SWBK-U.US,D,20210201,000000,11.97,12.0428,11.85,11.95,206634,0
SWBK-U.US,D,20210202,000000,12.13,12.36,11.96,12.04,418243,0
SWBK-U.US,D,20210203,000000,12.18,12.4,12.1,12.29,156571,0
SWBK-U.US,D,20210204,000000,12.5,12.55,12.17,12.22,151586,0
SWBK-U.US,D,20210205,000000,12.48,12.7,12.26,12.36,370921,0
SWBK-U.US,D,20210208,000000,12.79,12.88,12.22,12.58,1802418,0
SWBK-U.US,D,20210209,000000,12.8,12.8,12.38,12.45,228487,0
SWBK-U.US,D,20210210,000000,12.66,12.68,12.36,12.48,676495,0
SWBK-U.US,D,20210211,000000,12.5,12.71,12.28,12.28,323954,0
SWBK-U.US,D,20210212,000000,12.5,12.57,12.18,12.4,108349,0
SWBK-U.US,D,20210216,000000,12.4,12.5,12.25,12.34,282423,0
SWBK-U.US,D,20210217,000000,12.4,12.4,12.05,12.07,206785,0
SWBK-U.US,D,20210218,000000,12.25,12.4999,12,12.3,296100,0
SWBK-U.US,D,20210219,000000,12.57,12.57,12.27,12.51,236358,0
SWBK-U.US,D,20210222,000000,12.58,12.58,12.31,12.44,94084,0
SWBK-U.US,D,20210223,000000,12.27,12.29,11.27,12.06,506085,0
SWBK-U.US,D,20210224,000000,11.94,11.99,11.6,11.82,121297,0
SWBK-U.US,D,20210225,000000,11.77,12.15,11.51,11.6,269016,0
SWBK-U.US,D,20210226,000000,11.64,11.6411,11.15,11.4,445638,0
SWBK-U.US,D,20210301,000000,11.44,11.93,11.41,11.73,223947,0
SWBK-U.US,D,20210302,000000,11.9,11.92,11.02,11.33,332035,0
SWBK-U.US,D,20210303,000000,11.17,11.67,10.81,11.03,307630,0
SWBK-U.US,D,20210304,000000,10.8,10.8954,10.45,10.56,269929,0
SWBK-U.US,D,20210305,000000,10.59,11,10.41,11,341095,0
SWBK-U.US,D,20210308,000000,11,11.3965,10.6,10.63,185763,0
SWBK-U.US,D,20210309,000000,10.68,10.84,10.67,10.84,111564,0
SWBK-U.US,D,20210310,000000,10.89,10.89,10.71,10.72,31385,0
SWBK-U.US,D,20210311,000000,10.81,10.8559,10.69,10.82,68492,0
SWBK-U.US,D,20210312,000000,10.82,10.82,10.65,10.71,90869,0
SWBK-U.US,D,20210315,000000,10.71,10.765,10.6,10.6,193808,0
SWBK-U.US,D,20210316,000000,10.65,10.76,10.51,10.64,326128,0
SWBK-U.US,D,20210317,000000,10.64,10.75,10.57,10.64,203154,0
SWBK-U.US,D,20210318,000000,10.5522,10.7,10.53,10.53,68100,0
SWBK-U.US,D,20210319,000000,10.46,10.7197,10.46,10.53,65254,0
SWBK-U.US,D,20210322,000000,10.55,10.78,10.53,10.63,62564,0
SWBK-U.US,D,20210323,000000,10.5937,10.6499,10.37,10.45,240065,0
SWBK-U.US,D,20210324,000000,10.5,10.5045,10.22,10.25,78812,0
SWBK-U.US,D,20210325,000000,10.07,10.24,10.03,10.15,226732,0
SWBK-U.US,D,20210326,000000,10.1,10.38,10.1,10.38,105739,0
SWBK-U.US,D,20210329,000000,10.28,10.39,10.26,10.35,132818,0
SWBK-U.US,D,20210330,000000,10.3556,10.3556,10.17,10.19,121218,0
SWBK-U.US,D,20210331,000000,10.1,10.24,10.1,10.18,43516,0
SWBK-U.US,D,20210401,000000,10.48,10.48,10.2895,10.37,40363,0
SWBK-U.US,D,20210405,000000,10.4,10.49,10.251,10.385,22388,0
SWBK-U.US,D,20210406,000000,10.25,10.34,10.25,10.315,84130,0
SWBK-U.US,D,20210407,000000,10.28,10.32,10.2,10.21,28470,0
SWBK-U.US,D,20210408,000000,10.15,10.56,10.15,10.56,40641,0
SWBK-U.US,D,20210409,000000,10.49,10.542,10.49,10.51,4340,0
SWBK-U.US,D,20210412,000000,10.35,10.59,10.35,10.48,88315,0
SWBK-U.US,D,20210413,000000,10.48,10.48,10.4,10.4,16012,0
SWBK-U.US,D,20210414,000000,10.15,10.52,10.15,10.49,23133,0
SWBK-U.US,D,20210415,000000,10.47,10.5,10.37,10.45,53935,0
SWBK-U.US,D,20210416,000000,10.4,10.44,10.3,10.32,92398,0
SWBK-U.US,D,20210419,000000,10.2,10.37,10.2,10.305,88964,0
SWBK-U.US,D,20210420,000000,10.22,10.31,10.2,10.2,34380,0
SWBK-U.US,D,20210421,000000,10.15,10.2745,10.15,10.2087,17343,0
SWBK-U.US,D,20210422,000000,10.17,10.43,10.17,10.34,15756,0
SWBK-U.US,D,20210423,000000,10.5,10.5,10.26,10.32,2976,0
SWBK-U.US,D,20210426,000000,10.2,10.27,10.1601,10.18,32957,0
SWBK-U.US,D,20210427,000000,10.1999,10.25,10.18,10.23,12760,0
SWBK-U.US,D,20210428,000000,10.25,10.25,10.2,10.25,16350,0
SWBK-U.US,D,20210429,000000,10.16,10.37,10.16,10.37,9079,0
SWBK-U.US,D,20210430,000000,10.17,10.39,10.17,10.39,6278,0
SWBK-U.US,D,20210503,000000,10.17,10.38,10.17,10.35,11825,0
SWBK-U.US,D,20210504,000000,10.17,10.35,10.17,10.3,141364,0
SWBK-U.US,D,20210505,000000,10.15,10.32,10.15,10.3,21232,0
SWBK-U.US,D,20210506,000000,10.15,10.3,10.15,10.24,42349,0
SWBK-U.US,D,20210507,000000,10.15,10.285,10.15,10.22,16376,0
SWBK-U.US,D,20210510,000000,10.2,10.2799,10.16,10.181,89669,0
SWBK-U.US,D,20210511,000000,10.15,10.23,10.05,10.21,94437,0
SWBK-U.US,D,20210512,000000,10.16,10.2,10.06,10.1,2235010,0
SWBK-U.US,D,20210513,000000,10.15,10.15,10.06,10.1,156665,0
SWBK-U.US,D,20210514,000000,10.15,10.17,10.06,10.16,149405,0
SWBK-U.US,D,20210517,000000,10.02,10.11,10.02,10.0404,35476,0
SWBK-U.US,D,20210518,000000,10,10.07,10,10.04,23754,0
SWBK-U.US,D,20210519,000000,9.99,10.1,9.99,10.08,19839,0
SWBK-U.US,D,20210520,000000,10.05,10.085,10.04,10.08,94843,0
SWBK-U.US,D,20210521,000000,10,10.1362,10,10.06,8527,0
SWBK-U.US,D,20210524,000000,10,10.09,10,10.0686,1655757,0
SWBK-U.US,D,20210525,000000,10.03,10.09,10.02,10.09,199352,0
SWBK-U.US,D,20210526,000000,10.05,10.12,10.05,10.0924,46904,0
SWBK-U.US,D,20210527,000000,10.01,10.09,10.01,10.08,6800,0
SWBK-U.US,D,20210528,000000,10.01,10.075,10.01,10.06,102677,0
SWBK-U.US,D,20210601,000000,10.07,10.09,10.06,10.09,17959,0
SWBK-U.US,D,20210602,000000,10.02,10.08,10.02,10.08,10745,0
SWBK-U.US,D,20210603,000000,10.02,10.1,10.02,10.06,10056,0
SWBK-U.US,D,20210604,000000,10.06,10.11,10.02,10.09,22761,0
SWBK-U.US,D,20210607,000000,10.05,10.13,10.05,10.1,6455,0
SWBK-U.US,D,20210608,000000,10,10.15,10,10.13,7057,0
SWBK-U.US,D,20210609,000000,10.16,10.19,10.11,10.14,7078,0
SWBK-U.US,D,20210610,000000,10.1201,10.165,10.12,10.165,13739,0
SWBK-U.US,D,20210611,000000,10.19,10.19,10.12,10.12,44772,0
SWBK-U.US,D,20210614,000000,10.19,10.19,10.11,10.11,17174,0
SWBK-U.US,D,20210615,000000,10.1126,10.14,10.1,10.12,54165,0
SWBK-U.US,D,20210616,000000,10.13,10.166,10.1,10.1,15053,0
SWBK-U.US,D,20210617,000000,10.1,10.1207,10.1,10.1207,6200,0
SWBK-U.US,D,20210618,000000,10,10.135,10,10.1,88925,0
SWBK-U.US,D,20210621,000000,10.01,10.15,10.01,10.13,48075,0
SWBK-U.US,D,20210622,000000,10.08,10.1799,10.07,10.1202,75706,0
SWBK-U.US,D,20210623,000000,10.14,10.17,10.14,10.17,4656,0
SWBK-U.US,D,20210624,000000,10.168,10.168,10.14,10.15,3205,0
SWBK-U.US,D,20210625,000000,10.15,10.15,10.13,10.14,224397,0
SWBK-U.US,D,20210628,000000,10.11,10.14,10.11,10.12,199266,0
SWBK-U.US,D,20210629,000000,10.02,10.14,10.02,10.14,230595,0
SWBK-U.US,D,20210630,000000,10.14,10.14,10.13,10.13,111353,0
SWBK-U.US,D,20210701,000000,10.13,10.16,10.13,10.13,17672,0
SWBK-U.US,D,20210702,000000,10.04,10.14,10.04,10.14,4972,0
SWBK-U.US,D,20210706,000000,10.37,10.37,10.1101,10.1483,7616,0
SWBK-U.US,D,20210707,000000,10.14,10.16,10.14,10.16,2890,0
SWBK-U.US,D,20210708,000000,10.12,10.13,10.11,10.11,21332,0
SWBK-U.US,D,20210709,000000,10.1333,10.155,10.0912,10.13,6800,0
SWBK-U.US,D,20210712,000000,10.14,10.145,10.12,10.12,5688,0
SWBK-U.US,D,20210713,000000,10.14,10.18,10.14,10.18,13187,0
SWBK-U.US,D,20210714,000000,10.1601,10.18,10.15,10.15,11726,0
SWBK-U.US,D,20210715,000000,10.13,10.17,10.13,10.14,19763,0
SWBK-U.US,D,20210716,000000,10.17,10.18,10.15,10.159,15459,0
SWBK-U.US,D,20210719,000000,10.12,10.17,10.12,10.17,11891,0
SWBK-U.US,D,20210720,000000,10.12,10.14,10.12,10.1201,1309,0
SWBK-U.US,D,20210721,000000,10.13,10.1573,10.02,10.15,9444,0
SWBK-U.US,D,20210722,000000,10.1,10.15,10.09,10.1,7337,0
SWBK-U.US,D,20210723,000000,10.06,10.17,10.06,10.135,6733,0
SWBK-U.US,D,20210726,000000,10.03,10.15,10.03,10.13,7024,0
SWBK-U.US,D,20210727,000000,10.14,10.14,10.1,10.1,2941,0
SWBK-U.US,D,20210728,000000,10.05,10.14,10.05,10.14,15960,0
SWBK-U.US,D,20210729,000000,10.105,10.15,10.08,10.11,13901,0
SWBK-U.US,D,20210730,000000,10.11,10.15,10.0801,10.0801,24105,0
SWBK-U.US,D,20210802,000000,10.11,10.18,10.0909,10.18,7285,0
SWBK-U.US,D,20210803,000000,10.12,10.16,10.095,10.16,35950,0
SWBK-U.US,D,20210804,000000,10.05,10.15,10.05,10.14,9315,0
SWBK-U.US,D,20210805,000000,10.14,10.16,10.1,10.135,11309,0
SWBK-U.US,D,20210806,000000,10,10.17,10,10.15,13391,0
SWBK-U.US,D,20210809,000000,10.06,10.1509,10.06,10.1509,7498,0
SWBK-U.US,D,20210810,000000,10.07,10.16,10.07,10.15,12378,0
SWBK-U.US,D,20210811,000000,10.18,10.18,10.12,10.13,20168,0
SWBK-U.US,D,20210812,000000,10.13,10.15,10.13,10.15,4125,0
SWBK-U.US,D,20210813,000000,10.07,10.15,10.07,10.15,4532,0
SWBK-U.US,D,20210816,000000,10.13,10.17,10.11,10.158,6780,0
SWBK-U.US,D,20210817,000000,10.165,10.2,10.14,10.2,17924,0
