<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TWNT-WS.US,D,20210427,000000,1.1,1.1,1.1,1.1,100,0
TWNT-WS.US,D,20210428,000000,0.968,0.968,0.5633,0.5633,1533,0
TWNT-WS.US,D,20210429,000000,0.6309,0.699,0.57,0.699,935,0
TWNT-WS.US,D,20210503,000000,0.68,0.7,0.6305,0.64,26066,0
TWNT-WS.US,D,20210504,000000,0.62,0.6399,0.5999,0.6398,12844,0
TWNT-WS.US,D,20210505,000000,0.64,0.69,0.64,0.6799,2067,0
TWNT-WS.US,D,20210506,000000,0.68,0.68,0.65,0.68,448,0
TWNT-WS.US,D,20210507,000000,0.73,0.73,0.73,0.73,1347,0
TWNT-WS.US,D,20210510,000000,0.73,0.73,0.711579,0.72,632,0
TWNT-WS.US,D,20210512,000000,0.67,0.6718,0.67,0.67,1500,0
TWNT-WS.US,D,20210513,000000,0.7,0.7,0.7,0.7,200,0
TWNT-WS.US,D,20210514,000000,0.6301,0.73,0.6301,0.71,61224,0
TWNT-WS.US,D,20210517,000000,0.71,0.7125,0.71,0.71,67372,0
TWNT-WS.US,D,20210518,000000,0.71,0.71,0.71,0.71,12300,0
TWNT-WS.US,D,20210519,000000,0.74,0.74,0.73,0.73,9780,0
TWNT-WS.US,D,20210520,000000,0.6501,0.6501,0.6,0.6,2326,0
TWNT-WS.US,D,20210521,000000,0.68,0.68,0.68,0.68,376,0
TWNT-WS.US,D,20210528,000000,0.71,0.71,0.71,0.71,200,0
TWNT-WS.US,D,20210601,000000,0.7101,0.7101,0.71,0.71,6307,0
TWNT-WS.US,D,20210602,000000,0.71,0.73,0.71,0.73,123479,0
TWNT-WS.US,D,20210604,000000,0.8,0.8,0.8,0.8,180,0
TWNT-WS.US,D,20210608,000000,0.8,0.83,0.8,0.8,1500,0
TWNT-WS.US,D,20210609,000000,0.83,0.835,0.83,0.83,53141,0
TWNT-WS.US,D,20210610,000000,0.9201,0.9201,0.9088,0.9088,3239,0
