<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
NUDV.US,D,20210929,000000,24.83,24.93,24.8227,24.8336,91211,0
NUDV.US,D,20210930,000000,24.4422,24.4422,24.4422,24.4422,3,0
NUDV.US,D,20211001,000000,24.6371,24.6371,24.6371,24.6371,19,0
NUDV.US,D,20211004,000000,24.501,24.501,24.501,24.501,2,0
NUDV.US,D,20211005,000000,24.73,24.8,24.6977,24.6977,1019,0
NUDV.US,D,20211006,000000,24.731,24.731,24.731,24.731,52,0
NUDV.US,D,20211007,000000,24.9083,24.9083,24.9083,24.9083,3,0
NUDV.US,D,20211008,000000,24.873,24.873,24.873,24.873,43,0
NUDV.US,D,20211011,000000,25.005,25.005,24.783,24.783,301,0
NUDV.US,D,20211012,000000,24.73,24.73,24.7102,24.7102,103,0
NUDV.US,D,20211013,000000,24.67,24.7867,24.67,24.7867,356,0
NUDV.US,D,20211014,000000,25.2099,25.2099,25.2099,25.2099,1,0
NUDV.US,D,20211015,000000,25.3543,25.3543,25.3543,25.3543,7,0
NUDV.US,D,20211018,000000,25.25,25.2755,25.25,25.2755,239,0
NUDV.US,D,20211019,000000,25.4589,25.4589,25.4589,25.4589,1,0
NUDV.US,D,20211020,000000,25.68,25.699,25.68,25.699,117,0
NUDV.US,D,20211021,000000,25.6777,25.6777,25.6777,25.6777,1,0
NUDV.US,D,20211022,000000,25.7212,25.7212,25.7212,25.7212,16,0
NUDV.US,D,20211025,000000,25.7102,25.7102,25.7102,25.7102,56,0
NUDV.US,D,20211026,000000,25.83,25.83,25.7561,25.7561,615,0
NUDV.US,D,20211027,000000,25.59,25.59,25.458,25.458,386,0
