<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
WQGA-WS.US,D,20211006,000000,0.5,0.5,0.5,0.5,42400,0
WQGA-WS.US,D,20211007,000000,0.5,0.5,0.5,0.5,153000,0
WQGA-WS.US,D,20211008,000000,0.5,0.5,0.485,0.5,41600,0
WQGA-WS.US,D,20211011,000000,0.5,0.5501,0.49,0.5501,523372,0
WQGA-WS.US,D,20211012,000000,0.52,0.55,0.52,0.55,14996,0
WQGA-WS.US,D,20211013,000000,0.5402,0.56,0.5402,0.5549,14700,0
WQGA-WS.US,D,20211014,000000,0.5205,0.55,0.519899,0.5304,59046,0
WQGA-WS.US,D,20211015,000000,0.5201,0.535,0.515,0.53,63500,0
WQGA-WS.US,D,20211018,000000,0.56,0.56,0.49,0.53,4785,0
WQGA-WS.US,D,20211019,000000,0.5151,0.53,0.51,0.53,24846,0
WQGA-WS.US,D,20211020,000000,0.5283,0.5299,0.52,0.5299,35000,0
WQGA-WS.US,D,20211021,000000,0.5299,0.56,0.52,0.56,178550,0
WQGA-WS.US,D,20211022,000000,0.56,0.565,0.56,0.565,9700,0
WQGA-WS.US,D,20211025,000000,0.5499,0.5699,0.5498,0.5699,2600,0
WQGA-WS.US,D,20211026,000000,0.5699,0.619899,0.55,0.6098,172840,0
WQGA-WS.US,D,20211027,000000,0.551101,0.59,0.551101,0.59,10135,0
