<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
RSPY.US,D,20210825,000000,25.28,25.28,25.0001,25.0715,11695,0
RSPY.US,D,20210826,000000,25.0201,25.05,24.9216,24.9216,11367,0
RSPY.US,D,20210827,000000,25.01,25.14,24.978,25.1296,8902,0
RSPY.US,D,20210830,000000,25.23,25.29,25.1899,25.2449,13071,0
RSPY.US,D,20210831,000000,25.48,25.48,25.2233,25.2233,132862,0
RSPY.US,D,20210901,000000,25.35,25.35,25.24,25.241,7814,0
RSPY.US,D,20210902,000000,25.34,25.34,25.29,25.3015,10016,0
RSPY.US,D,20210903,000000,25.33,25.3347,25.27,25.2959,6017,0
RSPY.US,D,20210907,000000,25.13,25.24,25.1101,25.2006,4386,0
RSPY.US,D,20210908,000000,25.15,25.16,25.14,25.1552,6178,0
RSPY.US,D,20210909,000000,25.15,25.15,25.0243,25.0243,398,0
RSPY.US,D,20210910,000000,25,25,24.8197,24.8197,7429,0
RSPY.US,D,20210913,000000,24.87,24.9,24.78,24.8415,7515,0
RSPY.US,D,20210914,000000,24.7299,24.7299,24.69,24.7132,439,0
RSPY.US,D,20210915,000000,24.76,24.92,24.76,24.8964,5842,0
RSPY.US,D,20210916,000000,24.79,24.8289,24.79,24.8289,5162,0
RSPY.US,D,20210917,000000,24.7,24.7,24.62,24.6408,768,0
RSPY.US,D,20210920,000000,24.35,24.39,24,24.226,2850,0
RSPY.US,D,20210921,000000,24.4,24.46,24.22,24.2373,14571,0
RSPY.US,D,20210922,000000,24.3,24.47,24.3,24.4028,7545,0
RSPY.US,D,20210923,000000,24.5,24.76,24.5,24.6854,5619,0
RSPY.US,D,20210924,000000,24.71,24.7127,24.71,24.7127,5105,0
RSPY.US,D,20210927,000000,24.6311,24.6311,24.5844,24.5844,1025,0
RSPY.US,D,20210928,000000,24.35,24.35,24.0686,24.0686,7075,0
RSPY.US,D,20210929,000000,24.19,24.28,24.1182,24.1182,1253,0
RSPY.US,D,20210930,000000,24.05,24.05,23.8945,23.8945,543,0
RSPY.US,D,20211001,000000,23.88,24.1424,23.88,24.1424,314,0
RSPY.US,D,20211004,000000,23.72,23.7876,23.72,23.7876,329,0
RSPY.US,D,20211005,000000,24.08,24.08,24.0551,24.0551,637,0
RSPY.US,D,20211006,000000,23.92,24.142,23.8,24.142,6141,0
RSPY.US,D,20211007,000000,24.29,24.3096,24.29,24.3096,146,0
RSPY.US,D,20211008,000000,24.32,24.33,24.2516,24.2516,5041,0
RSPY.US,D,20211011,000000,24.36,24.365,24.0866,24.0866,5801,0
RSPY.US,D,20211012,000000,24.08,24.09,23.9912,23.9912,3511,0
RSPY.US,D,20211013,000000,24,24.0509,24,24.0509,143,0
RSPY.US,D,20211014,000000,24.35,24.4455,24.35,24.4455,2126,0
RSPY.US,D,20211015,000000,24.63,24.63,24.6116,24.6116,212,0
RSPY.US,D,20211018,000000,24.672,24.672,24.672,24.672,30,0
RSPY.US,D,20211019,000000,24.84,24.8876,24.84,24.8876,5020,0
RSPY.US,D,20211020,000000,25.0025,25.0025,25.0025,25.0025,159,0
RSPY.US,D,20211021,000000,25.0784,25.0784,25.0784,25.0784,100,0
RSPY.US,D,20211022,000000,24.97,25.04,24.97,25.0389,1578,0
RSPY.US,D,20211025,000000,25.125,25.125,25.1142,25.1142,226,0
RSPY.US,D,20211026,000000,25.1623,25.1623,25.1623,25.1623,84,0
RSPY.US,D,20211027,000000,25.1101,25.1101,25.0011,25.0011,249,0
