<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GECCO.US,D,20210625,000000,24.82,24.8499,24.7,24.75,34536,0
GECCO.US,D,20210628,000000,24.78,24.8,24.63,24.63,11194,0
GECCO.US,D,20210629,000000,24.65,24.7,24.6,24.61,41306,0
GECCO.US,D,20210630,000000,24.69,24.75,24.69,24.7,4313,0
GECCO.US,D,20210701,000000,24.7,24.8,24.7,24.77,37291,0
GECCO.US,D,20210702,000000,25,25,24.77,24.94,6098,0
GECCO.US,D,20210706,000000,24.95,24.95,24.9,24.925,18250,0
GECCO.US,D,20210707,000000,24.9,24.95,24.9,24.93,9377,0
GECCO.US,D,20210708,000000,24.9,25.1,24.9,25.03,32025,0
GECCO.US,D,20210709,000000,25,25,24.97,25,11839,0
GECCO.US,D,20210712,000000,25.02,25.08,25.0099,25.08,17826,0
GECCO.US,D,20210713,000000,25.07,25.07,25.05,25.05,5200,0
GECCO.US,D,20210714,000000,25.07,25.07,25.01,25.05,6670,0
GECCO.US,D,20210715,000000,25.07,25.07,24.9,25,11066,0
GECCO.US,D,20210716,000000,25.015,25.0644,24.9944,25,5383,0
GECCO.US,D,20210719,000000,25,25.07,24.95,25.07,14464,0
GECCO.US,D,20210720,000000,25.07,25.1,25,25.05,18410,0
GECCO.US,D,20210721,000000,25.1,25.2,25.075,25.2,7067,0
GECCO.US,D,20210722,000000,25.2,25.2,25.096,25.18,9110,0
GECCO.US,D,20210723,000000,25.165,25.2,25.16,25.2,8220,0
GECCO.US,D,20210726,000000,25.2,25.5,25.1917,25.4,67834,0
GECCO.US,D,20210727,000000,25.39,26,25.1,25.39,47870,0
GECCO.US,D,20210728,000000,25.02,25.4,25.02,25.36,12270,0
GECCO.US,D,20210729,000000,25.3485,25.4,25.18,25.386,15000,0
GECCO.US,D,20210802,000000,25.42,25.42,25.2,25.4,3459,0
GECCO.US,D,20210803,000000,25.39,25.42,25.04,25.4,3360,0
GECCO.US,D,20210804,000000,25.11,25.4,25.11,25.4,1550,0
