<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GOVX.US,D,20191202,000000,28,28,22,26,240,0
GOVX.US,D,20191203,000000,24,28,24,26,103,0
GOVX.US,D,20191204,000000,24,28,24,24,147,0
GOVX.US,D,20191205,000000,28,28,24,26,131,0
GOVX.US,D,20191206,000000,32,32,24,28,114,0
GOVX.US,D,20191209,000000,24,32,24,24,336,0
GOVX.US,D,20191210,000000,24,28,20,24,228,0
GOVX.US,D,20191211,000000,24,24,20,20,113,0
GOVX.US,D,20191212,000000,24,24,20,24,101,0
GOVX.US,D,20191213,000000,24,24,20,20,127,0
GOVX.US,D,20191216,000000,24,24,16,20,1141,0
GOVX.US,D,20191217,000000,20,20,12,20,362,0
GOVX.US,D,20191218,000000,16,20,14,20,204,0
GOVX.US,D,20191219,000000,18,20,12,16,338,0
GOVX.US,D,20191220,000000,12,16,12,16,472,0
GOVX.US,D,20191223,000000,16,16,12,14,24,0
GOVX.US,D,20191224,000000,12,16,12,14,28,0
GOVX.US,D,20191226,000000,16,16,12,16,109,0
GOVX.US,D,20191227,000000,16,16,12,16,73,0
GOVX.US,D,20191230,000000,16,16,12,16,84,0
GOVX.US,D,20191231,000000,12,16,12,12,234,0
GOVX.US,D,20200102,000000,16,16,12,16,112,0
GOVX.US,D,20200103,000000,16,16,12,12,218,0
GOVX.US,D,20200106,000000,16,24,12,18,2175,0
GOVX.US,D,20200107,000000,20,20,16,20,296,0
GOVX.US,D,20200108,000000,20,20,16,20,81,0
GOVX.US,D,20200109,000000,20,20,16,20,52,0
GOVX.US,D,20200110,000000,20,20,16,20,248,0
GOVX.US,D,20200113,000000,20,24,18,20,236,0
GOVX.US,D,20200114,000000,20,34,20,34,354,0
GOVX.US,D,20200115,000000,36,44,28,30,971,0
GOVX.US,D,20200116,000000,32,32,24,28,582,0
GOVX.US,D,20200117,000000,28,28,20,28,266,0
GOVX.US,D,20200121,000000,28,60,20,52,1892,0
GOVX.US,D,20200122,000000,40,52,28,37.2,1440,0
GOVX.US,D,20200123,000000,36,40,24,36,1475,0
GOVX.US,D,20200124,000000,38,43.4,30,36,8784,0
GOVX.US,D,20200127,000000,40,47.8,28.2,30,48745,0
GOVX.US,D,20200128,000000,29.8,31,11.2,12.6,23628,0
GOVX.US,D,20200129,000000,12.2,13,7.6,10.2,5962,0
GOVX.US,D,20200130,000000,10.6,13.6,10,13,5597,0
GOVX.US,D,20200131,000000,13.5,14.3,12,13.2,6829,0
GOVX.US,D,20200203,000000,13.2,15.6,9,9,9051,0
GOVX.US,D,20200204,000000,10.78,11,6.6,10.53,1954,0
GOVX.US,D,20200205,000000,11,11,8.6,9.6,2306,0
GOVX.US,D,20200206,000000,9.6,10.4,8,9.6,8637,0
GOVX.US,D,20200207,000000,9.2,9.2,6.8,7.62,2252,0
GOVX.US,D,20200210,000000,7,8.3,7,7.9,1569,0
GOVX.US,D,20200211,000000,7.9,8.2,6.69,6.69,4745,0
GOVX.US,D,20200212,000000,8.3,8.3,4.4,4.71,10060,0
GOVX.US,D,20200213,000000,5.6,5.6,3.6,3.8,6710,0
GOVX.US,D,20200214,000000,4.4,4.4,3.5,4.1,15747,0
GOVX.US,D,20200218,000000,5.6,5.6,3.71,4,3181,0
GOVX.US,D,20200219,000000,5.6,5.6,2.3,4,3014,0
GOVX.US,D,20200220,000000,4,4,3.04,3.6,6105,0
GOVX.US,D,20200221,000000,4,4,3.04,3.4,3047,0
GOVX.US,D,20200224,000000,3.04,5.6,3.04,4.42,33028,0
GOVX.US,D,20200226,000000,3.4,5,3.36,4.82,32128,0
GOVX.US,D,20200227,000000,6,8.4,5.25,6.89,97521,0
GOVX.US,D,20200228,000000,8.3,8.3,3.8,4,134266,0
GOVX.US,D,20200302,000000,5.2,6,4.4,5.94,65641,0
GOVX.US,D,20200303,000000,5.9,17,5.75,8.8,207638,0
GOVX.US,D,20200304,000000,11.1,12,9,9.8,196652,0
GOVX.US,D,20200305,000000,10.84,11.6,7.02,7.4,235858,0
GOVX.US,D,20200306,000000,7.4,8.74,5.4,6,103810,0
GOVX.US,D,20200309,000000,6.9,11.56,6.45,8.1,307650,0
GOVX.US,D,20200310,000000,8.6,9.3,4.5,5.6,163020,0
GOVX.US,D,20200311,000000,5.83,7.13,5.5,6,90103,0
GOVX.US,D,20200312,000000,6.39,7.18,5.82,6.38,62930,0
GOVX.US,D,20200313,000000,7,7.42,4.4,4.82,65218,0
GOVX.US,D,20200316,000000,5.6,6.09,4.82,5.94,63387,0
GOVX.US,D,20200317,000000,5.82,6.4,4.62,5.3,36254,0
GOVX.US,D,20200318,000000,5.7,6.9,5.32,6.5,72759,0
GOVX.US,D,20200319,000000,6.6,7.4,5.54,5.76,51432,0
GOVX.US,D,20200320,000000,5.76,6.2,5.2,5.68,25562,0
GOVX.US,D,20200323,000000,5.9,5.9,5.2,5.27,23707,0
GOVX.US,D,20200324,000000,5.38,5.38,4.4,4.7,34910,0
GOVX.US,D,20200325,000000,4.75,4.75,3.52,4.17,58215,0
GOVX.US,D,20200326,000000,4.78,4.78,3.6,3.98,19116,0
GOVX.US,D,20200327,000000,3.98,4.03,3.79,4,11942,0
GOVX.US,D,20200330,000000,5,5,3.8,4.2,13813,0
GOVX.US,D,20200331,000000,4.68,4.9,4.2,4.8,17742,0
GOVX.US,D,20200401,000000,4.98,4.98,4.5,4.8,15880,0
GOVX.US,D,20200402,000000,4.4,5.2,4.4,4.4,8192,0
GOVX.US,D,20200403,000000,4.7,4.7,4.4,4.48,8025,0
GOVX.US,D,20200406,000000,4.7,4.7,3.8,4.4,12145,0
GOVX.US,D,20200407,000000,4.6,4.6,3.82,3.82,12751,0
GOVX.US,D,20200408,000000,4,4.4,3.8,4,7136,0
GOVX.US,D,20200409,000000,4.8,4.8,4,4.1,6176,0
GOVX.US,D,20200413,000000,4.2,4.21,3.99,4.2,6191,0
GOVX.US,D,20200414,000000,4.21,5,3.8,4.8,28003,0
GOVX.US,D,20200415,000000,4.8,5.8,4.2,5.2,17879,0
GOVX.US,D,20200416,000000,5.4,5.4,4.4,4.95,7694,0
GOVX.US,D,20200417,000000,4.72,4.88,4.4,4.88,10564,0
GOVX.US,D,20200420,000000,4.4,5.18,4.4,5,12681,0
GOVX.US,D,20200421,000000,5,5,4.4,4.8,9031,0
GOVX.US,D,20200422,000000,5.4,5.4,4.6,4.6,16001,0
GOVX.US,D,20200423,000000,5,6,4.4,5.4,50803,0
GOVX.US,D,20200424,000000,5.6,5.6,4.7,5.4,13492,0
GOVX.US,D,20200427,000000,5.8,6.4,5.04,6,17089,0
GOVX.US,D,20200428,000000,5.26,7.2,5.26,6.1,15658,0
GOVX.US,D,20200429,000000,6.4,6.8,5.6,6.38,28789,0
GOVX.US,D,20200430,000000,6.15,8.5,6.15,8,51047,0
GOVX.US,D,20200501,000000,9,9.7,7.4,8.55,43808,0
GOVX.US,D,20200504,000000,8.6,17.8,8.55,11,146783,0
GOVX.US,D,20200505,000000,10.72,11.2,8.4,9,50152,0
GOVX.US,D,20200506,000000,8.41,10.88,8.41,9.8,23989,0
GOVX.US,D,20200507,000000,10,10.74,8.86,9.96,22692,0
GOVX.US,D,20200508,000000,9.9,9.9,8.51,9,20796,0
GOVX.US,D,20200511,000000,8.8,9.26,7.2,9.26,44969,0
GOVX.US,D,20200512,000000,7.6,9.2,7.6,8.7,25929,0
GOVX.US,D,20200513,000000,8.98,9,7.6,7.82,20305,0
GOVX.US,D,20200514,000000,7.98,8,6.24,7.6,26922,0
GOVX.US,D,20200515,000000,8,8.78,7,8.6,19645,0
GOVX.US,D,20200518,000000,8,8.7,7.7,8.6,21502,0
GOVX.US,D,20200519,000000,8.6,10.6,8.3,9.3,35720,0
GOVX.US,D,20200520,000000,9.6,10,8.65,9.58,21869,0
GOVX.US,D,20200521,000000,9.58,9.58,8.65,9,7621,0
GOVX.US,D,20200522,000000,9,9,8.2,8.3,14520,0
GOVX.US,D,20200526,000000,7.6,9.4,7,8,25932,0
GOVX.US,D,20200527,000000,7.45,8,7.1,7.53,13772,0
GOVX.US,D,20200528,000000,7.5,7.7,7.1,7.4,8945,0
GOVX.US,D,20200529,000000,8.2,8.4,7.1,7.8,5645,0
GOVX.US,D,20200601,000000,7.2,8.2,7.2,7.5,12004,0
GOVX.US,D,20200602,000000,7.6,7.8,7.2,7.4,9404,0
GOVX.US,D,20200603,000000,7.2,7.9,7,7,18182,0
GOVX.US,D,20200604,000000,7.09,7.18,6.23,6.8,17944,0
GOVX.US,D,20200605,000000,6.6,6.8,5.8,6.6,26232,0
GOVX.US,D,20200608,000000,6.6,7.6,5.9,7.6,31581,0
GOVX.US,D,20200609,000000,7.6,7.6,6.4,6.75,10754,0
GOVX.US,D,20200610,000000,7.2,8,4.6,7.2,44082,0
GOVX.US,D,20200611,000000,7.2,7.2,6.2,6.8,15834,0
GOVX.US,D,20200612,000000,6.8,6.8,6,6.38,12204,0
GOVX.US,D,20200615,000000,6.4,6.9,6.1,6.8,9321,0
GOVX.US,D,20200616,000000,6.8,7,6.2,6.9,5797,0
GOVX.US,D,20200617,000000,7.17,8.58,6.6,7,33197,0
GOVX.US,D,20200618,000000,7.3,8.6,6.9,7.69,21394,0
GOVX.US,D,20200619,000000,7.5,7.88,7.16,7.5,6405,0
GOVX.US,D,20200622,000000,7.6,7.6,6.9,7.5,7119,0
GOVX.US,D,20200623,000000,7.8,7.8,6.8,7.2,7324,0
GOVX.US,D,20200624,000000,7.4,7.46,7.04,7.4,4861,0
GOVX.US,D,20200625,000000,7.4,7.8,7.05,7.8,15589,0
GOVX.US,D,20200626,000000,7.8,10,7.42,9.3,59381,0
GOVX.US,D,20200629,000000,9.6,13,8.4,12,62109,0
GOVX.US,D,20200630,000000,12.2,12.2,9.1,11,35199,0
GOVX.US,D,20200701,000000,10.4,10.7,9,9.6,15434,0
GOVX.US,D,20200702,000000,9.4,10.1,9.02,9.6,14017,0
GOVX.US,D,20200706,000000,9.7,9.7,9.2,9.27,6213,0
GOVX.US,D,20200707,000000,9.6,9.7,7.33,8.6,11996,0
GOVX.US,D,20200708,000000,8,8.96,7.4,8.25,10761,0
GOVX.US,D,20200709,000000,7.95,12,7.94,9.63,50908,0
GOVX.US,D,20200710,000000,10.59,10.59,8.44,8.9,19184,0
GOVX.US,D,20200713,000000,8.6,9.39,8.5,9,11570,0
GOVX.US,D,20200714,000000,9.79,9.79,8.8,8.82,8955,0
GOVX.US,D,20200715,000000,9,9.7,8.8,9.2,14930,0
GOVX.US,D,20200716,000000,9.2,9.4,8.76,9.4,10125,0
GOVX.US,D,20200717,000000,9.4,9.8,9,9.5,7796,0
GOVX.US,D,20200720,000000,9.8,17,8.9,16.6,71189,0
GOVX.US,D,20200721,000000,16.4,17.2,12.4,16.6,96948,0
GOVX.US,D,20200722,000000,18.4,35,16.8,27.65,268232,0
GOVX.US,D,20200723,000000,30,30.4,21.4,22,78306,0
GOVX.US,D,20200724,000000,23,23,20,20.24,34733,0
GOVX.US,D,20200727,000000,20.2,21.2,16.47,17,44061,0
GOVX.US,D,20200728,000000,17,19.8,16.7,17.85,24143,0
GOVX.US,D,20200729,000000,17.85,18.8,16.4,16.49,26205,0
GOVX.US,D,20200730,000000,16.4,16.58,12.49,14.4,52246,0
GOVX.US,D,20200731,000000,14.6,15.8,14,14.7,16265,0
GOVX.US,D,20200803,000000,15,16.92,14.8,16.7,20919,0
GOVX.US,D,20200804,000000,17.6,18.2,16.82,17.6,17417,0
GOVX.US,D,20200805,000000,17.8,18,14.84,15.86,19405,0
GOVX.US,D,20200806,000000,16,17,14.3,15.4,26641,0
GOVX.US,D,20200807,000000,16,16,13.8,14.6,13903,0
GOVX.US,D,20200810,000000,14,14,12.6,13.09,26249,0
GOVX.US,D,20200811,000000,13.1,13.2,11,11.7,24632,0
GOVX.US,D,20200812,000000,11.2,11.8,10,10.1,22177,0
GOVX.US,D,20200813,000000,10.1,11.46,10.1,11,13225,0
GOVX.US,D,20200814,000000,11.6,12,11.1,11.63,9963,0
GOVX.US,D,20200817,000000,11.69,12.6,11,11.4,15522,0
GOVX.US,D,20200818,000000,12.1,12.1,11,11.29,7958,0
GOVX.US,D,20200819,000000,11.41,11.88,10.8,10.94,9918,0
GOVX.US,D,20200820,000000,10.98,10.98,10,10,10448,0
GOVX.US,D,20200821,000000,10,10.1,8.24,8.94,15790,0
GOVX.US,D,20200824,000000,9.45,10.4,8.8,9.9,14370,0
GOVX.US,D,20200825,000000,9.7,10.08,9.42,9.85,4353,0
GOVX.US,D,20200826,000000,10.05,10.06,9,9.37,7900,0
GOVX.US,D,20200827,000000,9.39,9.6,8.4,8.71,12774,0
GOVX.US,D,20200828,000000,8.6,8.9,8.2,8.58,6962,0
GOVX.US,D,20200831,000000,8.24,8.6,8,8.17,7692,0
GOVX.US,D,20200901,000000,9.19,9.19,8.04,8.2,7091,0
GOVX.US,D,20200902,000000,8.05,9.4,8.05,9.05,7359,0
GOVX.US,D,20200903,000000,9.25,10.8,8.3,8.76,23858,0
GOVX.US,D,20200904,000000,8.8,8.8,8,8,8367,0
GOVX.US,D,20200908,000000,9,9,7.2,8,9685,0
GOVX.US,D,20200909,000000,8,8,7,7.2,14128,0
GOVX.US,D,20200910,000000,7.1,7.2,6.62,6.7,13593,0
GOVX.US,D,20200911,000000,6.4,6.43,5.5,5.8,48483,0
GOVX.US,D,20200914,000000,5.8,7.3,5.8,6.76,29453,0
GOVX.US,D,20200915,000000,6.8,6.8,6.2,6.4,12451,0
GOVX.US,D,20200916,000000,6.4,6.5,6,6.46,14755,0
GOVX.US,D,20200917,000000,6.2,6.8,6,6,18416,0
GOVX.US,D,20200918,000000,6.6,6.6,6,6.24,6139,0
