<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DBGIW.US,D,20210517,000000,0.64,0.7505,0.550101,0.6,354582,0
DBGIW.US,D,20210518,000000,0.4301,0.549,0.4101,0.49,182330,0
DBGIW.US,D,20210519,000000,0.589,0.61,0.5,0.5,57903,0
DBGIW.US,D,20210520,000000,0.5,0.5,0.4232,0.4232,2404,0
DBGIW.US,D,20210521,000000,0.432,0.4874,0.432,0.4874,2020,0
DBGIW.US,D,20210524,000000,0.5202,0.5202,0.4376,0.49,38105,0
DBGIW.US,D,20210525,000000,0.55,0.5994,0.496719,0.54,14918,0
DBGIW.US,D,20210526,000000,0.54,0.54,0.4501,0.5,21105,0
DBGIW.US,D,20210527,000000,0.4305,0.4422,0.4305,0.4408,10518,0
DBGIW.US,D,20210528,000000,0.4322,0.4322,0.4305,0.4305,7289,0
DBGIW.US,D,20210601,000000,0.4324,0.4585,0.4052,0.4338,16744,0
DBGIW.US,D,20210602,000000,0.45,0.45,0.3612,0.4001,3073,0
DBGIW.US,D,20210603,000000,0.45,0.479799,0.42,0.45,33602,0
DBGIW.US,D,20210604,000000,0.48,0.529799,0.4511,0.529799,37100,0
DBGIW.US,D,20210607,000000,0.52,0.6499,0.5195,0.5202,120598,0
DBGIW.US,D,20210608,000000,0.5299,0.546,0.529899,0.539503,20300,0
DBGIW.US,D,20210609,000000,0.54,0.5892,0.461401,0.5303,6790,0
DBGIW.US,D,20210610,000000,0.619899,0.9,0.5302,0.7999,269018,0
DBGIW.US,D,20210611,000000,0.7643,0.7875,0.645,0.7096,25210,0
DBGIW.US,D,20210614,000000,0.7899,0.7899,0.7699,0.7699,5521,0
DBGIW.US,D,20210615,000000,0.79,0.79,0.5102,0.5505,12991,0
DBGIW.US,D,20210616,000000,0.6533,0.6698,0.550801,0.669701,30472,0
DBGIW.US,D,20210617,000000,0.7,0.7001,0.63,0.65,23357,0
DBGIW.US,D,20210618,000000,0.6606,0.699899,0.630049,0.6727,8030,0
DBGIW.US,D,20210621,000000,0.719999,0.8182,0.7,0.8182,3873,0
DBGIW.US,D,20210622,000000,0.7843,1.27,0.7502,0.9901,181676,0
DBGIW.US,D,20210623,000000,0.910101,0.9499,0.8001,0.949,66702,0
DBGIW.US,D,20210624,000000,1.02,1.98,0.9985,1.55,798377,0
DBGIW.US,D,20210625,000000,1.45,1.66,1.3,1.5,127046,0
DBGIW.US,D,20210628,000000,1.36,1.64,1.15,1.4934,88576,0
DBGIW.US,D,20210629,000000,2.03,2.84,1.45,1.85,351761,0
DBGIW.US,D,20210630,000000,1.8,2.018,1.56,1.7,95464,0
DBGIW.US,D,20210701,000000,1.67,2,1.55,1.73,19550,0
DBGIW.US,D,20210702,000000,1.5,1.6,1.4001,1.46,45856,0
DBGIW.US,D,20210706,000000,1.5,1.54,1.41,1.4394,21270,0
DBGIW.US,D,20210707,000000,1.5,1.715,1.5,1.58,192979,0
DBGIW.US,D,20210708,000000,3,3.7099,1.79,1.97,386049,0
