<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AVRO.US,D,20180621,000000,29.25,35,28.0201,31.2,2783643,0
AVRO.US,D,20180622,000000,31.25,32.49,27.045,30.74,475412,0
AVRO.US,D,20180625,000000,29.64,32,29.5,30.48,229857,0
AVRO.US,D,20180626,000000,30.56,31.8,29.595,30.83,277273,0
AVRO.US,D,20180627,000000,30.4406,31,30.02,30.54,171587,0
AVRO.US,D,20180628,000000,30.5,30.98,27.02,28.08,188593,0
AVRO.US,D,20180629,000000,27.81,28.67,27.49,28.56,259448,0
AVRO.US,D,20180702,000000,28.61,29.46,26.51,27.35,96625,0
AVRO.US,D,20180703,000000,27.15,27.725,26.51,26.95,79391,0
AVRO.US,D,20180705,000000,27.01,28.93,27.01,27.48,110160,0
AVRO.US,D,20180706,000000,27.59,30.12,27.175,28.35,50577,0
AVRO.US,D,20180709,000000,28.74,29.45,27.34,27.99,36953,0
AVRO.US,D,20180710,000000,27.97,29.62,26.8122,28.62,63518,0
AVRO.US,D,20180711,000000,28.04,28.905,26.54,28.02,184537,0
AVRO.US,D,20180712,000000,28.38,29.62,27.3,29.62,60095,0
AVRO.US,D,20180713,000000,29.3968,30.8,27.88,28.1,266121,0
AVRO.US,D,20180716,000000,28.48,30.2975,28.0001,29.07,189041,0
AVRO.US,D,20180717,000000,28.9,29.7076,28,29.02,36939,0
AVRO.US,D,20180718,000000,29.83,35.1,29.575,33.91,117803,0
AVRO.US,D,20180719,000000,34.49,35.955,32.4205,34.5,385932,0
AVRO.US,D,20180720,000000,35.26,38.79,34.267,37.55,249640,0
AVRO.US,D,20180723,000000,36.56,39.2,36.56,38.31,258850,0
AVRO.US,D,20180724,000000,37.9,41.23,37.9,38.79,125476,0
AVRO.US,D,20180725,000000,39.04,40.78,34.5,39.01,150254,0
AVRO.US,D,20180726,000000,38.71,40,33.01,33.35,40768,0
AVRO.US,D,20180727,000000,33.35,34.06,28.41,31.53,98614,0
AVRO.US,D,20180730,000000,31.68,33.27,31.68,32.08,25875,0
AVRO.US,D,20180731,000000,32,32,30.1,32,35091,0
AVRO.US,D,20180801,000000,32.07,33.38,30.16,31.83,25241,0
AVRO.US,D,20180802,000000,31.49,33,31.49,32.65,45329,0
AVRO.US,D,20180803,000000,32.64,35.025,32.61,34.92,20570,0
AVRO.US,D,20180806,000000,35.56,38.44,35,36.91,36211,0
AVRO.US,D,20180807,000000,37.15,37.9159,35.85,37.35,12575,0
AVRO.US,D,20180808,000000,37.3355,39.4,36.83,38.97,20805,0
AVRO.US,D,20180809,000000,37.49,44.01,37.49,38.06,38588,0
AVRO.US,D,20180810,000000,37.7,41.21,37.7,40.97,21237,0
AVRO.US,D,20180813,000000,40.82,41.5,39.245,41.38,14328,0
AVRO.US,D,20180814,000000,41.38,42.495,39.4,41.16,33733,0
AVRO.US,D,20180815,000000,40.55,41.835,39.5,40.75,33889,0
AVRO.US,D,20180816,000000,41.04,41.49,39.93,40.66,156246,0
AVRO.US,D,20180817,000000,40.59,41.49,38.2,40,69445,0
AVRO.US,D,20180820,000000,40.99,40.99,37.68,38.67,51033,0
AVRO.US,D,20180821,000000,38.86,40,38.03,38.98,61772,0
AVRO.US,D,20180822,000000,40,40,38.26,38.99,41437,0
AVRO.US,D,20180823,000000,39.08,39.495,37.55,38.68,26736,0
AVRO.US,D,20180824,000000,38.56,41.489,38.03,39.31,25945,0
AVRO.US,D,20180827,000000,39.4,39.87,37.4,37.73,23809,0
AVRO.US,D,20180828,000000,37.04,38,35.81,36.69,29019,0
AVRO.US,D,20180829,000000,36.43,38.744,35.32,35.6,27636,0
AVRO.US,D,20180830,000000,35.6,36,34.26,34.75,27995,0
AVRO.US,D,20180831,000000,33.7355,35.5,33.7355,34.35,16245,0
AVRO.US,D,20180904,000000,34.38,35.25,32.02,32.65,114142,0
AVRO.US,D,20180905,000000,32.48,34.2,31.31,31.79,103168,0
AVRO.US,D,20180906,000000,32.8,35.25,31.51,32.65,76917,0
AVRO.US,D,20180907,000000,32.64,33.99,32.0719,33.24,186624,0
AVRO.US,D,20180910,000000,33.17,34.355,32.23,33.02,148534,0
AVRO.US,D,20180911,000000,32.96,38.17,32.96,35.44,239668,0
AVRO.US,D,20180912,000000,35.32,37.64,35.1,36.84,61996,0
AVRO.US,D,20180913,000000,37.04,37.2,35.165,36.73,81326,0
AVRO.US,D,20180914,000000,37.03,40.95,36.2467,39.63,79751,0
AVRO.US,D,20180917,000000,40.12,42.345,38.02,41.31,123865,0
AVRO.US,D,20180918,000000,41.25,41.82,38.5,41.5,220138,0
AVRO.US,D,20180919,000000,41.4,46,40.48,45,240021,0
AVRO.US,D,20180920,000000,44.55,51.72,44.55,48,327737,0
AVRO.US,D,20180921,000000,48.4,49.97,46.475,49.25,1270936,0
AVRO.US,D,20180924,000000,48.7,50.86,47.4,50.14,327037,0
AVRO.US,D,20180925,000000,50.15,53.16,48.345,52.26,314496,0
AVRO.US,D,20180926,000000,52.5,53.7,51.87,52.7,295719,0
AVRO.US,D,20180927,000000,52.89,53.25,50.78,52.59,111712,0
AVRO.US,D,20180928,000000,52.2,52.82,50.92,51.87,89202,0
AVRO.US,D,20181001,000000,35,37.6,21.58,25.13,1043826,0
AVRO.US,D,20181002,000000,25.06,25.15,20.47,20.48,780651,0
AVRO.US,D,20181003,000000,20.71,24.23,20.295,23.54,270972,0
AVRO.US,D,20181004,000000,23.16,24.4,21.6056,23.38,274856,0
AVRO.US,D,20181005,000000,23.43,26.4834,23.43,24.89,280235,0
AVRO.US,D,20181008,000000,24.69,25.89,23,25.55,165202,0
AVRO.US,D,20181009,000000,24.91,26.525,23.8,24.16,79403,0
AVRO.US,D,20181010,000000,25.01,26.09,22.74,23.75,144680,0
AVRO.US,D,20181011,000000,23.65,24.7,23.115,23.61,72349,0
AVRO.US,D,20181012,000000,24.25,25.17,24,25.17,93977,0
AVRO.US,D,20181015,000000,25.19,26.7,24.41,26.4,71703,0
AVRO.US,D,20181016,000000,26.5,29.73,26.5,29.12,112859,0
AVRO.US,D,20181017,000000,29,31.817,26.9839,30.53,78724,0
AVRO.US,D,20181018,000000,30.18,30.2618,27.7001,28.72,88072,0
AVRO.US,D,20181019,000000,28.86,30.1712,27.23,27.44,79310,0
AVRO.US,D,20181022,000000,27.5,29.245,27.43,27.74,35974,0
AVRO.US,D,20181023,000000,27.26,30.985,27.26,28.83,68103,0
AVRO.US,D,20181024,000000,28.78,30.55,28.2511,30.06,52264,0
AVRO.US,D,20181025,000000,30.41,33.385,29.985,32.7,131602,0
AVRO.US,D,20181026,000000,31.92,32.99,29.23,30.23,149305,0
AVRO.US,D,20181029,000000,30.76,31.2479,28.6,29.18,174918,0
AVRO.US,D,20181030,000000,29.19,29.52,27.8,28.78,199391,0
AVRO.US,D,20181031,000000,28.84,30.35,28.45,30.06,178231,0
AVRO.US,D,20181101,000000,30.13,30.54,28.68,29.61,81171,0
AVRO.US,D,20181102,000000,29.85,30.525,28.5465,29.4,114202,0
AVRO.US,D,20181105,000000,29.39,30.98,28.86,29.78,71760,0
AVRO.US,D,20181106,000000,29.63,30.675,29.08,29.84,58435,0
AVRO.US,D,20181107,000000,29.76,30.825,29.13,29.74,52731,0
AVRO.US,D,20181108,000000,29.43,30.73,29.43,30.14,35375,0
AVRO.US,D,20181109,000000,30.14,30.475,27.56,28.57,58355,0
AVRO.US,D,20181112,000000,28.2,29.69,27.95,28.32,35345,0
