<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
DTOC.US,D,20210519,000000,9.66,10,9.63,10,1277,0
DTOC.US,D,20210520,000000,9.6401,9.6401,9.6401,9.6401,158,0
DTOC.US,D,20210526,000000,10.3,10.3,9.67,9.69,9514,0
DTOC.US,D,20210602,000000,9.95,9.95,9.93,9.93,13805,0
DTOC.US,D,20210608,000000,9.93,9.93,9.855,9.855,256,0
DTOC.US,D,20210609,000000,9.9,9.9,9.86,9.86,1100,0
DTOC.US,D,20210611,000000,9.78,9.78,9.78,9.78,929,0
DTOC.US,D,20210615,000000,9.9122,9.9122,9.78,9.78,759,0
DTOC.US,D,20210616,000000,9.8,9.8,9.8,9.8,142,0
DTOC.US,D,20210621,000000,9.69,9.7,9.64,9.7,1713,0
DTOC.US,D,20210623,000000,9.78,9.78,9.77,9.77,310,0
DTOC.US,D,20210624,000000,9.77,9.77,9.73,9.73,2853,0
DTOC.US,D,20210628,000000,9.7,9.7,9.7,9.7,2007,0
DTOC.US,D,20210629,000000,9.7,9.72,9.7,9.7,31260,0
DTOC.US,D,20210630,000000,9.7,9.74,9.7,9.74,761,0
DTOC.US,D,20210701,000000,9.7,9.95,9.7,9.7,30757,0
DTOC.US,D,20210702,000000,9.78,9.78,9.78,9.78,790,0
DTOC.US,D,20210707,000000,9.7,9.7755,9.7,9.71,4857,0
DTOC.US,D,20210709,000000,9.71,9.735,9.71,9.735,4492,0
DTOC.US,D,20210712,000000,9.72,9.72,9.71,9.71,759,0
DTOC.US,D,20210713,000000,9.75,9.75,9.75,9.75,133,0
DTOC.US,D,20210714,000000,9.77,9.77,9.77,9.77,302,0
DTOC.US,D,20210720,000000,9.74,9.74,9.74,9.74,50801,0
DTOC.US,D,20210721,000000,9.71,9.76,9.65,9.75,420421,0
DTOC.US,D,20210722,000000,9.79,9.79,9.7064,9.73,1027,0
DTOC.US,D,20210723,000000,9.71,9.76,9.71,9.75,4059,0
DTOC.US,D,20210726,000000,9.73,9.73,9.73,9.73,3249,0
DTOC.US,D,20210728,000000,9.74,9.74,9.7,9.7,5657,0
DTOC.US,D,20210729,000000,9.709,9.73,9.68,9.7,15723,0
DTOC.US,D,20210809,000000,9.64,9.7,9.64,9.7,2821,0
DTOC.US,D,20210824,000000,9.68,9.68,9.68,9.68,104,0
DTOC.US,D,20210825,000000,9.62,9.645,9.62,9.645,126668,0
DTOC.US,D,20210826,000000,9.63,9.63,9.62,9.62,400,0
DTOC.US,D,20210827,000000,9.61,9.61,9.61,9.61,4039,0
DTOC.US,D,20210831,000000,9.61,9.61,9.61,9.61,500,0
DTOC.US,D,20210901,000000,9.62,9.62,9.62,9.62,202,0
DTOC.US,D,20210903,000000,9.64,9.64,9.64,9.64,450,0
DTOC.US,D,20210909,000000,9.68,9.7,9.68,9.68,1008284,0
DTOC.US,D,20210910,000000,9.68,9.71,9.68,9.71,1001179,0
DTOC.US,D,20210913,000000,9.81,9.81,9.65,9.65,39102,0
DTOC.US,D,20210914,000000,9.69,9.69,9.65,9.65,536838,0
DTOC.US,D,20210915,000000,9.7,9.775,9.65,9.65,10303,0
DTOC.US,D,20210916,000000,9.75,9.75,9.7,9.7,1023,0
DTOC.US,D,20210917,000000,9.7,9.7,9.7,9.7,73086,0
DTOC.US,D,20210921,000000,9.71,9.71,9.7,9.71,401,0
DTOC.US,D,20210922,000000,9.68,9.76,9.67,9.76,2895,0
DTOC.US,D,20210929,000000,9.7,9.7,9.7,9.7,262,0
DTOC.US,D,20210930,000000,9.71,9.71,9.7,9.7,5135,0
DTOC.US,D,20211001,000000,9.72,9.75,9.72,9.75,130443,0
DTOC.US,D,20211004,000000,9.72,9.72,9.72,9.72,203,0
DTOC.US,D,20211007,000000,9.69,9.7,9.69,9.7,50125,0
DTOC.US,D,20211008,000000,9.7,9.7,9.69,9.69,25011,0
DTOC.US,D,20211014,000000,9.74,9.74,9.69,9.73,5008,0
DTOC.US,D,20211018,000000,9.74,9.74,9.74,9.74,4708,0
DTOC.US,D,20211021,000000,9.73,9.73,9.73,9.73,600,0
DTOC.US,D,20211022,000000,9.74,9.75,9.74,9.75,9670,0
DTOC.US,D,20211025,000000,9.75,9.75,9.75,9.75,155,0
DTOC.US,D,20211027,000000,9.73,9.73,9.7269,9.7269,727,0
