<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNNRU.US,D,20210909,000000,9.94,9.94,9.88,9.92,374374,0
BNNRU.US,D,20210910,000000,9.93,9.93,9.9,9.92,8723,0
BNNRU.US,D,20210913,000000,9.9,9.92,9.9,9.92,16698,0
BNNRU.US,D,20210914,000000,9.91,9.93,9.91,9.93,31166,0
BNNRU.US,D,20210915,000000,9.91,9.93,9.91,9.91,47026,0
BNNRU.US,D,20210916,000000,9.92,9.975,9.92,9.97,154265,0
BNNRU.US,D,20210917,000000,9.9466,9.9687,9.9466,9.9687,733,0
BNNRU.US,D,20210920,000000,9.9501,9.9512,9.9101,9.925,205288,0
BNNRU.US,D,20210921,000000,9.9498,9.9498,9.925,9.93,147422,0
BNNRU.US,D,20210922,000000,9.93,9.93,9.92,9.93,763710,0
BNNRU.US,D,20210923,000000,9.9301,9.9301,9.91,9.93,111656,0
BNNRU.US,D,20210924,000000,9.93,9.93,9.9,9.92,1064285,0
BNNRU.US,D,20210927,000000,9.93,9.93,9.925,9.93,14400,0
BNNRU.US,D,20210928,000000,9.93,9.93,9.925,9.925,49219,0
BNNRU.US,D,20210929,000000,9.93,9.93,9.915,9.93,133094,0
BNNRU.US,D,20210930,000000,9.925,9.97,9.925,9.94,69048,0
BNNRU.US,D,20211001,000000,9.92,9.95,9.92,9.94,4896,0
BNNRU.US,D,20211004,000000,10.105,10.105,9.92,9.92,162084,0
BNNRU.US,D,20211005,000000,9.94,10,9.92,9.92,246741,0
BNNRU.US,D,20211006,000000,9.95,9.95,9.93,9.95,7541,0
BNNRU.US,D,20211007,000000,10,10,9.93,9.93,5592,0
BNNRU.US,D,20211008,000000,9.93,10,9.93,9.95,26074,0
BNNRU.US,D,20211011,000000,9.93,10,9.93,9.95,14522,0
BNNRU.US,D,20211012,000000,9.95,9.95,9.945,9.95,9131,0
BNNRU.US,D,20211013,000000,9.98,10,9.97,9.975,128119,0
BNNRU.US,D,20211014,000000,10,10,9.99,9.99,4553,0
BNNRU.US,D,20211015,000000,10,10,9.99,9.99,6963,0
BNNRU.US,D,20211018,000000,9.9999,9.9999,9.95,9.99,8200,0
BNNRU.US,D,20211019,000000,9.99,9.99,9.99,9.99,1301,0
BNNRU.US,D,20211020,000000,9.9201,10,9.9201,9.985,221572,0
BNNRU.US,D,20211021,000000,9.99,9.99,9.96,9.96,203704,0
BNNRU.US,D,20211025,000000,10.37,10.37,9.97,9.99,17269,0
BNNRU.US,D,20211026,000000,9.99,9.99,9.9799,9.9799,26881,0
BNNRU.US,D,20211027,000000,9.92,9.97,9.5,9.97,23801,0
