<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CELU.US,D,20190808,000000,9.8,9.8,9.8,9.8,5000,0
CELU.US,D,20190813,000000,9.77,9.77,9.77,9.77,120000,0
CELU.US,D,20190820,000000,9.8,9.8,9.8,9.8,1003,0
CELU.US,D,20190829,000000,9.7,9.8,9.7,9.8,7600,0
CELU.US,D,20190913,000000,9.8,9.8,9.8,9.8,4900,0
CELU.US,D,20190916,000000,9.8,9.8,9.8,9.8,4900,0
CELU.US,D,20190917,000000,9.8,9.81,9.8,9.8,400000,0
CELU.US,D,20190919,000000,9.8,9.801,9.8,9.801,31595,0
CELU.US,D,20190920,000000,9.8,9.8,9.8,9.8,9450,0
CELU.US,D,20190923,000000,9.83,9.83,9.8102,9.8102,602,0
CELU.US,D,20190926,000000,9.71,9.95,9.71,9.95,1647,0
CELU.US,D,20191001,000000,9.85,9.85,9.85,9.85,24001,0
CELU.US,D,20191002,000000,9.95,9.95,9.95,9.95,2500,0
CELU.US,D,20191003,000000,9.82,9.95,9.82,9.95,1100,0
CELU.US,D,20191011,000000,9.71,9.94,9.71,9.94,200,0
CELU.US,D,20191014,000000,9.89,9.89,9.89,9.89,2309,0
CELU.US,D,20191015,000000,9.93,9.93,9.93,9.93,1030,0
CELU.US,D,20191018,000000,9.82,9.93,9.82,9.84,945341,0
CELU.US,D,20191024,000000,9.83,9.83,9.83,9.83,400000,0
CELU.US,D,20191025,000000,9.81,9.81,9.81,9.81,425000,0
CELU.US,D,20191028,000000,9.83,9.95,9.83,9.85,500823,0
CELU.US,D,20191106,000000,9.93,9.93,9.93,9.93,1000,0
CELU.US,D,20191107,000000,9.88,9.93,9.88,9.89,10600,0
CELU.US,D,20191108,000000,9.85,9.93,9.85,9.93,15307,0
CELU.US,D,20191118,000000,9.92,9.92,9.85,9.85,129617,0
CELU.US,D,20191120,000000,9.9,9.9,9.9,9.9,100000,0
CELU.US,D,20191121,000000,9.91,9.92,9.91,9.92,6000,0
CELU.US,D,20191126,000000,9.93,9.93,9.89,9.93,13738,0
CELU.US,D,20191127,000000,9.93,9.93,9.9,9.93,67147,0
CELU.US,D,20191203,000000,9.92,9.94,9.92,9.94,671484,0
CELU.US,D,20191204,000000,9.9,9.94,9.9,9.94,700,0
CELU.US,D,20191209,000000,9.94,9.94,9.94,9.94,500,0
CELU.US,D,20191210,000000,9.94,9.94,9.94,9.94,592,0
CELU.US,D,20191211,000000,9.94,9.94,9.94,9.94,1000,0
CELU.US,D,20191212,000000,9.94,9.94,9.94,9.94,40400,0
CELU.US,D,20191217,000000,9.96,9.96,9.96,9.96,2156,0
CELU.US,D,20191218,000000,9.95,9.97,9.94,9.94,51709,0
CELU.US,D,20191219,000000,9.95,9.95,9.95,9.95,100135,0
CELU.US,D,20191231,000000,9.95,10.01,9.93,9.95,207700,0
CELU.US,D,20200103,000000,9.94,9.94,9.94,9.94,100006,0
CELU.US,D,20200109,000000,9.96,9.96,9.95,9.95,331000,0
CELU.US,D,20200110,000000,9.95,9.98,9.95,9.97,210500,0
CELU.US,D,20200113,000000,9.99,9.99,9.99,9.99,60000,0
CELU.US,D,20200114,000000,10.02,10.05,10.02,10.05,525606,0
CELU.US,D,20200115,000000,10.04,10.05,10.04,10.05,300067,0
CELU.US,D,20200116,000000,10.05,10.05,10,10,221,0
CELU.US,D,20200117,000000,10.04,10.04,10.04,10.04,100000,0
