<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BENE.US,D,20210129,000000,10.06,10.3499,10.06,10.15,156656,0
BENE.US,D,20210201,000000,10.05,10.425,10.05,10.15,34545,0
BENE.US,D,20210202,000000,10.15,10.15,10.05,10.14,311363,0
BENE.US,D,20210203,000000,10.19,10.25,10.14,10.25,44995,0
BENE.US,D,20210204,000000,10.28,10.3,10.15,10.27,101680,0
BENE.US,D,20210205,000000,10.33,10.37,10.22,10.24,7553,0
BENE.US,D,20210208,000000,10.25,10.25,10.08,10.2,431798,0
BENE.US,D,20210209,000000,10.2,10.24,10.13,10.18,173620,0
BENE.US,D,20210210,000000,10.2,10.24,10.1,10.14,395492,0
BENE.US,D,20210211,000000,10.16,10.1755,10.1099,10.15,58423,0
BENE.US,D,20210212,000000,10.15,10.16,10.12,10.15,28614,0
BENE.US,D,20210216,000000,10.15,10.2,10.13,10.19,273840,0
BENE.US,D,20210217,000000,10.2399,10.24,10.13,10.17,208773,0
BENE.US,D,20210218,000000,10.1666,10.2,10.15,10.17,11174,0
BENE.US,D,20210219,000000,10.18,10.2,10.14,10.16,499869,0
BENE.US,D,20210222,000000,10.15,10.2,10.1,10.13,225205,0
BENE.US,D,20210223,000000,10.06,10.2,10.05,10.2,229735,0
BENE.US,D,20210224,000000,10.145,10.2,10.1,10.18,201111,0
BENE.US,D,20210225,000000,10.11,10.19,10.07,10.14,290149,0
BENE.US,D,20210226,000000,10.17,10.2,10.08,10.14,206167,0
BENE.US,D,20210301,000000,10.1,10.13,10.01,10.04,119650,0
BENE.US,D,20210302,000000,10.06,10.08,9.98,9.98,52928,0
BENE.US,D,20210303,000000,9.99,10.01,9.98,9.99,65985,0
BENE.US,D,20210304,000000,9.95,9.985,9.9,9.98,29695,0
BENE.US,D,20210305,000000,9.915,9.965,9.88,9.93,22657,0
BENE.US,D,20210308,000000,9.975,9.975,9.96,9.96,10724,0
BENE.US,D,20210309,000000,9.98,10.01,9.98,10,731568,0
BENE.US,D,20210310,000000,9.99,10.01,9.96,9.99,575411,0
BENE.US,D,20210311,000000,9.99,10.0299,9.98,9.98,147466,0
