<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
GBNY.US,D,20210114,000000,10.01,10.08,10,10.01,42496,0
GBNY.US,D,20210115,000000,10.0198,10.0198,9.755,9.84,20044,0
GBNY.US,D,20210119,000000,9.99,9.99,9.77,9.78,7667,0
GBNY.US,D,20210120,000000,9.76,9.76,9.49,9.5633,42202,0
GBNY.US,D,20210121,000000,9.56,9.56,9.47,9.503,33502,0
GBNY.US,D,20210122,000000,9.5,10.06,9.47,9.81,81740,0
GBNY.US,D,20210125,000000,9.85,9.88,9.765,9.82,3904,0
GBNY.US,D,20210126,000000,9.76,9.97,9.76,9.97,15043,0
GBNY.US,D,20210127,000000,9.7635,9.94,9.7635,9.9,8843,0
GBNY.US,D,20210128,000000,9.87,9.87,9.8,9.8,846,0
GBNY.US,D,20210129,000000,9.8,9.83,9.72,9.8299,4464,0
GBNY.US,D,20210202,000000,9.82,9.82,9.7497,9.77,1701,0
GBNY.US,D,20210203,000000,9.7773,9.7773,9.7773,9.7773,306,0
GBNY.US,D,20210204,000000,9.8,9.8,9.7,9.7,10044,0
GBNY.US,D,20210205,000000,9.74,9.75,9.74,9.74,802,0
GBNY.US,D,20210208,000000,9.7399,9.7399,9.7399,9.7399,240,0
GBNY.US,D,20210209,000000,9.73,9.73,9.66,9.66,10945,0
GBNY.US,D,20210210,000000,9.65,9.67,9.5,9.5101,40722,0
GBNY.US,D,20210211,000000,9.51,9.58,9.4601,9.58,8849,0
GBNY.US,D,20210212,000000,9.49,9.4915,9.35,9.48,14372,0
GBNY.US,D,20210216,000000,9.5,9.5001,9.47,9.47,1563,0
GBNY.US,D,20210217,000000,9.4701,9.48,9.42,9.45,9285,0
GBNY.US,D,20210218,000000,9.43,9.49,9.395,9.43,5290,0
GBNY.US,D,20210219,000000,9.45,9.64,9.4499,9.48,10902,0
GBNY.US,D,20210222,000000,9.6,9.65,9.55,9.6292,9955,0
GBNY.US,D,20210223,000000,9.6,9.6,9.42,9.55,4094,0
GBNY.US,D,20210224,000000,9.59,9.86,9.59,9.85,24337,0
GBNY.US,D,20210225,000000,9.97,9.97,9.75,9.7501,20080,0
GBNY.US,D,20210226,000000,9.84,9.85,9.76,9.8,3867,0
GBNY.US,D,20210301,000000,9.84,9.85,9.61,9.78,16846,0
GBNY.US,D,20210302,000000,9.79,9.79,9.71,9.71,1159,0
GBNY.US,D,20210303,000000,9.79,9.85,9.76,9.77,6599,0
GBNY.US,D,20210304,000000,9.67,9.8499,9.62,9.74,28304,0
GBNY.US,D,20210305,000000,9.8034,9.85,9.755,9.755,13351,0
GBNY.US,D,20210308,000000,9.85,10.03,9.775,10,58502,0
GBNY.US,D,20210309,000000,10.02,10.04,9.9425,10,13686,0
GBNY.US,D,20210310,000000,10.02,10.05,9.9501,10.04,7920,0
GBNY.US,D,20210311,000000,10.04,10.051,9.915,10.03,8604,0
GBNY.US,D,20210312,000000,10.13,10.13,10,10.08,53866,0
GBNY.US,D,20210315,000000,10.1,10.11,9.97,10.11,13635,0
GBNY.US,D,20210316,000000,10.01,10.24,10.01,10.18,30218,0
GBNY.US,D,20210317,000000,10.19,10.2,10,10,12594,0
GBNY.US,D,20210318,000000,9.96,10.19,9.95,10.04,11783,0
GBNY.US,D,20210319,000000,10.085,10.16,9.71,9.71,72906,0
GBNY.US,D,20210322,000000,9.85,9.93,9.78,9.78,20199,0
GBNY.US,D,20210323,000000,9.83,9.8761,9.75,9.75,26037,0
