<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ACQR.US,D,20210526,000000,9.915,10,9.74,9.865,11255,0
ACQR.US,D,20210602,000000,9.87,9.935,9.87,9.935,22894,0
ACQR.US,D,20210603,000000,9.94,9.94,9.9,9.9,2785,0
ACQR.US,D,20210604,000000,9.95,9.95,9.66,9.9,2200,0
ACQR.US,D,20210611,000000,10,10,9.95,9.99,11552,0
ACQR.US,D,20210614,000000,9.74,10,9.74,9.95,1714,0
ACQR.US,D,20210615,000000,9.95,9.95,9.76,9.77,4276,0
ACQR.US,D,20210616,000000,9.93,9.93,9.82,9.93,1260,0
ACQR.US,D,20210617,000000,9.78,9.9799,9.77,9.9399,7300,0
ACQR.US,D,20210618,000000,9.9,9.94,9.9,9.9399,4991,0
ACQR.US,D,20210624,000000,9.8,9.8,9.8,9.8,192,0
ACQR.US,D,20210625,000000,9.8,9.9699,9.77,9.8,6785,0
ACQR.US,D,20210629,000000,10.1699,10.1699,9.9,9.9,1267,0
ACQR.US,D,20210701,000000,9.84,9.9199,9.74,9.9099,735,0
ACQR.US,D,20210702,000000,9.74,9.8699,9.74,9.8699,263,0
ACQR.US,D,20210706,000000,9.8,9.8599,9.8,9.8599,1955,0
ACQR.US,D,20210708,000000,9.75,9.8399,9.75,9.8399,712,0
ACQR.US,D,20210709,000000,9.74,9.8299,9.74,9.8299,6977,0
ACQR.US,D,20210712,000000,9.79,9.86,9.75,9.81,3619,0
ACQR.US,D,20210713,000000,9.75,10,9.7299,9.8499,72601,0
ACQR.US,D,20210714,000000,9.74,9.76,9.72,9.76,17308,0
ACQR.US,D,20210715,000000,9.75,9.75,9.73,9.73,1301,0
ACQR.US,D,20210716,000000,9.75,9.76,9.7362,9.75,9404,0
ACQR.US,D,20210719,000000,9.68,9.745,9.68,9.71,29947,0
ACQR.US,D,20210720,000000,9.71,9.759,9.6506,9.68,12277,0
ACQR.US,D,20210721,000000,9.73,9.73,9.67,9.73,837,0
ACQR.US,D,20210723,000000,9.64,9.73,9.63,9.71,2245,0
ACQR.US,D,20210726,000000,9.675,9.7,9.65,9.7,10360,0
ACQR.US,D,20210727,000000,9.6301,9.7,9.6301,9.7,711,0
ACQR.US,D,20210728,000000,9.64,9.7299,9.64,9.7299,327,0
ACQR.US,D,20210802,000000,9.71,9.7299,9.68,9.7299,21324,0
ACQR.US,D,20210803,000000,9.72,9.72,9.71,9.72,1701,0
ACQR.US,D,20210804,000000,9.66,9.72,9.66,9.72,2200,0
ACQR.US,D,20210805,000000,9.7,9.7,9.695,9.695,1735,0
ACQR.US,D,20210806,000000,9.68,9.72,9.6408,9.707,2400,0
ACQR.US,D,20210810,000000,9.7,9.72,9.65,9.65,5562,0
ACQR.US,D,20210811,000000,9.65,9.65,9.65,9.65,100,0
ACQR.US,D,20210812,000000,9.7199,9.72,9.7199,9.72,200,0
ACQR.US,D,20210818,000000,9.65,9.65,9.65,9.65,266,0
ACQR.US,D,20210819,000000,9.64,9.64,9.64,9.64,180,0
ACQR.US,D,20210820,000000,9.63,9.6544,9.63,9.6544,50100,0
ACQR.US,D,20210823,000000,9.63,9.7399,9.63,9.7399,11514,0
ACQR.US,D,20210826,000000,9.685,9.7,9.65,9.65,7617,0
ACQR.US,D,20210827,000000,9.705,9.7691,9.705,9.7691,333,0
ACQR.US,D,20210831,000000,9.76,9.76,9.669,9.669,603,0
ACQR.US,D,20210901,000000,9.67,9.67,9.67,9.67,2204,0
ACQR.US,D,20210903,000000,9.6959,9.71,9.63,9.71,806555,0
ACQR.US,D,20210907,000000,9.66,9.75,9.66,9.69,117261,0
ACQR.US,D,20210908,000000,9.7,9.74,9.69,9.73,76444,0
ACQR.US,D,20210909,000000,9.7,9.73,9.7,9.73,13417,0
ACQR.US,D,20210913,000000,9.69,9.7319,9.69,9.7319,200,0
ACQR.US,D,20210915,000000,9.73,9.77,9.73,9.77,174133,0
ACQR.US,D,20210916,000000,9.75,9.75,9.75,9.75,194,0
ACQR.US,D,20210923,000000,9.75,9.75,9.6845,9.75,14531,0
ACQR.US,D,20210927,000000,9.7699,9.77,9.75,9.77,1819,0
ACQR.US,D,20210929,000000,9.77,9.78,9.73,9.73,6009,0
ACQR.US,D,20210930,000000,9.7,9.771,9.7,9.77,200526,0
ACQR.US,D,20211001,000000,9.75,9.7742,9.75,9.765,711,0
ACQR.US,D,20211004,000000,9.7,9.78,9.7,9.78,3220,0
ACQR.US,D,20211007,000000,9.77,9.77,9.735,9.77,24370,0
ACQR.US,D,20211011,000000,9.77,9.78,9.77,9.78,2119,0
ACQR.US,D,20211013,000000,9.77,9.77,9.7,9.7,4098,0
ACQR.US,D,20211014,000000,9.735,9.77,9.735,9.76,707,0
ACQR.US,D,20211015,000000,9.71,9.71,9.71,9.71,1519,0
ACQR.US,D,20211018,000000,9.7,9.75,9.7,9.75,744,0
ACQR.US,D,20211019,000000,9.7,9.73,9.7,9.715,31186,0
ACQR.US,D,20211020,000000,9.7399,9.75,9.7289,9.75,3049,0
ACQR.US,D,20211022,000000,9.72,9.78,9.71,9.78,363591,0
ACQR.US,D,20211025,000000,9.755,9.78,9.73,9.74,33729,0
ACQR.US,D,20211026,000000,9.77,9.78,9.74,9.78,16394,0
ACQR.US,D,20211027,000000,9.75,9.78,9.75,9.78,107220,0
