<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EXAI.US,D,20211001,000000,27.14,30.38,26.9,27.1,6060507,0
EXAI.US,D,20211004,000000,28.59,29.25,23.1,25.26,1782189,0
EXAI.US,D,20211005,000000,26.1798,26.1798,21.13,22.8,566172,0
EXAI.US,D,20211006,000000,21.64,22.85,21.64,22.29,365442,0
EXAI.US,D,20211007,000000,22.31,23.54,21.5,22.4,340250,0
EXAI.US,D,20211008,000000,22.5,24.785,22.5,24.05,138764,0
EXAI.US,D,20211011,000000,24.5,25.1599,20.7604,21,301095,0
EXAI.US,D,20211012,000000,21.21,22.05,20.05,20.67,268374,0
EXAI.US,D,20211013,000000,20.25,23.86,20.25,22.77,139608,0
EXAI.US,D,20211014,000000,22.98,23.69,19.85,20.2,165513,0
EXAI.US,D,20211015,000000,20.5,21.67,20.5,21.04,131849,0
EXAI.US,D,20211018,000000,21.48,21.5822,19.165,19.36,55550,0
EXAI.US,D,20211019,000000,19.47,20.2,19.4216,20.14,132015,0
EXAI.US,D,20211020,000000,20.03,20.99,20.0001,20.69,36404,0
EXAI.US,D,20211021,000000,20.81,21.4858,20.8001,21.15,74553,0
EXAI.US,D,20211022,000000,22.2,22.85,22.2,22.2,140305,0
EXAI.US,D,20211025,000000,23.31,24.27,22.24,23.49,180323,0
EXAI.US,D,20211026,000000,23.11,23.133,21.5,21.51,73982,0
EXAI.US,D,20211027,000000,21.06,21.675,19.6,20,228003,0
