<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BTX.US,D,20210330,000000,4.01,4.12,3.67,3.74,117855,0
BTX.US,D,20210331,000000,3.74,3.84,3.65,3.72,48456,0
BTX.US,D,20210401,000000,3.7,3.84,3.59,3.75,50343,0
BTX.US,D,20210405,000000,3.92,4.67,3.85,4.67,8551213,0
BTX.US,D,20210406,000000,8.35,8.53,5.8,6.07,44567763,0
BTX.US,D,20210407,000000,5.85,5.86,5.05,5.75,2203284,0
BTX.US,D,20210408,000000,5.58,5.58,5.01,5.14,766306,0
BTX.US,D,20210409,000000,4.86,7.1,4.86,6.43,4703247,0
BTX.US,D,20210412,000000,5.61,8.2,5.5338,7.91,2280583,0
BTX.US,D,20210413,000000,7,7.5,5.935,5.94,768390,0
BTX.US,D,20210414,000000,6.07,6.93,6,6.07,627371,0
BTX.US,D,20210415,000000,6.48,6.48,6.01,6.34,812011,0
BTX.US,D,20210416,000000,6.42,8.99,6.42,7.94,3973170,0
BTX.US,D,20210419,000000,8,8.07,7.25,7.69,588733,0
BTX.US,D,20210420,000000,7.55,10.95,7.5033,9.79,6262447,0
BTX.US,D,20210421,000000,9.68,9.84,8.62,8.9,1442839,0
BTX.US,D,20210422,000000,9.17,13.47,9.13,12.48,13547589,0
BTX.US,D,20210423,000000,11.48,18.87,11.35,16.16,18460178,0
BTX.US,D,20210426,000000,16,16.63,13.61,16.47,2032500,0
BTX.US,D,20210427,000000,16.05,27.77,15.3,24.9,16807971,0
BTX.US,D,20210428,000000,22.62,54.24,21.25,43.73,53510310,0
BTX.US,D,20210429,000000,40.5,43,32.3201,34.22,17510806,0
BTX.US,D,20210430,000000,30.82,59.589,29.41,49.8,54568485,0
BTX.US,D,20210503,000000,71,80.67,57.6301,78.5,31992978,0
BTX.US,D,20210504,000000,61.84,69.3,52,55.19,8114823,0
BTX.US,D,20210505,000000,50.51,50.51,41.09,43.09,3030178,0
BTX.US,D,20210506,000000,48.14,53.53,38.03,39.23,6083353,0
BTX.US,D,20210507,000000,41.15,44.85,37.11,38.45,5689433,0
BTX.US,D,20210510,000000,38.45,38.45,31.99,32.3,3065378,0
BTX.US,D,20210511,000000,31.66,38.505,30,30.6,6664204,0
BTX.US,D,20210512,000000,31.31,32.64,25.88,27.39,3434592,0
BTX.US,D,20210513,000000,28.56,30.69,23.1514,23.43,3967154,0
BTX.US,D,20210514,000000,24.11,25.63,21.16,21.6,4422492,0
BTX.US,D,20210517,000000,21.74,23.3799,18.2,18.75,5161820,0
BTX.US,D,20210518,000000,18.58,20.98,17.38,18.86,16360572,0
BTX.US,D,20210519,000000,17.79,18.7199,17.07,17.93,5481693,0
BTX.US,D,20210520,000000,17.9,19.37,16.29,16.57,7903166,0
BTX.US,D,20210521,000000,16.53,16.95,13.9,13.99,5231692,0
BTX.US,D,20210524,000000,13.92,17.95,13.32,16.97,26040905,0
BTX.US,D,20210525,000000,16.22,17.82,14.42,14.66,16983559,0
BTX.US,D,20210526,000000,13.98,14.87,13.5,13.68,4310136,0
BTX.US,D,20210527,000000,13.73,15.885,13.58,14.49,7071371,0
BTX.US,D,20210528,000000,14.47,15.05,13.81,14.4,2655399,0
BTX.US,D,20210601,000000,14.48,16.98,14.48,16.63,7224515,0
