<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CLBTW.US,D,20201104,000000,1.51,1.51,1.02,1.3999,7659,0
CLBTW.US,D,20201105,000000,1.3499,1.35,1.3499,1.35,1106,0
CLBTW.US,D,20201106,000000,1.35,1.35,1.35,1.35,1359,0
CLBTW.US,D,20201109,000000,1,1,1,1,60466,0
CLBTW.US,D,20201110,000000,2,2,1.6281,1.7696,14933,0
CLBTW.US,D,20201111,000000,1.355,1.4,1.34,1.34,3368,0
CLBTW.US,D,20201112,000000,1.34,1.35,1.33,1.3499,3610,0
CLBTW.US,D,20201113,000000,1.25,1.3398,1.25,1.3398,1475,0
CLBTW.US,D,20201116,000000,1.3,1.3,1.04,1.05,70380,0
CLBTW.US,D,20201117,000000,1.25,1.25,1.16,1.16,351,0
CLBTW.US,D,20201118,000000,1.1405,1.1405,1.05,1.115,7324,0
CLBTW.US,D,20201119,000000,1.25,1.25,1.16,1.17,3538,0
CLBTW.US,D,20201120,000000,1.1978,1.35,1.1978,1.22,27093,0
CLBTW.US,D,20201123,000000,1.34,1.35,1.29,1.3,105057,0
CLBTW.US,D,20201124,000000,1.35,1.35,1.16,1.2,40675,0
CLBTW.US,D,20201125,000000,1.18,1.2,1.12,1.12,211919,0
CLBTW.US,D,20201127,000000,1.22,1.35,1.11,1.12,222427,0
CLBTW.US,D,20201130,000000,1.13,1.61,1.13,1.19,230738,0
CLBTW.US,D,20201201,000000,1.23,1.24,1.15,1.17,256108,0
CLBTW.US,D,20201202,000000,1.22,1.25,1.2,1.25,138158,0
CLBTW.US,D,20201203,000000,1.4,1.4,1.22,1.25,12206,0
CLBTW.US,D,20201204,000000,1.5,1.5,1.3,1.3998,29872,0
CLBTW.US,D,20201207,000000,1.45,1.58,1.386,1.395,72166,0
CLBTW.US,D,20201208,000000,1.4314,1.5,1.33,1.33,209119,0
CLBTW.US,D,20201209,000000,1.485,1.58,1.39,1.415,59031,0
CLBTW.US,D,20201210,000000,1.54,1.54,1.4,1.44,88134,0
CLBTW.US,D,20201211,000000,1.45,1.47,1.39,1.39,328918,0
CLBTW.US,D,20201214,000000,1.46,1.5,1.41,1.47,111355,0
CLBTW.US,D,20201215,000000,1.4599,1.5,1.3658,1.37,256780,0
CLBTW.US,D,20201216,000000,1.42,1.68,1.41,1.5,238312,0
CLBTW.US,D,20201217,000000,1.5,1.65,1.43,1.43,98153,0
CLBTW.US,D,20201218,000000,1.55,1.55,1.43,1.44,80357,0
CLBTW.US,D,20201221,000000,1.46,1.48,1.44,1.46,129108,0
