<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BCYPW.US,D,20210210,000000,1.55,1.7,1.21,1.31,229282,0
BCYPW.US,D,20210211,000000,1.32,1.4,1.32,1.39,56797,0
BCYPW.US,D,20210212,000000,1.4,1.4,1.25,1.25,175877,0
BCYPW.US,D,20210216,000000,1.3,1.35,1.25,1.2991,69766,0
BCYPW.US,D,20210217,000000,1.4,1.4,1.31,1.33,20468,0
BCYPW.US,D,20210218,000000,1.35,1.4,1.3003,1.37,274105,0
BCYPW.US,D,20210219,000000,1.4,1.44,1.35,1.4,306602,0
BCYPW.US,D,20210222,000000,1.4,1.7,1.39,1.54,356386,0
BCYPW.US,D,20210223,000000,1.48,1.48,1.32,1.32,320373,0
BCYPW.US,D,20210224,000000,1.36,1.5,1.3499,1.43,69567,0
BCYPW.US,D,20210225,000000,1.4,1.45,1.25,1.25,54710,0
BCYPW.US,D,20210226,000000,1.25,1.33,1.12,1.24,122290,0
BCYPW.US,D,20210301,000000,1.29,1.3,1.22,1.22,13703,0
BCYPW.US,D,20210302,000000,1.25,1.25,1.01,1.06,138525,0
BCYPW.US,D,20210303,000000,1.05,1.05,0.9201,0.94,108802,0
BCYPW.US,D,20210304,000000,0.9,0.9,0.71,0.7701,160197,0
BCYPW.US,D,20210305,000000,0.773,0.888099,0.75,0.88,283887,0
BCYPW.US,D,20210308,000000,0.930101,1.12,0.89,0.91,82690,0
BCYPW.US,D,20210309,000000,0.92,0.95,0.85,0.95,10386,0
BCYPW.US,D,20210310,000000,0.89,1.07,0.801,0.9,18888,0
BCYPW.US,D,20210311,000000,0.9001,1.04,0.9001,1.02,41831,0
BCYPW.US,D,20210312,000000,1.01,1.01,0.95,1,11862,0
BCYPW.US,D,20210315,000000,0.979899,0.98,0.95,0.9501,20875,0
BCYPW.US,D,20210316,000000,0.9,0.94,0.8709,0.8709,10292,0
BCYPW.US,D,20210317,000000,0.83,0.867,0.83,0.867,3477,0
BCYPW.US,D,20210318,000000,0.880101,0.880101,0.866,0.87,7106,0
BCYPW.US,D,20210319,000000,0.865001,0.88,0.83,0.83,20857,0
BCYPW.US,D,20210322,000000,0.83,0.88,0.81,0.85,49211,0
BCYPW.US,D,20210323,000000,0.88,0.88,0.81,0.81,21605,0
BCYPW.US,D,20210324,000000,0.851499,0.8798,0.7,0.725,52407,0
BCYPW.US,D,20210325,000000,0.725,0.79,0.663101,0.717016,31124,0
BCYPW.US,D,20210326,000000,0.76,0.76,0.685,0.75,5458,0
BCYPW.US,D,20210329,000000,0.76,0.76,0.681,0.681,8685,0
BCYPW.US,D,20210330,000000,0.7,0.7,0.57,0.6,72802,0
BCYPW.US,D,20210331,000000,0.61,0.67,0.55,0.6,44272,0
BCYPW.US,D,20210401,000000,0.6,0.6591,0.57,0.6591,33977,0
