<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AXNX.US,D,20181031,000000,16.05,17,14.75,14.98,3031030,0
AXNX.US,D,20181101,000000,14.9,14.9,13.07,14.5,445694,0
AXNX.US,D,20181102,000000,14.95,15.88,14.67,15.07,641093,0
AXNX.US,D,20181105,000000,15.15,15.75,14.75,14.75,265967,0
AXNX.US,D,20181106,000000,14.85,15.35,14.75,14.9,272314,0
AXNX.US,D,20181107,000000,15,15.75,14.8525,15.63,869740,0
AXNX.US,D,20181108,000000,15.51,15.51,14.8,15,177939,0
AXNX.US,D,20181109,000000,15.03,15.14,14.55,14.84,315322,0
AXNX.US,D,20181112,000000,14.85,15.22,14.85,15.01,79069,0
AXNX.US,D,20181113,000000,15.15,15.59,14.52,15.5,167833,0
AXNX.US,D,20181114,000000,15.56,15.58,14.98,15.14,81844,0
AXNX.US,D,20181115,000000,15.2,15.485,14.59,15.15,278976,0
AXNX.US,D,20181116,000000,15.1,15.5,14.93,15.05,135706,0
AXNX.US,D,20181119,000000,15.05,15.25,14.8029,15.2,46498,0
AXNX.US,D,20181120,000000,15.15,15.15,13.5,14,81347,0
AXNX.US,D,20181121,000000,14.22,14.85,14.1,14.73,19090,0
AXNX.US,D,20181123,000000,14.87,14.92,14.13,14.92,16500,0
AXNX.US,D,20181126,000000,15.24,15.39,14.35,14.99,186537,0
AXNX.US,D,20181127,000000,15.14,15.25,14.51,14.82,44680,0
AXNX.US,D,20181128,000000,14.77,14.77,13.95,14.09,113359,0
AXNX.US,D,20181129,000000,14.13,14.2432,13.11,13.4,199649,0
AXNX.US,D,20181130,000000,13.38,13.724,11.95,13.2,143071,0
AXNX.US,D,20181203,000000,13.23,14.08,13.1,14.01,247572,0
AXNX.US,D,20181204,000000,13.87,14.52,13.24,14.34,200456,0
AXNX.US,D,20181206,000000,14.26,14.99,13.9437,14.8,218607,0
AXNX.US,D,20181207,000000,14.81,15.75,13.67,15.17,140445,0
AXNX.US,D,20181210,000000,15.33,16.6457,15.23,16.1,155015,0
AXNX.US,D,20181211,000000,15.99,16.89,15.44,15.48,145677,0
AXNX.US,D,20181212,000000,15.29,16.88,15.29,16.43,160035,0
AXNX.US,D,20181213,000000,16.52,16.6,15.56,15.96,67783,0
AXNX.US,D,20181214,000000,15.99,16.75,15.8,16.3,88977,0
AXNX.US,D,20181217,000000,16.09,16.09,15.125,15.46,105751,0
