<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
APEN.US,D,20121023,000000,492.8,537.46,485.1,503.58,704,0
APEN.US,D,20121024,000000,504.35,539.77,500.51,511.28,626,0
APEN.US,D,20121025,000000,531.3,539,524.37,531.3,323,0
APEN.US,D,20121026,000000,535.15,535.15,500.5,527.45,414,0
APEN.US,D,20121031,000000,524.37,527.45,463.54,518.98,583,0
APEN.US,D,20121101,000000,502.81,509.74,485.87,504.35,73,0
APEN.US,D,20121102,000000,500.5,523.37,500.5,500.5,134,0
APEN.US,D,20121105,000000,500.5,511.28,500.5,501.27,310,0
APEN.US,D,20121106,000000,496.65,502.81,496.65,501.26,826,0
APEN.US,D,20121107,000000,500.5,508.2,496.65,508.2,648,0
APEN.US,D,20121108,000000,505.12,505.12,492.8,500.5,427,0
APEN.US,D,20121109,000000,492.8,500.5,492.8,500.5,319,0
APEN.US,D,20121112,000000,492.8,500.5,482.79,500.5,384,0
APEN.US,D,20121113,000000,500.5,500.5,492.8,493.57,398,0
APEN.US,D,20121114,000000,498.19,502.81,492.03,500.5,217,0
APEN.US,D,20121115,000000,491.26,495.88,462.77,475.09,344,0
APEN.US,D,20121116,000000,465.85,500.5,450.45,455.07,925,0
APEN.US,D,20121119,000000,462,462,442.75,461.23,253,0
APEN.US,D,20121120,000000,465.85,465.85,446.6,461.23,137,0
APEN.US,D,20121121,000000,453.53,462,450.45,462,171,0
APEN.US,D,20121123,000000,456.61,468.16,445.83,464.31,46,0
APEN.US,D,20121126,000000,449.68,462,437.36,437.36,330,0
APEN.US,D,20121127,000000,450.45,465.85,440.63,465.08,386,0
APEN.US,D,20121128,000000,458.92,464.31,442.76,464.31,114,0
APEN.US,D,20121129,000000,457.38,475.86,446.6,475.86,369,0
APEN.US,D,20121130,000000,475.09,481.25,450.45,468.16,304,0
APEN.US,D,20121203,000000,447.37,481.25,447.37,469.7,145,0
APEN.US,D,20121204,000000,469.7,469.7,456.61,462,216,0
APEN.US,D,20121205,000000,462,477.4,462,469.7,168,0
APEN.US,D,20121206,000000,465.85,495.11,465.85,474.32,224,0
APEN.US,D,20121207,000000,491.26,493.57,466.62,466.62,274,0
APEN.US,D,20121210,000000,465.85,468.93,448.14,462,175,0
APEN.US,D,20121211,000000,456.61,474.31,446.6,464.31,111,0
APEN.US,D,20121212,000000,473.55,475.09,459.52,462,289,0
APEN.US,D,20121213,000000,467.39,472.78,458.15,462,55,0
APEN.US,D,20121214,000000,431.97,435.05,370.37,374.99,3959,0
APEN.US,D,20121217,000000,377.3,385,373.45,376.53,804,0
APEN.US,D,20121218,000000,385,385,369.6,381.15,507,0
APEN.US,D,20121219,000000,384.23,385.77,373.45,385.77,267,0
APEN.US,D,20121220,000000,384.23,384.23,375.76,381.15,180,0
APEN.US,D,20121221,000000,375.76,385.77,365.75,365.75,649,0
APEN.US,D,20121224,000000,384.23,384.23,370.37,381.92,71,0
APEN.US,D,20121226,000000,381.92,381.92,377.3,377.3,100,0
APEN.US,D,20121227,000000,388.08,398.86,385,398.86,356,0
APEN.US,D,20121228,000000,396.55,401.17,391.16,391.16,262,0
APEN.US,D,20121231,000000,385,408.09,385,388.85,190,0
APEN.US,D,20130102,000000,388.85,402.71,385.31,395.78,480,0
APEN.US,D,20130103,000000,388.08,405.79,387.31,405.02,494,0
APEN.US,D,20130104,000000,395.79,400.41,384.23,387.31,537,0
APEN.US,D,20130107,000000,386.54,392.7,373.45,391.16,491,0
APEN.US,D,20130108,000000,377.3,389.62,377.3,387.31,121,0
APEN.US,D,20130109,000000,383.46,395.78,383.46,391.93,524,0
APEN.US,D,20130110,000000,392.7,392.7,381.92,382.69,91,0
APEN.US,D,20130111,000000,378.07,392.7,378.07,391.16,327,0
APEN.US,D,20130114,000000,391.93,391.93,374.99,385,257,0
APEN.US,D,20130115,000000,385,388.85,370.37,378.07,224,0
APEN.US,D,20130116,000000,384.23,388.86,384.23,385,273,0
APEN.US,D,20130117,000000,381.92,388.85,377.3,385,690,0
APEN.US,D,20130118,000000,381.15,388.85,377.3,383.46,558,0
APEN.US,D,20130122,000000,377.3,388.85,377.3,388.85,249,0
