<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FFIEW.US,D,20200831,000000,0.35,0.35,0.3499,0.3499,9000,0
FFIEW.US,D,20200901,000000,0.349999,0.35,0.325,0.35,5200,0
FFIEW.US,D,20200902,000000,0.35,0.35,0.33,0.33,8500,0
FFIEW.US,D,20200903,000000,0.35,0.35,0.27,0.27,27695,0
FFIEW.US,D,20200904,000000,0.34,0.35,0.28,0.301,114350,0
FFIEW.US,D,20200908,000000,0.3612,0.3612,0.32,0.32,80357,0
FFIEW.US,D,20200909,000000,0.35,0.37,0.34,0.36,875994,0
FFIEW.US,D,20200910,000000,0.41,0.4422,0.349999,0.4,166621,0
FFIEW.US,D,20200911,000000,0.376749,0.4,0.376749,0.38,47762,0
FFIEW.US,D,20200914,000000,0.38,0.394899,0.3,0.394899,52759,0
FFIEW.US,D,20200915,000000,0.3501,0.4,0.34,0.35,149430,0
FFIEW.US,D,20200916,000000,0.35,0.4,0.35,0.4,1023700,0
FFIEW.US,D,20200917,000000,0.4,0.47,0.372,0.43,259158,0
FFIEW.US,D,20200918,000000,0.45,0.55,0.4,0.43,78562,0
FFIEW.US,D,20200921,000000,0.46,0.48,0.385,0.385,280784,0
FFIEW.US,D,20200922,000000,0.4001,0.45,0.4,0.4101,84791,0
FFIEW.US,D,20200923,000000,0.4201,0.43,0.39,0.4001,509853,0
FFIEW.US,D,20200924,000000,0.39,0.45,0.3526,0.3561,305078,0
FFIEW.US,D,20200925,000000,0.39,0.42,0.36,0.38,57020,0
FFIEW.US,D,20200928,000000,0.3996,0.4121,0.3556,0.38,15064,0
FFIEW.US,D,20200929,000000,0.37,0.385,0.37,0.375,165872,0
FFIEW.US,D,20200930,000000,0.38,0.38,0.36,0.3729,215941,0
FFIEW.US,D,20201001,000000,0.379,0.3895,0.3555,0.37,518691,0
FFIEW.US,D,20201002,000000,0.3749,0.3749,0.365,0.37,29584,0
FFIEW.US,D,20201005,000000,0.3652,0.3799,0.3652,0.3799,16854,0
FFIEW.US,D,20201006,000000,0.3701,0.3701,0.34,0.357,162829,0
FFIEW.US,D,20201007,000000,0.36,0.3603,0.35,0.3501,494924,0
FFIEW.US,D,20201008,000000,0.37,0.402901,0.37,0.391,10840,0
FFIEW.US,D,20201009,000000,0.35,0.38,0.35,0.38,110500,0
FFIEW.US,D,20201012,000000,0.38,0.38,0.3521,0.36,53076,0
FFIEW.US,D,20201013,000000,0.365999,0.365999,0.365999,0.365999,370,0
FFIEW.US,D,20201015,000000,0.352,0.352,0.352,0.352,1616,0
FFIEW.US,D,20201016,000000,0.3521,0.366001,0.352001,0.36,14400,0
FFIEW.US,D,20201019,000000,0.37,0.44,0.37,0.404015,795296,0
FFIEW.US,D,20201020,000000,0.42,0.45,0.42,0.430001,23220,0
FFIEW.US,D,20201021,000000,0.400853,0.43,0.400853,0.43,7400,0
FFIEW.US,D,20201022,000000,0.45,0.45,0.3521,0.4,132010,0
FFIEW.US,D,20201023,000000,0.42,0.43,0.4,0.41,154805,0
FFIEW.US,D,20201026,000000,0.41,0.49,0.4,0.459,210734,0
FFIEW.US,D,20201027,000000,0.45,0.450601,0.42,0.45,57812,0
FFIEW.US,D,20201028,000000,0.42,0.48,0.42,0.42,70141,0
FFIEW.US,D,20201029,000000,0.42,0.43,0.3602,0.39,327108,0
