<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CNTQ.US,D,20210825,000000,9.82,9.85,9.8,9.8,162455,0
CNTQ.US,D,20210826,000000,9.79,9.8,9.79,9.8,44211,0
CNTQ.US,D,20210827,000000,9.8,9.85,9.78,9.85,78727,0
CNTQ.US,D,20210830,000000,9.8,9.85,9.79,9.8,111516,0
CNTQ.US,D,20210831,000000,9.82,10.06,9.82,9.93,108509,0
CNTQ.US,D,20210901,000000,9.85,10.05,9.8,9.85,139413,0
CNTQ.US,D,20210902,000000,9.85,10,9.83,9.89,16011,0
CNTQ.US,D,20210903,000000,9.83,9.89,9.83,9.89,25822,0
CNTQ.US,D,20210907,000000,9.83,9.95,9.82,9.94,9156,0
CNTQ.US,D,20210908,000000,9.85,9.85,9.85,9.85,260,0
CNTQ.US,D,20210909,000000,9.87,9.92,9.87,9.9,39065,0
CNTQ.US,D,20210913,000000,9.89,9.9,9.89,9.9,15157,0
CNTQ.US,D,20210914,000000,9.9,9.93,9.885,9.93,85941,0
CNTQ.US,D,20210915,000000,9.9,9.9,9.88,9.88,29853,0
CNTQ.US,D,20210916,000000,9.86,9.9,9.86,9.89,20196,0
CNTQ.US,D,20210917,000000,9.9,9.9,9.9,9.9,3316,0
CNTQ.US,D,20210920,000000,9.91,9.91,9.91,9.91,2800,0
CNTQ.US,D,20210921,000000,9.92,9.92,9.91,9.92,511,0
CNTQ.US,D,20210922,000000,9.93,9.94,9.93,9.93,6928,0
CNTQ.US,D,20210923,000000,9.93,9.94,9.93,9.93,10297,0
CNTQ.US,D,20210928,000000,9.93,9.94,9.93,9.935,815,0
CNTQ.US,D,20210929,000000,9.93,9.93,9.93,9.93,4319,0
CNTQ.US,D,20211001,000000,9.93,9.94,9.93,9.93,701504,0
CNTQ.US,D,20211004,000000,9.94,9.94,9.93,9.93,3538,0
CNTQ.US,D,20211005,000000,9.95,9.95,9.94,9.94,4871,0
CNTQ.US,D,20211006,000000,9.93,9.94,9.93,9.94,5019,0
CNTQ.US,D,20211007,000000,9.95,9.95,9.94,9.94,712,0
CNTQ.US,D,20211014,000000,9.95,9.96,9.95,9.96,1283,0
CNTQ.US,D,20211015,000000,9.95,9.95,9.93,9.93,15365,0
CNTQ.US,D,20211018,000000,9.955,9.955,9.955,9.955,7015,0
CNTQ.US,D,20211020,000000,9.95,9.95,9.95,9.95,354,0
CNTQ.US,D,20211021,000000,9.96,9.98,9.95,9.95,60598,0
CNTQ.US,D,20211026,000000,10,10.02,10,10.02,3659,0
