<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
AURCW.US,D,20210512,000000,1.3,1.5,1.21,1.45,819227,0
AURCW.US,D,20210513,000000,1.47,1.47,1.3,1.3,5444,0
AURCW.US,D,20210514,000000,1.28,1.39,1.2,1.36,164126,0
AURCW.US,D,20210517,000000,1.82,2.01,1.22,1.42,76350,0
AURCW.US,D,20210518,000000,1.52,1.79,1.2,1.2,336790,0
AURCW.US,D,20210519,000000,1.25,1.3399,1.23,1.29,82797,0
AURCW.US,D,20210520,000000,1.38,1.38,1.27,1.285,40878,0
AURCW.US,D,20210521,000000,1.29,1.346,1.25,1.25,26464,0
AURCW.US,D,20210524,000000,1.33,1.35,1.26,1.28,7862,0
AURCW.US,D,20210525,000000,1.28,1.32,1.25,1.3071,51394,0
AURCW.US,D,20210526,000000,1.37,1.38,1.26,1.35,43166,0
AURCW.US,D,20210527,000000,1.35,1.36,1.27,1.27,14226,0
AURCW.US,D,20210528,000000,1.26,1.33,1.26,1.27,4903,0
AURCW.US,D,20210601,000000,1.39,1.405,1.28,1.4,35457,0
AURCW.US,D,20210602,000000,1.35,1.375,1.34,1.375,14777,0
AURCW.US,D,20210603,000000,1.47,1.47,1.33,1.42,140752,0
AURCW.US,D,20210604,000000,1.36,1.4,1.33,1.4,63830,0
AURCW.US,D,20210607,000000,1.48,1.48,1.4,1.42,17007,0
AURCW.US,D,20210608,000000,1.45,1.47,1.42,1.45,85716,0
AURCW.US,D,20210609,000000,1.45,1.48,1.45,1.48,1440,0
AURCW.US,D,20210610,000000,1.49,1.49,1.49,1.49,1006,0
AURCW.US,D,20210611,000000,1.48,1.48,1.35,1.4,125986,0
AURCW.US,D,20210614,000000,1.425,1.5,1.39,1.4,11207,0
AURCW.US,D,20210615,000000,1.545,1.59,1.4,1.44,100968,0
AURCW.US,D,20210616,000000,1.59,1.59,1.54,1.54,3077,0
AURCW.US,D,20210617,000000,1.59,1.6,1.52,1.54,3475,0
AURCW.US,D,20210618,000000,1.65,1.67,1.45,1.655,69465,0
AURCW.US,D,20210621,000000,1.65,1.65,1.64,1.65,2400,0
AURCW.US,D,20210622,000000,1.65,1.65,1.59,1.63,2617,0
AURCW.US,D,20210623,000000,1.64,1.65,1.63,1.65,1101,0
AURCW.US,D,20210624,000000,1.62,1.66,1.62,1.65,179309,0
AURCW.US,D,20210625,000000,1.645,1.66,1.64,1.65,18938,0
AURCW.US,D,20210628,000000,1.66,1.67,1.57,1.62,9290,0
AURCW.US,D,20210629,000000,1.65,1.68,1.65,1.65,8863,0
AURCW.US,D,20210630,000000,1.68,1.7,1.62,1.7,41432,0
AURCW.US,D,20210701,000000,1.71,1.77,1.67,1.77,16806,0
AURCW.US,D,20210702,000000,1.77,1.8,1.71,1.77,12165,0
AURCW.US,D,20210706,000000,1.72,1.74,1.72,1.72,4800,0
AURCW.US,D,20210707,000000,1.75,1.75,1.72,1.72,1275,0
AURCW.US,D,20210708,000000,1.75,1.75,1.72,1.75,63375,0
AURCW.US,D,20210709,000000,1.8,1.8,1.73,1.75,51121,0
AURCW.US,D,20210712,000000,1.755,1.77,1.74,1.76,87940,0
AURCW.US,D,20210713,000000,1.75,1.76,1.725,1.73,129657,0
AURCW.US,D,20210714,000000,1.75,1.75,1.73,1.73,18628,0
AURCW.US,D,20210715,000000,1.73,1.75,1.71,1.75,60160,0
AURCW.US,D,20210716,000000,1.81,1.81,1.75,1.77,6013,0
AURCW.US,D,20210719,000000,1.8,1.8001,1.77,1.77,46558,0
AURCW.US,D,20210721,000000,1.75,1.786,1.52,1.58,19546,0
AURCW.US,D,20210722,000000,1.64,1.64,1.59,1.62,6273,0
AURCW.US,D,20210723,000000,1.65,1.8,1.65,1.8,895,0
AURCW.US,D,20210726,000000,1.79,1.79,1.7,1.7,1387,0
AURCW.US,D,20210727,000000,1.67,1.68,1.67,1.68,32632,0
AURCW.US,D,20210729,000000,1.67,1.67,1.67,1.67,142,0
AURCW.US,D,20210730,000000,1.61,1.61,1.41,1.5,23920,0
AURCW.US,D,20210802,000000,1.5,1.74,1.5,1.6,2583,0
AURCW.US,D,20210803,000000,1.51,1.62,1.51,1.52,814,0
AURCW.US,D,20210805,000000,1.71,1.71,1.49,1.5,4585,0
AURCW.US,D,20210806,000000,1.5001,1.53,1.5,1.53,680,0
AURCW.US,D,20210809,000000,1.69,1.69,1.68,1.68,2335,0
AURCW.US,D,20210810,000000,1.66,1.66,1.645,1.645,381,0
AURCW.US,D,20210812,000000,1.44,1.44,1.43,1.43,242,0
AURCW.US,D,20210813,000000,1.555,1.65,1.555,1.65,338,0
AURCW.US,D,20210816,000000,1.68,1.68,1.61,1.61,1522,0
AURCW.US,D,20210818,000000,1.46,1.47,1.45,1.45,1485,0
AURCW.US,D,20210819,000000,1.45,1.45,1.4,1.41,21332,0
AURCW.US,D,20210820,000000,1.26,1.33,1.22,1.26,17613,0
AURCW.US,D,20210823,000000,1.38,1.4,1.3401,1.35,32920,0
AURCW.US,D,20210824,000000,1.36,1.38,1.36,1.36,7299,0
AURCW.US,D,20210825,000000,1.35,1.4,1.34,1.4,16084,0
AURCW.US,D,20210827,000000,1.44,1.62,1.44,1.6,902,0
AURCW.US,D,20210830,000000,1.64,1.64,1.64,1.64,207,0
AURCW.US,D,20210831,000000,1.4899,1.49,1.44,1.44,5481,0
AURCW.US,D,20210901,000000,1.42,1.46,1.35,1.35,22637,0
AURCW.US,D,20210902,000000,1.39,1.42,1.32,1.32,48338,0
AURCW.US,D,20210903,000000,1.3401,1.37,1.34,1.34,10015,0
AURCW.US,D,20210907,000000,1.3796,1.3796,1.36,1.36,1744,0
AURCW.US,D,20210908,000000,1.4,1.4014,1.38,1.39,6708,0
AURCW.US,D,20210909,000000,1.41,1.44,1.4,1.4,10621,0
AURCW.US,D,20210910,000000,1.41,1.45,1.41,1.45,4608,0
AURCW.US,D,20210913,000000,1.45,1.45,1.45,1.45,294,0
AURCW.US,D,20210914,000000,1.4,1.43,1.36,1.36,11708,0
AURCW.US,D,20210915,000000,1.37,1.44,1.36,1.37,3311,0
AURCW.US,D,20210916,000000,1.36,1.45,1.36,1.4,7607,0
AURCW.US,D,20210917,000000,1.38,1.475,1.38,1.475,68821,0
AURCW.US,D,20210920,000000,1.4407,1.49,1.4407,1.49,61664,0
AURCW.US,D,20210921,000000,1.465,1.52,1.465,1.52,68584,0
AURCW.US,D,20210922,000000,1.53,1.57,1.53,1.57,25952,0
AURCW.US,D,20210923,000000,1.53,1.59,1.52,1.59,8611,0
AURCW.US,D,20210924,000000,1.59,1.59,1.59,1.59,2970,0
AURCW.US,D,20210927,000000,1.59,1.61,1.59,1.59,12516,0
AURCW.US,D,20210928,000000,1.61,1.66,1.61,1.66,6631,0
AURCW.US,D,20210929,000000,1.62,1.66,1.54,1.605,6236,0
AURCW.US,D,20210930,000000,1.57,1.5801,1.56,1.58,3799,0
AURCW.US,D,20211001,000000,1.665,1.6799,1.635,1.65,880,0
AURCW.US,D,20211004,000000,1.65,1.65,1.62,1.63,1995,0
AURCW.US,D,20211005,000000,1.63,1.63,1.63,1.63,507,0
AURCW.US,D,20211006,000000,1.61,1.61,1.36,1.57,16850,0
AURCW.US,D,20211007,000000,1.58,1.6,1.58,1.6,431,0
AURCW.US,D,20211008,000000,1.6,1.6,1.59,1.59,1224,0
AURCW.US,D,20211012,000000,1.6,1.65,1.6,1.65,4628,0
AURCW.US,D,20211013,000000,1.68,1.68,1.67,1.67,1408,0
AURCW.US,D,20211014,000000,1.64,1.65,1.64,1.65,441,0
AURCW.US,D,20211015,000000,1.66,1.68,1.61,1.61,2922,0
AURCW.US,D,20211018,000000,1.61,1.6799,1.59,1.59,5873,0
AURCW.US,D,20211019,000000,1.58,1.68,1.58,1.59,818526,0
AURCW.US,D,20211021,000000,1.67,1.67,1.5801,1.5801,518,0
AURCW.US,D,20211022,000000,1.68,1.68,1.6,1.6,7515,0
AURCW.US,D,20211025,000000,1.6,2.11,1.56,2.11,17499,0
AURCW.US,D,20211026,000000,1.7,1.73,1.55,1.73,73289,0
AURCW.US,D,20211027,000000,1.7,1.7,1.59,1.69,6775,0
