<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ERES.US,D,20200916,000000,9.7,9.8,9.7,9.8,471138,0
ERES.US,D,20200917,000000,9.8,9.8,9.77,9.7801,463015,0
ERES.US,D,20200918,000000,9.81,10,9.755,9.76,1154655,0
ERES.US,D,20200921,000000,9.78,9.85,9.74,9.78,559034,0
ERES.US,D,20200922,000000,9.75,9.85,9.75,9.82,31466,0
ERES.US,D,20200923,000000,9.7501,9.839,9.73,9.75,40734,0
ERES.US,D,20200924,000000,9.75,9.825,9.74,9.755,235312,0
ERES.US,D,20200925,000000,9.75,9.79,9.73,9.73,2123,0
ERES.US,D,20200928,000000,9.8,9.83,9.76,9.83,1712,0
ERES.US,D,20200929,000000,9.75,9.8,9.75,9.8,67346,0
ERES.US,D,20200930,000000,9.83,9.83,9.7,9.73,35115,0
ERES.US,D,20201001,000000,9.8,9.8499,9.73,9.79,211844,0
ERES.US,D,20201002,000000,9.71,9.77,9.71,9.77,212805,0
ERES.US,D,20201005,000000,9.84,9.84,9.73,9.75,11639,0
ERES.US,D,20201006,000000,9.74,9.74,9.73,9.73,467,0
ERES.US,D,20201007,000000,9.76,9.76,9.71,9.71,11260,0
ERES.US,D,20201008,000000,9.71,9.785,9.71,9.785,4991,0
ERES.US,D,20201009,000000,9.751,9.788,9.75,9.75,2520,0
ERES.US,D,20201012,000000,9.75,9.75,9.69,9.7,19514,0
ERES.US,D,20201013,000000,9.7,9.72,9.7,9.7,53368,0
ERES.US,D,20201014,000000,9.75,9.75,9.7268,9.735,343989,0
ERES.US,D,20201015,000000,9.7101,9.74,9.7101,9.74,1126,0
ERES.US,D,20201016,000000,9.69,9.69,9.69,9.69,155,0
ERES.US,D,20201019,000000,9.75,9.75,9.72,9.75,9189,0
ERES.US,D,20201020,000000,9.75,9.75,9.75,9.75,1033,0
ERES.US,D,20201021,000000,9.75,9.75,9.7,9.72,127612,0
