<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BIVI.US,D,20200921,000000,10,10,9.31,9.75,163887,0
BIVI.US,D,20200922,000000,9.6,9.86,9.55,9.55,32131,0
BIVI.US,D,20200923,000000,9.71,9.85,9.3,9.3,35412,0
BIVI.US,D,20200924,000000,9.26,9.45,9,9.4,49827,0
BIVI.US,D,20200925,000000,9.12,9.29,8.76,9.16,37504,0
BIVI.US,D,20200928,000000,9.2,9.47,8.9,9.3386,19396,0
BIVI.US,D,20200929,000000,9.3621,9.48,9.25,9.46,12743,0
BIVI.US,D,20200930,000000,9.67,9.8593,9.25,9.51,15584,0
BIVI.US,D,20201001,000000,9.65,9.65,9.5,9.54,4342,0
BIVI.US,D,20201002,000000,9.31,9.5,9.265,9.37,9939,0
BIVI.US,D,20201005,000000,9.48,9.48,9.25,9.31,7681,0
BIVI.US,D,20201006,000000,9.39,9.5616,9.335,9.51,7248,0
BIVI.US,D,20201007,000000,9.455,9.655,9.32,9.32,6603,0
BIVI.US,D,20201008,000000,9.546,9.65,9.32,9.32,2822,0
BIVI.US,D,20201009,000000,9.65,9.89,9.37,9.6,24220,0
BIVI.US,D,20201012,000000,9.5,9.8234,9.34,9.38,5588,0
BIVI.US,D,20201013,000000,9.31,10.25,9.31,9.9,65092,0
BIVI.US,D,20201014,000000,10.29,12,9.97,10.55,140971,0
BIVI.US,D,20201015,000000,10.4955,10.9,9.75,10.29,110751,0
BIVI.US,D,20201016,000000,10.1,10.5,9.72,9.75,57874,0
BIVI.US,D,20201019,000000,9.75,10.5,9.34,9.57,68762,0
BIVI.US,D,20201020,000000,9.49,9.7526,9.48,9.53,14941,0
BIVI.US,D,20201021,000000,9.66,9.66,9,9.11,38220,0
BIVI.US,D,20201022,000000,9.11,9.3999,9,9.175,19269,0
BIVI.US,D,20201023,000000,9.1,9.2499,9,9.01,9099,0
BIVI.US,D,20201026,000000,9,9.1,7.8376,7.98,107355,0
BIVI.US,D,20201027,000000,8.05,8.53,8,8.03,36274,0
BIVI.US,D,20201028,000000,7.8,8.3843,7.7,7.9328,41831,0
BIVI.US,D,20201029,000000,8.01,8.38,7.95,8.3,19519,0
BIVI.US,D,20201030,000000,8.315,8.3999,7.91,7.97,41747,0
BIVI.US,D,20201102,000000,8.18,8.18,7.925,7.925,8055,0
BIVI.US,D,20201103,000000,7.93,8.5,7.9,8.125,31013,0
BIVI.US,D,20201104,000000,8.23,8.3598,8.02,8.205,8879,0
BIVI.US,D,20201105,000000,8.4,8.4,8.02,8.14,9777,0
BIVI.US,D,20201106,000000,8.5,8.5,8.1501,8.24,3571,0
BIVI.US,D,20201109,000000,8.5,8.5,8,8.29,15711,0
BIVI.US,D,20201110,000000,8,8.15,8,8.075,5959,0
BIVI.US,D,20201111,000000,7.955,8.1034,7.92,8.1,1723,0
BIVI.US,D,20201112,000000,8.1,8.1,7.97,7.97,2056,0
BIVI.US,D,20201113,000000,8.225,8.2391,7.91,8.04,9185,0
BIVI.US,D,20201116,000000,8.125,8.1773,7.55,7.86,11078,0
BIVI.US,D,20201117,000000,7.62,8,7.51,8,21229,0
BIVI.US,D,20201118,000000,7.89,7.89,7.77,7.8463,2788,0
BIVI.US,D,20201119,000000,7.88,8,7.76,7.8801,6500,0
BIVI.US,D,20201120,000000,7.8901,8,7.5,7.9,21520,0
BIVI.US,D,20201123,000000,7.75,8.29,7.75,8.06,21308,0
BIVI.US,D,20201124,000000,7.75,8.7,7.75,8.43,50338,0
BIVI.US,D,20201125,000000,8.45,8.58,8.28,8.44,33213,0
BIVI.US,D,20201127,000000,8.31,9.14,8.2,8.84,31189,0
BIVI.US,D,20201130,000000,8.94,9.8878,8.81,9.65,65985,0
BIVI.US,D,20201201,000000,9.8334,10.2,9.3,9.42,24487,0
BIVI.US,D,20201202,000000,9.29,9.94,9.13,9.13,5864,0
BIVI.US,D,20201203,000000,8.9919,9.2066,8.5035,8.88,17270,0
BIVI.US,D,20201204,000000,8.5,8.985,8.5,8.83,6480,0
BIVI.US,D,20201207,000000,9.565,9.6606,8.38,8.55,8930,0
BIVI.US,D,20201208,000000,8.8,8.8,8.51,8.6,8426,0
BIVI.US,D,20201209,000000,8.98,8.98,8.05,8.55,27731,0
BIVI.US,D,20201210,000000,9.08,9.92,8.48,9.76,127955,0
BIVI.US,D,20201211,000000,9.63,10.46,9.63,10.3,107746,0
BIVI.US,D,20201214,000000,10.5,12.28,10.5,12,331232,0
BIVI.US,D,20201215,000000,12.39,13.28,12.3,13.19,308832,0
BIVI.US,D,20201216,000000,12.76,13,11.74,13,80945,0
BIVI.US,D,20201217,000000,12.73,14.0693,12.3861,13.94,142753,0
BIVI.US,D,20201218,000000,13.6,14.9999,13.14,13.91,115928,0
BIVI.US,D,20201221,000000,13.75,14.5,13.4,14.36,54429,0
BIVI.US,D,20201222,000000,14.77,15.25,13.9279,15.14,35352,0
BIVI.US,D,20201223,000000,15.06,17.7956,15.06,15.6,60198,0
BIVI.US,D,20201224,000000,15.45,16.05,15.06,15.5,24614,0
BIVI.US,D,20201228,000000,16,16.3,15.15,15.8,33078,0
BIVI.US,D,20201229,000000,15.631,15.99,15.05,15.2,51552,0
BIVI.US,D,20201230,000000,15.739,15.95,15.21,15.81,43830,0
BIVI.US,D,20201231,000000,16.09,17.6,15.815,17.32,80187,0
BIVI.US,D,20210104,000000,17.24,17.7199,15.25,17.59,102831,0
BIVI.US,D,20210105,000000,17.5,21.3139,17.5,20.84,161302,0
