<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BOXL.US,D,20171130,000000,9.17,9.17,7.9625,7.99,18802,0
BOXL.US,D,20171201,000000,7.9,7.9,6.88,6.88,4907,0
BOXL.US,D,20171204,000000,7.0356,7.57,6.88,7.3241,3749,0
BOXL.US,D,20171205,000000,7.32,7.32,6.8,6.9,11744,0
BOXL.US,D,20171206,000000,6.93,7.32,6.93,7.249,8718,0
BOXL.US,D,20171207,000000,7.28,7.28,7.1165,7.15,2760,0
BOXL.US,D,20171208,000000,7.15,7.15,6.5,6.5,4144,0
BOXL.US,D,20171211,000000,6.99,6.99,6.5001,6.5001,753,0
BOXL.US,D,20171212,000000,6.51,6.54,6.5,6.5,395,0
BOXL.US,D,20171213,000000,6.75,6.75,5.78,6.5,1242,0
BOXL.US,D,20171214,000000,5.8101,5.8101,5.8101,5.8101,2728,0
BOXL.US,D,20171215,000000,5.7375,5.7375,5.7375,5.7375,531,0
BOXL.US,D,20171218,000000,5.75,5.7888,5.75,5.7888,667,0
BOXL.US,D,20171220,000000,5.75,5.75,5.75,5.75,1017,0
BOXL.US,D,20171221,000000,5.9243,5.9243,5.7884,5.7884,331,0
BOXL.US,D,20180102,000000,5.01,5.01,5.01,5.01,375,0
BOXL.US,D,20180103,000000,5.31,5.75,5.3,5.7399,6312,0
BOXL.US,D,20180104,000000,6,6,5.76,5.8,4060,0
BOXL.US,D,20180105,000000,5.95,6,5.95,6,453,0
BOXL.US,D,20180108,000000,6,6,5.7501,6,5708,0
BOXL.US,D,20180109,000000,5.85,6,5.85,6,2437,0
BOXL.US,D,20180110,000000,6,6,5.81,5.86,16503,0
BOXL.US,D,20180111,000000,5.87,6.49,5.7501,6.45,1916,0
BOXL.US,D,20180112,000000,7,7,6.9073,6.9709,2066,0
BOXL.US,D,20180116,000000,6.37,6.37,6.026,6.026,342,0
BOXL.US,D,20180117,000000,5.76,5.8,5.5,5.5,1774,0
BOXL.US,D,20180118,000000,5.52,6.5,5.52,6.1001,2559,0
BOXL.US,D,20180119,000000,5.7725,5.7725,5.6,5.618,1125,0
BOXL.US,D,20180122,000000,6.08,6.08,6.08,6.08,181,0
BOXL.US,D,20180123,000000,6.07,6.07,6,6.01,2174,0
BOXL.US,D,20180124,000000,6,6,6,6,420,0
BOXL.US,D,20180126,000000,5.6911,5.6911,5.6911,5.6911,106,0
BOXL.US,D,20180201,000000,5.6501,5.6501,5.5,5.6369,1200,0
BOXL.US,D,20180205,000000,5.0297,5.0297,5.0297,5.0297,1782,0
BOXL.US,D,20180206,000000,4.95,5.45,4.95,5.45,12,0
BOXL.US,D,20180208,000000,4.42,4.42,4.42,4.42,407,0
BOXL.US,D,20180209,000000,5.4,5.4,5,5,1223,0
BOXL.US,D,20180213,000000,5.4001,5.4001,5.4,5.4,353,0
BOXL.US,D,20180215,000000,4.55,5,4.36,5,1253,0
BOXL.US,D,20180220,000000,4.71,4.7101,4.71,4.7101,321,0
BOXL.US,D,20180222,000000,4.7,4.7,4,4,2234,0
BOXL.US,D,20180301,000000,4.2,4.2,4.2,4.2,1065,0
BOXL.US,D,20180302,000000,5,5,4.2,4.2,3653,0
BOXL.US,D,20180305,000000,4.0877,4.6,4,4.6,1645,0
BOXL.US,D,20180306,000000,4.74,4.8,4.44,4.8,2055,0
BOXL.US,D,20180307,000000,4.32,4.35,4.2713,4.35,503,0
BOXL.US,D,20180314,000000,4,4,4,4,362,0
BOXL.US,D,20180316,000000,3.99,4,3.97,4,2353,0
BOXL.US,D,20180320,000000,4,4,4,4,1004,0
BOXL.US,D,20180321,000000,4.2,4.2001,4.2,4.2,825,0
BOXL.US,D,20180322,000000,3.08,3.5,3.08,3.5,310,0
BOXL.US,D,20180326,000000,3.18,3.18,3,3,642,0
BOXL.US,D,20180327,000000,4,4,3.66,3.98,1655,0
BOXL.US,D,20180328,000000,4.185,4.19,4.0316,4.06,1077,0
BOXL.US,D,20180402,000000,4.59,5,4.41,4.755,4857,0
BOXL.US,D,20180403,000000,4.34,4.44,4.1,4.36,3213,0
BOXL.US,D,20180404,000000,4.1724,4.1724,4.1724,4.1724,292,0
BOXL.US,D,20180405,000000,3.44,3.54,3.1844,3.53,9149,0
BOXL.US,D,20180406,000000,3.6064,3.64,3.57,3.57,7177,0
BOXL.US,D,20180409,000000,3.27,3.27,3.27,3.27,217,0
BOXL.US,D,20180410,000000,3.3,3.3,3.3,3.3,165,0
BOXL.US,D,20180411,000000,4.2,4.39,3.76,4.2,8308,0
BOXL.US,D,20180412,000000,3.69,3.95,3.34,3.75,1684,0
BOXL.US,D,20180413,000000,3.6,3.9448,3.6,3.9448,995,0
