<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
EYE.US,D,20171026,000000,28.75,29.1,27.19,27.83,6988886,0
EYE.US,D,20171027,000000,27.69,28.37,27.38,28.15,953223,0
EYE.US,D,20171030,000000,28.07,28.9,27.49,28.04,760546,0
EYE.US,D,20171031,000000,28,29.39,27.681,28.8,436244,0
EYE.US,D,20171101,000000,29.05,30.98,28.27,30.37,1781337,0
EYE.US,D,20171102,000000,30.43,30.71,29.94,29.99,204497,0
EYE.US,D,20171103,000000,30,30.125,29.18,29.7,138434,0
EYE.US,D,20171106,000000,29.76,30.84,29.76,30.07,133527,0
EYE.US,D,20171107,000000,30.25,30.4,29.96,30.05,170921,0
EYE.US,D,20171108,000000,30.13,30.42,30,30.16,361339,0
EYE.US,D,20171109,000000,30.2,30.4,29.55,30.27,359574,0
EYE.US,D,20171110,000000,30.15,30.36,29.93,30.14,231070,0
EYE.US,D,20171113,000000,30.2,30.34,29.83,30,241905,0
EYE.US,D,20171114,000000,29.99,30.15,29.68,30.12,332709,0
EYE.US,D,20171115,000000,30.02,30.12,29.9,29.96,256715,0
EYE.US,D,20171116,000000,30.02,30.41,29.51,30.13,525011,0
EYE.US,D,20171117,000000,30.04,30.27,29.87,29.98,248792,0
EYE.US,D,20171120,000000,30.73,30.8948,29.69,30.19,308159,0
EYE.US,D,20171121,000000,30.06,30.28,29.955,30.1,174693,0
EYE.US,D,20171122,000000,30.11,30.25,29.65,29.98,194090,0
EYE.US,D,20171124,000000,30.13,30.2,29.87,29.99,240022,0
EYE.US,D,20171127,000000,30.15,32.18,30.01,31.87,540689,0
EYE.US,D,20171128,000000,31.53,32.89,31.53,31.53,581437,0
EYE.US,D,20171129,000000,31.53,32.38,31.53,31.72,401677,0
EYE.US,D,20171130,000000,31.79,33,31.735,32.59,416811,0
EYE.US,D,20171201,000000,32.61,33.7399,31.641,32.84,562908,0
EYE.US,D,20171204,000000,33.07,33.88,32.59,32.64,266208,0
EYE.US,D,20171205,000000,32.58,33.59,31.57,32.85,481563,0
EYE.US,D,20171206,000000,32.61,33.19,32.05,32.58,213850,0
EYE.US,D,20171207,000000,32.6,33.81,32.52,32.9,232842,0
EYE.US,D,20171208,000000,33.02,33.28,32.99,33.18,220952,0
EYE.US,D,20171211,000000,33.25,35.03,33.25,35,337865,0
EYE.US,D,20171212,000000,35.45,35.82,34.86,35.16,319274,0
EYE.US,D,20171213,000000,35.23,35.57,34.365,34.95,338922,0
EYE.US,D,20171214,000000,35.06,36.65,35.06,35.58,390577,0
EYE.US,D,20171215,000000,35.42,36.335,35.2404,35.75,2742085,0
EYE.US,D,20171218,000000,36.29,37.565,35.83,37.37,286392,0
EYE.US,D,20171219,000000,37.41,37.845,36.935,37.32,233128,0
EYE.US,D,20171220,000000,37.39,39.22,37.39,38.75,703938,0
EYE.US,D,20171221,000000,38.76,38.97,37.62,38.5,257762,0
EYE.US,D,20171222,000000,38.5,39.94,38.25,39.25,572646,0
EYE.US,D,20171226,000000,39.12,39.85,38.91,39.68,216693,0
EYE.US,D,20171227,000000,39.71,40.46,39.4,39.69,278655,0
EYE.US,D,20171228,000000,39.88,40.58,39.64,40.46,255039,0
EYE.US,D,20171229,000000,40.53,40.76,40.03,40.61,255399,0
EYE.US,D,20180102,000000,40.27,40.52,40.27,40.27,449728,0
EYE.US,D,20180103,000000,40.28,40.28,39.24,39.91,371963,0
EYE.US,D,20180104,000000,39.9,40.04,39.48,39.59,279552,0
EYE.US,D,20180105,000000,39.5,39.85,38.8,38.9,261942,0
EYE.US,D,20180108,000000,38.89,39.245,38.05,38.91,250286,0
EYE.US,D,20180109,000000,39,39,37.73,37.96,216096,0
EYE.US,D,20180110,000000,37.91,38.14,36.35,38.07,429473,0
EYE.US,D,20180111,000000,38.07,40.07,37.85,39.82,148972,0
EYE.US,D,20180112,000000,40.1,41.36,39.58,40.92,139649,0
EYE.US,D,20180116,000000,40.93,41.68,40.46,41.2,601051,0
EYE.US,D,20180117,000000,41.5,41.715,39.0401,41.04,462359,0
EYE.US,D,20180118,000000,41.3,42.5,41.12,42.01,252039,0
EYE.US,D,20180119,000000,42.14,43.8,42.104,43.13,215689,0
EYE.US,D,20180122,000000,43.31,43.63,42.3,42.32,131635,0
EYE.US,D,20180123,000000,42.63,42.63,40.84,40.98,244493,0
