<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SKYU.US,D,20210122,000000,41.05,42.04,41.05,42.0101,1616,0
SKYU.US,D,20210125,000000,42.77,43.44,40.079,41.4352,15300,0
SKYU.US,D,20210126,000000,41.4,42.34,41.04,42.1723,17128,0
SKYU.US,D,20210127,000000,41.61,43.08,41.26,41.6529,11783,0
SKYU.US,D,20210128,000000,42.3,42.3,41.5,41.51,10759,0
SKYU.US,D,20210129,000000,42.04,42.06,40.17,40.6904,12964,0
SKYU.US,D,20210202,000000,43.53,44.58,43.53,44.22,11331,0
SKYU.US,D,20210203,000000,44.83,45.75,44.46,45.15,14728,0
SKYU.US,D,20210204,000000,45.9,46.606,45.9,46.606,13059,0
SKYU.US,D,20210205,000000,47,48.185,47,48.1374,2919,0
SKYU.US,D,20210208,000000,49.52,49.7963,49.04,49.7963,13461,0
SKYU.US,D,20210209,000000,50.33,52.09,50.33,52.05,22524,0
SKYU.US,D,20210210,000000,52.28,52.28,48.15,50.65,19537,0
SKYU.US,D,20210211,000000,50.86,50.86,50,50.32,7793,0
SKYU.US,D,20210212,000000,49.6,50.95,49.6,50.95,2221,0
SKYU.US,D,20210216,000000,51.62,52.02,49.86,49.89,4670,0
SKYU.US,D,20210217,000000,48.88,48.9258,47.6,48.9258,3728,0
SKYU.US,D,20210218,000000,48.37,48.37,47.6,48.11,3267,0
SKYU.US,D,20210219,000000,48.78,49.21,48.78,48.79,2284,0
SKYU.US,D,20210222,000000,47.47,47.79,45.165,45.165,5834,0
SKYU.US,D,20210223,000000,42.87,43.665,40.07,43.665,4977,0
SKYU.US,D,20210224,000000,43.87,44.97,43.08,44.9484,4192,0
SKYU.US,D,20210225,000000,44.867,44.9397,40.87,40.87,10407,0
SKYU.US,D,20210226,000000,41.5,42.02,40,41.5297,2932,0
SKYU.US,D,20210301,000000,42.62,43.83,42.62,43.77,1928,0
SKYU.US,D,20210302,000000,43.21,43.528,42.71,42.71,2324,0
SKYU.US,D,20210303,000000,41.15,41.15,39.7411,39.81,1924,0
SKYU.US,D,20210304,000000,38.04,39.0595,36.31,36.54,6132,0
SKYU.US,D,20210305,000000,36.11,37.19,34.05,37.19,4896,0
SKYU.US,D,20210308,000000,36.64,36.64,35.42,35.42,825,0
SKYU.US,D,20210309,000000,37.3,38.83,37.3,38.72,1886,0
SKYU.US,D,20210310,000000,39.8,40.04,38.65,38.65,3284,0
SKYU.US,D,20210311,000000,39.26,40.65,39.26,40.65,994,0
SKYU.US,D,20210312,000000,39.99,39.99,39,39.9133,1922,0
SKYU.US,D,20210315,000000,40,40.58,40,40.58,1109,0
SKYU.US,D,20210316,000000,41.08,41.08,39.66,39.82,1368,0
SKYU.US,D,20210317,000000,39.04,40,38.75,40,1108,0
SKYU.US,D,20210319,000000,38.65,38.92,38.5,38.89,937,0
SKYU.US,D,20210322,000000,39,39,39,39,288,0
SKYU.US,D,20210323,000000,39.365,39.365,38.99,38.99,579,0
SKYU.US,D,20210324,000000,38.2,38.2,36.5899,36.5899,913,0
SKYU.US,D,20210325,000000,36.0001,36.49,35.3,36.49,1699,0
SKYU.US,D,20210326,000000,36.15,37.81,36.15,37.81,696,0
SKYU.US,D,20210329,000000,36.72,36.77,36.6,36.77,666,0
SKYU.US,D,20210330,000000,36.4972,36.4972,36.3,36.3,253,0
SKYU.US,D,20210331,000000,37.9099,38.01,37.9099,38.01,731,0
SKYU.US,D,20210401,000000,38.76,39.78,38.76,39.61,4501,0
SKYU.US,D,20210405,000000,40.04,40.47,39.67,40.46,4251,0
SKYU.US,D,20210406,000000,40.27,40.9,40.27,40.81,2169,0
SKYU.US,D,20210408,000000,41.1386,41.24,41.1386,41.24,670,0
SKYU.US,D,20210409,000000,40.58,41.6288,40.58,41.5494,950,0
SKYU.US,D,20210412,000000,41.66,41.95,41.66,41.95,691,0
SKYU.US,D,20210413,000000,42.42,42.65,42.42,42.57,1263,0
SKYU.US,D,20210414,000000,43.46,43.66,42.67,42.67,862,0
SKYU.US,D,20210415,000000,42.95,43.475,42.9,43.475,4239,0
SKYU.US,D,20210416,000000,43.035,43.035,43.035,43.035,177,0
SKYU.US,D,20210419,000000,43.05,43.05,42.06,42.06,3417,0
SKYU.US,D,20210420,000000,42.17,42.17,40.75,40.7501,845,0
SKYU.US,D,20210421,000000,41.79,41.79,41.79,41.79,319,0
SKYU.US,D,20210422,000000,42.59,42.5901,42.56,42.59,4320,0
SKYU.US,D,20210423,000000,42.91,42.91,42.9099,42.9099,2128,0
SKYU.US,D,20210426,000000,43.94,43.94,43.94,43.94,116,0
SKYU.US,D,20210427,000000,44.16,44.16,44.16,44.16,318,0
SKYU.US,D,20210428,000000,44.1,44.1,43.73,43.73,830,0
SKYU.US,D,20210429,000000,43.41,43.41,42.265,42.265,2194,0
SKYU.US,D,20210430,000000,41.78,41.8748,41.78,41.8748,962,0
SKYU.US,D,20210503,000000,40.77,40.8983,40.5018,40.5018,4435,0
SKYU.US,D,20210504,000000,39.09,39.09,37.96,38.62,4680,0
SKYU.US,D,20210505,000000,39.87,39.87,38.46,38.482,1898,0
SKYU.US,D,20210506,000000,38.1,38.1,38.08,38.08,1358,0
SKYU.US,D,20210510,000000,37.68,37.68,37.4206,37.4206,1503,0
SKYU.US,D,20210511,000000,35,36.11,35,36.11,1844,0
SKYU.US,D,20210512,000000,36.46,36.46,35.24,35.24,1156,0
SKYU.US,D,20210514,000000,36.24,36.4,36.2399,36.4,1300,0
SKYU.US,D,20210517,000000,36.5603,36.69,36.5603,36.69,1768,0
SKYU.US,D,20210518,000000,36.91,37.52,36.91,37.16,1141,0
SKYU.US,D,20210519,000000,36.25,36.25,36.25,36.25,367,0
SKYU.US,D,20210520,000000,37.79,37.79,37.767,37.767,1038,0
SKYU.US,D,20210521,000000,38.02,38.02,37.9,37.9,620,0
SKYU.US,D,20210524,000000,38.31,38.31,38.31,38.31,272,0
SKYU.US,D,20210525,000000,38.9,38.9,38.6522,38.6522,605,0
SKYU.US,D,20210526,000000,39.54,39.62,39.54,39.62,435,0
SKYU.US,D,20210601,000000,39.75,39.75,39.75,39.75,562,0
SKYU.US,D,20210602,000000,39.445,39.7411,39.445,39.7411,381,0
SKYU.US,D,20210603,000000,39.15,39.1501,38.92,38.92,631,0
SKYU.US,D,20210604,000000,40.11,40.2254,40.11,40.2254,449,0
SKYU.US,D,20210607,000000,40.6099,40.87,40.6099,40.8211,793,0
SKYU.US,D,20210608,000000,40.98,40.98,40.98,40.98,374,0
SKYU.US,D,20210609,000000,42.18,42.18,41.8478,41.8478,722,0
SKYU.US,D,20210611,000000,42.2656,42.555,42.2656,42.555,1036,0
SKYU.US,D,20210615,000000,43.17,43.17,43.17,43.17,1182,0
SKYU.US,D,20210616,000000,43.21,43.21,42.35,42.35,868,0
SKYU.US,D,20210617,000000,43.68,44.293,43.68,44.293,423,0
SKYU.US,D,20210618,000000,44.11,44.25,43.82,44.25,577,0
SKYU.US,D,20210621,000000,44.66,44.79,44.66,44.74,731,0
SKYU.US,D,20210622,000000,44.9,45.25,44.6799,45.25,2412,0
SKYU.US,D,20210623,000000,45.01,45.1499,44.9766,44.9766,779,0
SKYU.US,D,20210624,000000,45.2628,45.4301,45.2628,45.4301,889,0
SKYU.US,D,20210629,000000,46.93,47.14,46.816,47.0546,630,0
SKYU.US,D,20210630,000000,45.9111,45.9111,45.7467,45.7467,106,0
SKYU.US,D,20210701,000000,46.08,46.08,45.5,45.6714,1108,0
SKYU.US,D,20210702,000000,45.664,45.8171,45.616,45.8171,2227,0
SKYU.US,D,20210706,000000,46.72,46.741,46.6484,46.6484,923,0
SKYU.US,D,20210707,000000,46.7199,46.72,46.59,46.5901,1088,0
SKYU.US,D,20210708,000000,45.25,46,44.43,45.365,2783,0
SKYU.US,D,20210709,000000,46.6399,46.6471,46.6399,46.6471,578,0
SKYU.US,D,20210712,000000,45.8769,45.8769,45.8769,45.8769,363,0
SKYU.US,D,20210713,000000,46,46.2512,46,46.2512,373,0
SKYU.US,D,20210714,000000,45.425,45.425,45.425,45.425,584,0
SKYU.US,D,20210715,000000,43.57,43.73,43.26,43.73,1268,0
SKYU.US,D,20210716,000000,43.6,43.6,43.6,43.6,277,0
SKYU.US,D,20210719,000000,42.835,43.1009,42.835,43.1009,355,0
SKYU.US,D,20210720,000000,43.41,44.5236,43.41,44.5236,875,0
SKYU.US,D,20210721,000000,45.41,45.5966,44.53,45.5966,1035,0
SKYU.US,D,20210722,000000,46,46.225,46,46.1248,862,0
SKYU.US,D,20210728,000000,45.49,46.32,45.38,46.1586,1994,0
SKYU.US,D,20210729,000000,46.24,46.24,46.0446,46.0446,364,0
SKYU.US,D,20210730,000000,45.6999,45.84,45.6999,45.84,1584,0
SKYU.US,D,20210802,000000,45.26,45.6,45.26,45.6,426,0
SKYU.US,D,20210804,000000,46.33,46.33,46.33,46.33,162,0
SKYU.US,D,20210805,000000,47.07,47.1938,47.07,47.1938,410,0
SKYU.US,D,20210806,000000,46.85,47.12,46.8499,46.9,3565,0
SKYU.US,D,20210809,000000,47.33,47.44,47.33,47.44,458,0
SKYU.US,D,20210810,000000,47.5,47.5,46.33,46.33,814,0
SKYU.US,D,20210811,000000,46,46.15,46,46.15,973,0
SKYU.US,D,20210812,000000,46.1,46.355,46.09,46.355,639,0
SKYU.US,D,20210813,000000,46.23,46.23,46.1879,46.1879,543,0
SKYU.US,D,20210817,000000,44.101,44.1607,44.101,44.1607,816,0
