<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZS.US,D,20180316,000000,27.5,33.47,26.06,33,16931889,0
ZS.US,D,20180319,000000,31.45,31.5,26.75,27.9,5892131,0
ZS.US,D,20180320,000000,28.41,30.904,28.07,30.38,3262038,0
ZS.US,D,20180321,000000,30.79,34.83,29.29,31.08,4460935,0
ZS.US,D,20180322,000000,30,31.88,28.56,29.83,3239508,0
ZS.US,D,20180323,000000,30.31,30.45,28.6,29.43,1247139,0
ZS.US,D,20180326,000000,30.63,30.9378,27.3,27.83,1916674,0
ZS.US,D,20180327,000000,28,28.599,26.6,27.75,1719509,0
ZS.US,D,20180328,000000,27.35,28.19,27,27.53,825073,0
ZS.US,D,20180329,000000,27.75,28.455,26.8,28.07,1137560,0
ZS.US,D,20180402,000000,27.9,28.66,26.807,27.06,786724,0
ZS.US,D,20180403,000000,27.13,27.19,26.5,26.8,787493,0
ZS.US,D,20180404,000000,26.35,28.95,26.32,27.97,1023806,0
ZS.US,D,20180405,000000,28.61,29.15,27.97,28.53,1210399,0
ZS.US,D,20180406,000000,28.32,29.6632,28.05,28.22,737506,0
ZS.US,D,20180409,000000,28.47,28.7,26.5,26.54,934609,0
ZS.US,D,20180410,000000,27.06,28.5,26.84,28.07,1068731,0
ZS.US,D,20180411,000000,27.71,29.37,27.4,27.71,794623,0
ZS.US,D,20180412,000000,27.81,28.59,27.775,27.96,258901,0
ZS.US,D,20180413,000000,28.7,28.7,27.03,27.48,418341,0
ZS.US,D,20180416,000000,27.89,29,27.565,28.99,401086,0
ZS.US,D,20180417,000000,29.31,29.9729,28.63,28.75,951462,0
ZS.US,D,20180418,000000,28.96,29,28,28.65,377663,0
ZS.US,D,20180419,000000,28.65,28.945,27.75,28.03,265498,0
ZS.US,D,20180420,000000,28.05,28.23,27.03,27.22,522660,0
ZS.US,D,20180423,000000,27.2,27.58,26.5,26.86,626825,0
ZS.US,D,20180424,000000,27,27.97,27,27.14,393167,0
ZS.US,D,20180425,000000,27.09,28.45,26.85,28.11,415697,0
ZS.US,D,20180426,000000,28.4,28.81,28.1705,28.65,396100,0
ZS.US,D,20180427,000000,28.86,28.93,28.411,28.71,197167,0
ZS.US,D,20180430,000000,28.7,30.0599,28.7,29.89,399091,0
ZS.US,D,20180501,000000,29.8,30.03,29,29.13,418632,0
ZS.US,D,20180502,000000,29.32,30.06,29.01,29.95,265313,0
ZS.US,D,20180503,000000,28.75,28.75,26.7501,27.57,1937351,0
ZS.US,D,20180504,000000,27.58,27.96,27.58,27.86,651340,0
ZS.US,D,20180507,000000,28,28.35,27.51,27.65,470157,0
ZS.US,D,20180508,000000,27.65,27.91,27.27,27.53,266415,0
ZS.US,D,20180509,000000,27.49,27.87,27.3339,27.85,325459,0
ZS.US,D,20180510,000000,27.85,28.82,27.5,28.18,380911,0
ZS.US,D,20180511,000000,28.25,29.46,28.01,29.32,604653,0
ZS.US,D,20180514,000000,29.37,30.1,28.41,28.47,564752,0
ZS.US,D,20180515,000000,28.42,28.76,27.25,27.41,753641,0
ZS.US,D,20180516,000000,27.53,27.8,27.065,27.09,383086,0
ZS.US,D,20180517,000000,27.07,28.51,26.7524,27.39,676303,0
