<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZIONP.US,D,20200107,000000,24.75,24.83,24.75,24.83,2400,0
ZIONP.US,D,20200108,000000,24.77,25,24.7,25,3575,0
ZIONP.US,D,20200109,000000,24.82,24.98,24.72,24.72,2915,0
ZIONP.US,D,20200110,000000,24.7973,24.7973,24.71,24.75,520,0
ZIONP.US,D,20200113,000000,24.7,24.81,24.7,24.81,1159,0
ZIONP.US,D,20200114,000000,24.62,24.944,24.62,24.7768,945,0
ZIONP.US,D,20200115,000000,24.79,24.9445,24.64,24.66,1785,0
ZIONP.US,D,20200116,000000,24.7006,24.7056,24.62,24.63,3773,0
ZIONP.US,D,20200117,000000,24.701,24.7808,24.62,24.64,2791,0
ZIONP.US,D,20200121,000000,24.62,24.8465,24.62,24.65,4407,0
ZIONP.US,D,20200122,000000,24.84,24.98,24.728,24.98,3130,0
ZIONP.US,D,20200123,000000,24.6891,24.97,24.65,24.84,4391,0
ZIONP.US,D,20200124,000000,24.7792,24.99,24.7792,24.98,4035,0
ZIONP.US,D,20200127,000000,24.9799,24.98,24.782,24.98,3060,0
ZIONP.US,D,20200128,000000,24.9008,24.9133,24.76,24.7611,4399,0
ZIONP.US,D,20200129,000000,24.76,24.8166,24.66,24.8166,12241,0
ZIONP.US,D,20200130,000000,24.9,24.9,24.657,24.87,4131,0
ZIONP.US,D,20200131,000000,24.9,24.9,24.9,24.9,470,0
ZIONP.US,D,20200203,000000,24.9,24.9,24.884,24.884,763,0
ZIONP.US,D,20200204,000000,24.87,25,24.755,24.9,3645,0
ZIONP.US,D,20200205,000000,24.72,24.9933,24.72,24.9933,2411,0
ZIONP.US,D,20200206,000000,24.83,24.83,24.821,24.821,415,0
ZIONP.US,D,20200207,000000,24.9399,24.9399,24.88,24.8952,1396,0
ZIONP.US,D,20200210,000000,24.9,25,24.7312,24.766,1916,0
ZIONP.US,D,20200211,000000,24.75,25,24.75,24.9714,2213,0
ZIONP.US,D,20200212,000000,25,25,24.78,24.78,3244,0
ZIONP.US,D,20200213,000000,24.8001,24.95,24.8001,24.8233,532,0
ZIONP.US,D,20200214,000000,24.865,24.98,24.865,24.97,653,0
ZIONP.US,D,20200218,000000,24.815,24.815,24.7717,24.7717,733,0
ZIONP.US,D,20200219,000000,24.77,24.8674,24.655,24.655,5068,0
ZIONP.US,D,20200220,000000,24.66,24.87,24.66,24.87,951,0
ZIONP.US,D,20200221,000000,24.9,24.9059,24.8314,24.8314,1028,0
ZIONP.US,D,20200224,000000,24.9,24.95,24.9,24.94,405,0
ZIONP.US,D,20200225,000000,24.775,24.95,24.6,24.6,7303,0
ZIONP.US,D,20200226,000000,24,24.6889,23.8735,24.6889,2094,0
ZIONP.US,D,20200227,000000,24.146,24.688,23.62,23.989,11737,0
ZIONP.US,D,20200228,000000,23.67,24.19,23.63,24.19,511,0
ZIONP.US,D,20200302,000000,24.5814,24.89,24.03,24.228,2854,0
ZIONP.US,D,20200303,000000,24.6075,24.98,24.6,24.86,8904,0
ZIONP.US,D,20200304,000000,25,25,24.27,24.5696,1950,0
ZIONP.US,D,20200305,000000,24.63,24.63,24.45,24.45,3831,0
ZIONP.US,D,20200306,000000,24.6,24.6,24.03,24.25,7936,0
ZIONP.US,D,20200309,000000,23.11,23.4614,23.07,23.1452,2562,0
ZIONP.US,D,20200310,000000,23.26,23.617,22.9648,23.0749,6720,0
ZIONP.US,D,20200311,000000,22.8,22.8,22.3608,22.3608,4253,0
ZIONP.US,D,20200312,000000,22.5,22.5,19,20.3998,8731,0
ZIONP.US,D,20200313,000000,19,20.5,19,19.83,5226,0
