<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZNTL.US,D,20200403,000000,25.2,27,23,23.2,1915036,0
ZNTL.US,D,20200406,000000,24.69,26.14,23.5,24.39,213139,0
ZNTL.US,D,20200407,000000,24.76,25.33,22,23.75,289795,0
ZNTL.US,D,20200408,000000,23.99,26.49,23.25,24.8,274440,0
ZNTL.US,D,20200409,000000,25.25,26.34,24.25,24.31,69721,0
ZNTL.US,D,20200413,000000,24.5,25.1,23.81,23.9,88741,0
ZNTL.US,D,20200414,000000,24.04,26.39,23.28,25.12,238193,0
ZNTL.US,D,20200415,000000,24.89,25.84,23.9,24.48,205471,0
ZNTL.US,D,20200416,000000,24.48,25.8371,24,24.38,131013,0
ZNTL.US,D,20200417,000000,24.4,25.4375,24.125,24.56,264285,0
ZNTL.US,D,20200420,000000,24.61,25.301,24.035,24.12,529724,0
ZNTL.US,D,20200421,000000,24.39,25.73,23.5,25.56,259794,0
ZNTL.US,D,20200422,000000,25.82,27,25,26.79,117956,0
ZNTL.US,D,20200423,000000,26.59,29.33,26.0193,28.45,110681,0
ZNTL.US,D,20200424,000000,28.51,30.78,28.3001,30.5,155226,0
ZNTL.US,D,20200427,000000,31,32.8,30.6953,31.76,89372,0
ZNTL.US,D,20200428,000000,33.72,35.57,32.17,35.57,198783,0
ZNTL.US,D,20200429,000000,36.42,37.43,35.3,36.16,187668,0
ZNTL.US,D,20200430,000000,35.57,36.5,34.28,35.1,233948,0
ZNTL.US,D,20200501,000000,34.33,35.39,30.77,31.29,318087,0
ZNTL.US,D,20200504,000000,30.56,31.97,28.0106,31.93,161304,0
ZNTL.US,D,20200505,000000,31.21,34.5744,30.28,33.26,192100,0
ZNTL.US,D,20200506,000000,33.63,33.63,31.26,32.98,230081,0
ZNTL.US,D,20200507,000000,32.98,34.31,31.5,31.93,253523,0
ZNTL.US,D,20200508,000000,32.15,33.8164,31.815,33.27,127231,0
ZNTL.US,D,20200511,000000,32.63,38.03,32.63,34.5,325628,0
ZNTL.US,D,20200512,000000,34.7,37.125,34.55,35.64,172323,0
ZNTL.US,D,20200513,000000,36.07,38.99,34.96,36.5,273985,0
ZNTL.US,D,20200514,000000,36.87,38.97,35.17,37.96,139015,0
ZNTL.US,D,20200515,000000,38.18,42.83,35.81,35.87,171261,0
ZNTL.US,D,20200518,000000,37.5,40.445,36.4,39.65,116085,0
ZNTL.US,D,20200519,000000,39.53,44.8,37.4919,44.66,196820,0
ZNTL.US,D,20200520,000000,45.26,48.6099,37.54,41.07,305779,0
ZNTL.US,D,20200521,000000,41.05,42.45,39.34,40.04,86932,0
ZNTL.US,D,20200522,000000,40.29,41.38,37.69,39.07,162376,0
ZNTL.US,D,20200526,000000,40.13,40.88,39.17,39.64,88660,0
ZNTL.US,D,20200527,000000,39.98,42.38,38.885,41.72,105736,0
ZNTL.US,D,20200528,000000,41.93,43.09,40.715,41.3,164010,0
ZNTL.US,D,20200529,000000,41.56,52.43,39.6113,52.22,338280,0
ZNTL.US,D,20200601,000000,52.19,52.4285,45.33,49.35,278841,0
ZNTL.US,D,20200602,000000,48.75,51.94,45.847,51.46,124825,0
ZNTL.US,D,20200603,000000,51.45,52.08,47.44,50.81,202184,0
ZNTL.US,D,20200604,000000,49.53,52.9899,46.59,48.49,165526,0
ZNTL.US,D,20200605,000000,48.13,50.15,43.61,45.6,199066,0
ZNTL.US,D,20200608,000000,45.67,49.96,45.67,47.14,129792,0
ZNTL.US,D,20200609,000000,48.71,51.51,47.4,49.38,196795,0
ZNTL.US,D,20200610,000000,49.15,49.75,45.54,45.93,131231,0
ZNTL.US,D,20200611,000000,45.28,45.575,41,41.07,168417,0
ZNTL.US,D,20200612,000000,41.9,45.0162,41.64,41.95,198103,0
ZNTL.US,D,20200615,000000,41.95,47.62,41.95,46.88,237420,0
ZNTL.US,D,20200616,000000,47.81,51.2,44.55,47.27,161795,0
ZNTL.US,D,20200617,000000,47.55,54.2,47.44,52.25,321015,0
ZNTL.US,D,20200618,000000,51.6,54.89,51.24,52.1,236407,0
ZNTL.US,D,20200619,000000,51.98,55.82,50.04,53.12,1064210,0
ZNTL.US,D,20200622,000000,52.61,53.87,47.02,48.41,329754,0
ZNTL.US,D,20200623,000000,48.17,51.22,48.17,49.25,395695,0
ZNTL.US,D,20200624,000000,49.01,53.22,49.01,51.57,290290,0
ZNTL.US,D,20200625,000000,51.73,59.32,50.02,54.8,284004,0
ZNTL.US,D,20200626,000000,55.25,57.59,47.83,47.85,1451578,0
ZNTL.US,D,20200629,000000,48.49,48.49,45.26,45.47,120390,0
ZNTL.US,D,20200630,000000,45.59,48.81,44.47,48.02,286251,0
ZNTL.US,D,20200701,000000,48.19,49.414,46.12,47.8,161050,0
ZNTL.US,D,20200702,000000,48.51,48.98,46,47.97,78056,0
ZNTL.US,D,20200706,000000,47.97,47.97,43.56,44.09,190032,0
ZNTL.US,D,20200707,000000,43.62,43.92,42.08,42.65,107406,0
ZNTL.US,D,20200708,000000,42.96,43.84,40.38,42.54,136327,0
