<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SNAXW.US,D,20190307,000000,0.2,0.2,0.1624,0.1624,26900,0
SNAXW.US,D,20190308,000000,0.2,0.2,0.19,0.19,65000,0
SNAXW.US,D,20190311,000000,0.19,0.19,0.19,0.19,300,0
SNAXW.US,D,20190312,000000,0.19,0.19,0.19,0.19,200,0
SNAXW.US,D,20190313,000000,0.19,0.19,0.19,0.19,31200,0
SNAXW.US,D,20190314,000000,0.19,0.1901,0.19,0.19,101100,0
SNAXW.US,D,20190315,000000,0.19,0.19,0.19,0.19,33700,0
SNAXW.US,D,20190318,000000,0.19,0.19,0.19,0.19,300,0
SNAXW.US,D,20190321,000000,0.18,0.18,0.17,0.17,301000,0
SNAXW.US,D,20190322,000000,0.2,0.2,0.2,0.2,300,0
SNAXW.US,D,20190325,000000,0.19,0.19,0.17,0.1701,63000,0
SNAXW.US,D,20190328,000000,0.1901,0.2,0.1901,0.2,7800,0
SNAXW.US,D,20190401,000000,0.19,0.19,0.18,0.18,25000,0
SNAXW.US,D,20190404,000000,0.2,0.2,0.2,0.2,200,0
SNAXW.US,D,20190405,000000,0.19,0.19,0.1801,0.1801,11800,0
SNAXW.US,D,20190411,000000,0.1702,0.21,0.17,0.2,183680,0
SNAXW.US,D,20190415,000000,0.2,0.2,0.2,0.2,30100,0
SNAXW.US,D,20190416,000000,0.2,0.2,0.2,0.2,25300,0
SNAXW.US,D,20190417,000000,0.22,0.22,0.22,0.22,56000,0
SNAXW.US,D,20190418,000000,0.2,0.25,0.2,0.24,78200,0
SNAXW.US,D,20190422,000000,0.25,0.25,0.25,0.25,14300,0
SNAXW.US,D,20190423,000000,0.25,0.25,0.25,0.25,126300,0
SNAXW.US,D,20190424,000000,0.25,0.25,0.25,0.25,100,0
SNAXW.US,D,20190429,000000,0.25,0.25,0.25,0.25,4000,0
SNAXW.US,D,20190430,000000,0.25,0.25,0.25,0.25,17500,0
SNAXW.US,D,20190501,000000,0.25,0.25,0.25,0.25,2000,0
SNAXW.US,D,20190502,000000,0.25,0.26,0.25,0.26,7400,0
SNAXW.US,D,20190503,000000,0.25,0.26,0.25,0.2588,1520,0
SNAXW.US,D,20190506,000000,0.25,0.25,0.25,0.25,1000,0
SNAXW.US,D,20190507,000000,0.25,0.25,0.25,0.25,1800,0
SNAXW.US,D,20190508,000000,0.25,0.25,0.25,0.25,39400,0
SNAXW.US,D,20190514,000000,0.24,0.24,0.24,0.24,100,0
SNAXW.US,D,20190515,000000,0.2589,0.26,0.23,0.23,5600,0
SNAXW.US,D,20190520,000000,0.2536,0.2536,0.2536,0.2536,100,0
SNAXW.US,D,20190521,000000,0.22,0.24,0.19,0.24,23500,0
SNAXW.US,D,20190529,000000,0.22,0.22,0.19,0.22,96040,0
SNAXW.US,D,20190530,000000,0.2,0.2,0.2,0.2,4000,0
