<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
VSSYW.US,D,20210119,000000,3,5.5,2.6,3.5,226640,0
VSSYW.US,D,20210120,000000,3.78,3.8,3.03,3.39,45917,0
VSSYW.US,D,20210121,000000,3.21,3.55,2.76,3.11,65187,0
VSSYW.US,D,20210122,000000,3.13,3.75,3.11,3.7499,21887,0
VSSYW.US,D,20210125,000000,3.6,3.61,3.215,3.3,19842,0
VSSYW.US,D,20210126,000000,3.32,3.5,2.9454,3.2,26180,0
VSSYW.US,D,20210127,000000,2.9999,2.9999,2.25,2.7999,13549,0
VSSYW.US,D,20210128,000000,2.95,2.95,2.75,2.84,3645,0
VSSYW.US,D,20210129,000000,2.8376,2.86,2.5,2.72,24789,0
VSSYW.US,D,20210201,000000,2.55,3.12,2.53,3.12,19556,0
VSSYW.US,D,20210202,000000,3.3,3.5,2.99,3.36,13074,0
VSSYW.US,D,20210203,000000,3.4999,4.69,3.315,3.94,18465,0
VSSYW.US,D,20210204,000000,4.3,4.53,4.05,4.398,16813,0
VSSYW.US,D,20210205,000000,4.49,4.49,4.25,4.25,3490,0
VSSYW.US,D,20210208,000000,4,4.49,4,4.49,6035,0
VSSYW.US,D,20210209,000000,4.0101,4.0101,4.0101,4.0101,244,0
VSSYW.US,D,20210210,000000,4.2001,5.06,4.2001,4.95,8871,0
VSSYW.US,D,20210211,000000,4.52,4.53,4.1272,4.4,9456,0
VSSYW.US,D,20210212,000000,3.608,5,3.608,5,6256,0
VSSYW.US,D,20210216,000000,4.53,5.01,4.5,5,8684,0
VSSYW.US,D,20210217,000000,5.5,5.5,4.6955,4.88,27248,0
VSSYW.US,D,20210218,000000,4.65,4.76,4.35,4.35,14394,0
VSSYW.US,D,20210219,000000,4.4,4.8,4.4,4.6,4640,0
VSSYW.US,D,20210222,000000,4.6,4.6,4.59,4.6,1201,0
VSSYW.US,D,20210223,000000,4.5,4.5225,3.95,4.5,4310,0
VSSYW.US,D,20210224,000000,4.51,4.51,3.9999,4.28,5053,0
VSSYW.US,D,20210225,000000,3.82,4.2,3.78,4.2,4386,0
VSSYW.US,D,20210226,000000,3.79,4.2,3.78,4.1622,10785,0
VSSYW.US,D,20210301,000000,4.5,4.5,4.48,4.5,2686,0
VSSYW.US,D,20210302,000000,4.4999,4.4999,4.2,4.2225,2162,0
VSSYW.US,D,20210303,000000,4,4,3.8,3.8,932,0
VSSYW.US,D,20210305,000000,3.5,3.5,3.5,3.5,540,0
VSSYW.US,D,20210309,000000,3.8,4.25,3.75,4.24,1030,0
VSSYW.US,D,20210311,000000,4,4.5,4,4.2,2301,0
VSSYW.US,D,20210312,000000,3.78,4.5,3.16,4.5,14587,0
VSSYW.US,D,20210315,000000,3.8,3.8,3.8,3.8,646,0
VSSYW.US,D,20210316,000000,3.8,4,3.7399,4,6955,0
VSSYW.US,D,20210322,000000,3.6,3.7,3.6,3.7,1128,0
VSSYW.US,D,20210323,000000,3.59,3.6,3.31,3.6,3116,0
VSSYW.US,D,20210324,000000,3.6,3.8,3.5999,3.7999,9206,0
VSSYW.US,D,20210326,000000,3.07,3.8,2.54,3.79,2992,0
VSSYW.US,D,20210330,000000,3.75,3.75,3.75,3.75,274,0
VSSYW.US,D,20210331,000000,3.75,3.75,3.75,3.75,2203,0
VSSYW.US,D,20210401,000000,3.7,3.7,3.6999,3.6999,700,0
VSSYW.US,D,20210405,000000,3.75,3.75,3.75,3.75,338,0
VSSYW.US,D,20210407,000000,3.7,3.7,3.59,3.7,6060,0
VSSYW.US,D,20210408,000000,3.6,3.75,3.1,3.75,2200,0
VSSYW.US,D,20210409,000000,3.3,3.75,3.26,3.7412,4531,0
VSSYW.US,D,20210412,000000,3.75,3.75,3.4,3.75,5595,0
VSSYW.US,D,20210413,000000,3.75,3.75,3.6999,3.7,605,0
VSSYW.US,D,20210414,000000,3.1749,3.7,3.1749,3.7,4445,0
VSSYW.US,D,20210416,000000,3.7001,3.7001,3.7001,3.7001,326,0
VSSYW.US,D,20210420,000000,3.75,3.75,2.9999,3.75,15780,0
VSSYW.US,D,20210423,000000,3.7388,3.75,3.73,3.7462,1386,0
VSSYW.US,D,20210426,000000,3.5,3.5,3.25,3.26,1000,0
VSSYW.US,D,20210427,000000,3.67,3.7,3.25,3.25,1714,0
VSSYW.US,D,20210428,000000,3.45,3.75,3.31,3.71,5346,0
VSSYW.US,D,20210429,000000,3.75,4.18,3.75,4.18,7285,0
VSSYW.US,D,20210430,000000,5,5,4.95,4.95,3996,0
VSSYW.US,D,20210503,000000,4.75,4.77,4.7087,4.75,8988,0
VSSYW.US,D,20210505,000000,4.65,4.6549,4.65,4.65,700,0
VSSYW.US,D,20210506,000000,4.23,4.75,4.2,4.3001,1227,0
VSSYW.US,D,20210510,000000,4.3,4.3,4.3,4.3,165,0
VSSYW.US,D,20210512,000000,4.75,4.75,4.31,4.31,507,0
VSSYW.US,D,20210514,000000,4.75,4.75,4.75,4.75,100,0
VSSYW.US,D,20210517,000000,2.51,4.9999,2.51,4.9999,2211,0
VSSYW.US,D,20210519,000000,4.25,4.5,4.25,4.5,317,0
VSSYW.US,D,20210520,000000,4.01,4.01,3.25,3.25,4642,0
VSSYW.US,D,20210527,000000,3.51,3.51,3.4,3.4,800,0
VSSYW.US,D,20210601,000000,4.22,4.61,4.22,4.58,7649,0
VSSYW.US,D,20210602,000000,3.61,3.61,3.5201,3.54,958,0
VSSYW.US,D,20210608,000000,4.4,4.4,3.55,3.55,781,0
VSSYW.US,D,20210609,000000,3.6,3.6,3.51,3.51,12022,0
VSSYW.US,D,20210610,000000,3.4,3.4,3.4,3.4,3000,0
VSSYW.US,D,20210611,000000,3.8,3.8,3.4,3.4,723,0
VSSYW.US,D,20210614,000000,3.4001,3.47,3.01,3.25,6101,0
VSSYW.US,D,20210615,000000,2.27,3.08,2.27,2.95,606,0
VSSYW.US,D,20210616,000000,2.7999,2.95,2.7999,2.95,1418,0
VSSYW.US,D,20210621,000000,2.7601,2.98,2.7601,2.98,900,0
VSSYW.US,D,20210622,000000,2.75,2.97,2.75,2.79,588,0
VSSYW.US,D,20210623,000000,2.99,2.99,2.77,2.88,1885,0
VSSYW.US,D,20210625,000000,2.51,2.99,2.51,2.78,1085,0
VSSYW.US,D,20210629,000000,2.3101,3.34,2.3101,3.34,1036,0
VSSYW.US,D,20210707,000000,3.4,3.4,3.4,3.4,102,0
VSSYW.US,D,20210709,000000,2.945,3.22,2.52,3.22,3518,0
VSSYW.US,D,20210714,000000,2.5,2.83,2.49,2.78,3855,0
VSSYW.US,D,20210716,000000,2.52,2.97,2.51,2.73,5766,0
VSSYW.US,D,20210721,000000,2.45,2.5,2.45,2.46,2316,0
