<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TNDM.US,D,20131114,000000,195,202,186.1,192.6,399710,0
TNDM.US,D,20131115,000000,191.5,233.6,190.8,218.4,42590,0
TNDM.US,D,20131118,000000,238.9,240,196,206.2,19665,0
TNDM.US,D,20131119,000000,202.7,206.6,195,201.1,30930,0
TNDM.US,D,20131120,000000,200.1,206.1,198.1,200.4,36880,0
TNDM.US,D,20131121,000000,200.1,224,200.1,218.3,12821,0
TNDM.US,D,20131122,000000,224.9,224.9,202.1,206.6,13200,0
TNDM.US,D,20131125,000000,211.1,211.1,199.9,201.8,19520,0
TNDM.US,D,20131126,000000,200,218.8,200,217.7,12794,0
TNDM.US,D,20131127,000000,216.5,227.3,210.5,224.4,3040,0
TNDM.US,D,20131129,000000,230,230,215.6,220.1,9235,0
TNDM.US,D,20131202,000000,220,226.7,214.1,225.4,4860,0
TNDM.US,D,20131203,000000,225,225.9,219,224.6,6780,0
TNDM.US,D,20131204,000000,220.4,232.7,220.4,228.8,14220,0
TNDM.US,D,20131205,000000,230,251.9,230,248,25470,0
TNDM.US,D,20131206,000000,245.1,259.4,233.68,247.9,13983,0
TNDM.US,D,20131209,000000,249.3,250.4,234,239.1,24050,0
TNDM.US,D,20131210,000000,251,254.9,238.6,240,9557,0
TNDM.US,D,20131211,000000,248.5,248.5,232.5,235,9830,0
TNDM.US,D,20131212,000000,235,245,231,233,10260,0
TNDM.US,D,20131213,000000,233.8,237.79,222.6,226.7,16165,0
TNDM.US,D,20131216,000000,227,241.1,227,237,18010,0
TNDM.US,D,20131217,000000,244.2,244.2,223.5,235.2,19880,0
TNDM.US,D,20131218,000000,233.2,241.5,223.1,234.6,13890,0
TNDM.US,D,20131219,000000,229.3,233.2,215.3,226.1,22742,0
TNDM.US,D,20131220,000000,227.5,238.1,225.5,237,166585,0
TNDM.US,D,20131223,000000,243.6,244,236.3,243.8,6757,0
TNDM.US,D,20131224,000000,243.3,247.6,237.7,246.3,7543,0
TNDM.US,D,20131226,000000,248.3,259.2,245.2,249,5000,0
TNDM.US,D,20131227,000000,250.1,251.9,238.3,249.9,10000,0
TNDM.US,D,20131230,000000,252.1,270,246.5,247.9,16490,0
TNDM.US,D,20131231,000000,247.7,258.3,244.3,257.7,9520,0
TNDM.US,D,20140102,000000,259.4,269.1,251.1,255.9,9924,0
TNDM.US,D,20140103,000000,257.1,272.1,255.1,268,11492,0
TNDM.US,D,20140106,000000,270.2,292.3,270.2,284.1,12300,0
TNDM.US,D,20140107,000000,284,294.6,277.62,284.6,11171,0
TNDM.US,D,20140108,000000,284.6,288,277.6,283.8,14243,0
TNDM.US,D,20140109,000000,286,301,285.5,297.3,14493,0
TNDM.US,D,20140110,000000,298.5,302.4,295.3,299.8,10570,0
TNDM.US,D,20140113,000000,297.7,297.7,285,293.4,12210,0
TNDM.US,D,20140114,000000,293.5,302.5,291.6,295.1,9770,0
TNDM.US,D,20140115,000000,294.3,295,283.9,290,14210,0
TNDM.US,D,20140116,000000,288.6,289.9,261,262.2,19480,0
TNDM.US,D,20140117,000000,260.6,277.3,252.09,269.7,17458,0
TNDM.US,D,20140121,000000,277.9,277.9,242.5,268.5,39580,0
