<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
UCBIO.US,D,20200611,000000,24.264,24.323,23.669,24.087,151480,0
UCBIO.US,D,20200612,000000,24.579,24.579,23.989,24.028,94127,0
UCBIO.US,D,20200615,000000,24.028,24.127,23.876,24.087,161205,0
UCBIO.US,D,20200616,000000,24.254,24.515,24.205,24.372,117689,0
UCBIO.US,D,20200617,000000,24.333,24.353,24.038,24.146,203773,0
UCBIO.US,D,20200618,000000,24.087,24.313,24.019,24.313,44329,0
UCBIO.US,D,20200619,000000,24.342,24.441,24.333,24.431,47197,0
UCBIO.US,D,20200622,000000,24.431,24.52,24.284,24.49,63259,0
UCBIO.US,D,20200623,000000,24.52,24.569,24.412,24.471,103687,0
UCBIO.US,D,20200624,000000,24.471,24.471,24.186,24.431,61266,0
UCBIO.US,D,20200625,000000,24.351,24.53,24.323,24.53,99445,0
UCBIO.US,D,20200626,000000,24.431,24.53,24.431,24.431,39006,0
UCBIO.US,D,20200629,000000,24.461,24.579,24.461,24.579,46831,0
UCBIO.US,D,20200630,000000,24.53,24.579,24.146,24.146,138146,0
UCBIO.US,D,20200701,000000,24.254,24.382,24.151,24.353,48804,0
UCBIO.US,D,20200702,000000,24.402,24.481,24.284,24.284,67663,0
UCBIO.US,D,20200706,000000,24.481,24.481,24.254,24.304,22927,0
UCBIO.US,D,20200707,000000,24.328,24.461,24.274,24.294,33155,0
UCBIO.US,D,20200708,000000,24.46,24.53,24.353,24.382,31562,0
UCBIO.US,D,20200709,000000,24.441,24.53,24.363,24.363,11567,0
UCBIO.US,D,20200710,000000,24.471,24.481,24.382,24.461,21282,0
UCBIO.US,D,20200713,000000,24.461,24.53,24.402,24.431,16259,0
UCBIO.US,D,20200714,000000,24.53,24.53,24.333,24.461,30463,0
UCBIO.US,D,20200715,000000,24.53,24.579,24.284,24.53,29890,0
UCBIO.US,D,20200716,000000,24.579,24.579,24.481,24.569,18630,0
UCBIO.US,D,20200717,000000,24.392,24.579,24.392,24.579,27491,0
UCBIO.US,D,20200720,000000,24.579,24.579,24.313,24.536,43528,0
UCBIO.US,D,20200721,000000,24.451,24.726,24.451,24.481,144936,0
UCBIO.US,D,20200722,000000,24.54,24.726,24.53,24.53,41136,0
UCBIO.US,D,20200723,000000,24.54,24.874,24.54,24.707,68905,0
UCBIO.US,D,20200724,000000,24.717,25.267,24.717,24.854,86732,0
UCBIO.US,D,20200727,000000,24.894,25.002,24.825,24.874,50218,0
UCBIO.US,D,20200728,000000,24.874,25.051,24.736,24.972,54129,0
UCBIO.US,D,20200729,000000,24.923,25.267,24.923,25.218,64417,0
UCBIO.US,D,20200730,000000,25.238,25.542,25.179,25.493,37686,0
UCBIO.US,D,20200731,000000,25.464,25.542,25.238,25.336,42187,0
UCBIO.US,D,20200803,000000,25.405,25.483,25.189,25.287,25682,0
UCBIO.US,D,20200804,000000,25.266,25.267,25.08,25.144,36264,0
UCBIO.US,D,20200805,000000,25.257,25.511,25.197,25.493,25877,0
UCBIO.US,D,20200806,000000,25.523,25.523,25.326,25.462,10260,0
UCBIO.US,D,20200807,000000,25.513,25.523,25.346,25.403,27673,0
UCBIO.US,D,20200810,000000,25.512,25.683,25.469,25.66,39506,0
UCBIO.US,D,20200811,000000,25.68,25.936,25.572,25.572,33233,0
UCBIO.US,D,20200812,000000,25.71,26.004,25.536,26.004,16623,0
UCBIO.US,D,20200813,000000,25.803,26.033,25.803,25.995,7425,0
UCBIO.US,D,20200814,000000,25.828,26.004,25.818,26.004,9946,0
UCBIO.US,D,20200817,000000,26.034,26.034,25.818,26.034,9832,0
UCBIO.US,D,20200818,000000,26.004,26.25,25.921,26.231,16587,0
UCBIO.US,D,20200819,000000,26.25,26.506,26.201,26.486,26151,0
UCBIO.US,D,20200820,000000,26.326,26.585,26.3,26.585,15712,0
UCBIO.US,D,20200821,000000,26.526,26.565,26.496,26.496,31925,0
UCBIO.US,D,20200824,000000,26.653,26.653,26.457,26.585,11967,0
UCBIO.US,D,20200825,000000,26.653,26.653,26.476,26.506,155674,0
UCBIO.US,D,20200826,000000,26.476,26.663,26.457,26.457,17070,0
UCBIO.US,D,20200827,000000,26.614,26.614,26.329,26.476,17540,0
UCBIO.US,D,20200828,000000,26.6,26.68,26.385,26.56,18632,0
UCBIO.US,D,20200831,000000,26.6,26.6,26.25,26.58,8493,0
UCBIO.US,D,20200901,000000,26.56,26.6,26.51,26.56,9667,0
UCBIO.US,D,20200902,000000,26.54,26.7,26.48,26.51,27112,0
UCBIO.US,D,20200903,000000,26.67,26.6899,26.35,26.57,15106,0
UCBIO.US,D,20200904,000000,26.73,26.73,26.27,26.27,5500,0
UCBIO.US,D,20200908,000000,26.29,26.43,26.05,26.329,20062,0
UCBIO.US,D,20200909,000000,26.28,26.74,26.28,26.7,7544,0
UCBIO.US,D,20200910,000000,26.7,26.7,26.501,26.6,2424,0
UCBIO.US,D,20200911,000000,26.68,26.69,26.5358,26.67,3153,0
UCBIO.US,D,20200914,000000,26.7,26.7,26.5,26.5805,10569,0
UCBIO.US,D,20200915,000000,26.9,26.9,26.73,26.9,11092,0
UCBIO.US,D,20200916,000000,27.07,27.07,26.65,26.65,11386,0
UCBIO.US,D,20200917,000000,26.62,26.93,26.5,26.69,11632,0
UCBIO.US,D,20200918,000000,26.85,26.85,26.5353,26.83,8364,0
UCBIO.US,D,20200921,000000,26.6,26.8008,26.42,26.61,9015,0
UCBIO.US,D,20200922,000000,26.88,26.9824,26.62,26.62,5259,0
UCBIO.US,D,20200923,000000,26.95,26.97,26.6,26.9,17361,0
UCBIO.US,D,20200924,000000,26.83,26.83,26.3801,26.39,10549,0
UCBIO.US,D,20200925,000000,26.49,26.58,26.075,26.34,18437,0
UCBIO.US,D,20200928,000000,26.29,26.6,26.1,26.15,37341,0
UCBIO.US,D,20200929,000000,26.25,26.58,26.234,26.5,16532,0
UCBIO.US,D,20200930,000000,26.5647,26.76,26.55,26.73,10337,0
UCBIO.US,D,20201001,000000,26.76,26.85,26.635,26.85,3888,0
UCBIO.US,D,20201002,000000,26.4315,26.75,26.4,26.71,9398,0
UCBIO.US,D,20201005,000000,26.5,26.55,26.25,26.37,64670,0
UCBIO.US,D,20201006,000000,26.41,26.73,26.31,26.41,13402,0
UCBIO.US,D,20201007,000000,26.5,26.7277,26.32,26.44,13965,0
UCBIO.US,D,20201008,000000,26.618,26.85,26.6,26.65,12269,0
UCBIO.US,D,20201009,000000,26.95,26.957,26.66,26.66,5926,0
UCBIO.US,D,20201012,000000,26.62,26.75,26.62,26.7,8264,0
UCBIO.US,D,20201013,000000,26.7,26.94,26.7,26.94,2820,0
UCBIO.US,D,20201014,000000,26.7,26.9,26.57,26.65,5764,0
UCBIO.US,D,20201015,000000,26.765,26.95,26.5901,26.95,5611,0
UCBIO.US,D,20201016,000000,26.811,26.928,26.5327,26.7,11675,0
UCBIO.US,D,20201019,000000,26.658,26.7,26.56,26.56,8704,0
UCBIO.US,D,20201020,000000,26.6,26.6,26.52,26.5428,12865,0
UCBIO.US,D,20201021,000000,26.58,26.73,26.3932,26.4,28312,0
UCBIO.US,D,20201022,000000,26.6,26.6,26.3847,26.6,19509,0
UCBIO.US,D,20201023,000000,26.65,26.84,26.5,26.65,22632,0
UCBIO.US,D,20201026,000000,26.82,26.82,26.511,26.7,10810,0
UCBIO.US,D,20201027,000000,26.746,26.81,26.6,26.8,16757,0
UCBIO.US,D,20201028,000000,26.6,26.95,26.55,26.7006,35999,0
UCBIO.US,D,20201029,000000,26.95,27.28,26.6,27.28,12957,0
UCBIO.US,D,20201030,000000,27.29,27.378,26.73,26.73,7387,0
UCBIO.US,D,20201102,000000,26.67,27,26.67,27,10511,0
UCBIO.US,D,20201103,000000,27,27.09,26.875,27.09,6283,0
UCBIO.US,D,20201104,000000,27,27.3,26.8502,27.15,16100,0
UCBIO.US,D,20201105,000000,27.35,27.4,26.95,27,6731,0
UCBIO.US,D,20201106,000000,26.79,27.36,26.79,27.1,6336,0
UCBIO.US,D,20201109,000000,27.42,27.42,26.82,27.25,10747,0
UCBIO.US,D,20201110,000000,27.2022,27.5,27.2,27.5,11161,0
UCBIO.US,D,20201111,000000,27.5976,27.5976,27.53,27.5939,1259,0
UCBIO.US,D,20201112,000000,27.6,27.6813,27.6,27.68,697,0
UCBIO.US,D,20201113,000000,27.82,27.82,27.68,27.68,1553,0
UCBIO.US,D,20201116,000000,27.65,27.82,27.38,27.51,8969,0
UCBIO.US,D,20201117,000000,27.77,27.77,27.61,27.61,960,0
UCBIO.US,D,20201118,000000,27.81,27.92,27.75,27.85,10185,0
UCBIO.US,D,20201119,000000,27.2024,27.92,27.2024,27.41,3597,0
UCBIO.US,D,20201120,000000,27.21,27.92,27.21,27.5509,12286,0
UCBIO.US,D,20201123,000000,27.92,27.92,27.47,27.47,7213,0
UCBIO.US,D,20201124,000000,27.21,27.508,27.15,27.3017,7530,0
UCBIO.US,D,20201125,000000,27.05,27.42,27.05,27.2,5796,0
UCBIO.US,D,20201127,000000,26.94,27.1769,26.9,26.99,4626,0
UCBIO.US,D,20201130,000000,27,27.18,26.6772,26.77,10314,0
UCBIO.US,D,20201201,000000,27.18,27.18,26.945,27.0297,1592,0
UCBIO.US,D,20201202,000000,26.94,27.18,26.94,27,6757,0
UCBIO.US,D,20201203,000000,26.91,27.01,26.64,26.8,22105,0
UCBIO.US,D,20201204,000000,26.7615,26.86,26.73,26.77,37462,0
UCBIO.US,D,20201207,000000,26.79,26.8,26.62,26.72,17856,0
UCBIO.US,D,20201208,000000,26.81,27.17,26.65,27.01,26540,0
UCBIO.US,D,20201209,000000,27,27.4,27,27.3,18062,0
UCBIO.US,D,20201210,000000,27.3,27.7,27.146,27.6277,13112,0
UCBIO.US,D,20201211,000000,27.72,27.72,27.05,27.25,18782,0
UCBIO.US,D,20201214,000000,27.28,27.74,27.28,27.74,15856,0
UCBIO.US,D,20201215,000000,27.75,27.77,27.5016,27.75,17768,0
UCBIO.US,D,20201216,000000,27.35,28.25,27.35,27.68,22499,0
UCBIO.US,D,20201217,000000,27.32,27.86,27.32,27.52,19778,0
UCBIO.US,D,20201218,000000,27.75,28,27.525,27.9,29449,0
UCBIO.US,D,20201221,000000,27.9,28.1,27.8609,27.9,8045,0
UCBIO.US,D,20201222,000000,28.1,28.1,27.6125,27.859,2436,0
UCBIO.US,D,20201223,000000,27.61,28.08,27.35,27.85,27428,0
UCBIO.US,D,20201224,000000,27.95,27.95,27.73,27.8556,7386,0
UCBIO.US,D,20201228,000000,27.65,27.855,27.65,27.78,4272,0
UCBIO.US,D,20201229,000000,27.99,28.0775,27.6,27.675,14229,0
UCBIO.US,D,20201230,000000,27.7,28.0756,27.58,27.926,5098,0
UCBIO.US,D,20201231,000000,27.41,27.8859,27.41,27.66,7674,0
UCBIO.US,D,20210105,000000,27.59,27.7395,27.5042,27.7395,1550,0
UCBIO.US,D,20210106,000000,27.56,27.75,27.3042,27.5,5663,0
UCBIO.US,D,20210107,000000,27.7,27.72,27.2706,27.48,12781,0
UCBIO.US,D,20210108,000000,27.63,27.63,27.26,27.4,14185,0
UCBIO.US,D,20210111,000000,27.26,27.45,26.46,26.7,27764,0
UCBIO.US,D,20210112,000000,26.7,27.15,26.55,27.1,21130,0
UCBIO.US,D,20210113,000000,27,27.24,26.75,27.0002,20715,0
UCBIO.US,D,20210114,000000,27.116,27.24,26.9,27.095,5624,0
UCBIO.US,D,20210115,000000,27.02,27.4905,27.02,27.49,6786,0
UCBIO.US,D,20210119,000000,27.35,27.6,27.318,27.59,10832,0
UCBIO.US,D,20210120,000000,27.59,27.81,27.43,27.7,17547,0
UCBIO.US,D,20210121,000000,27.6333,27.65,27.07,27.295,14118,0
UCBIO.US,D,20210122,000000,27.345,27.5,27.345,27.37,8051,0
UCBIO.US,D,20210125,000000,27.54,27.74,27.3,27.6525,9559,0
UCBIO.US,D,20210126,000000,27.6,27.78,27.38,27.38,8407,0
UCBIO.US,D,20210127,000000,27.26,27.26,27.25,27.25,4042,0
UCBIO.US,D,20210128,000000,27.5,27.73,26.93,27.65,7763,0
UCBIO.US,D,20210129,000000,27.63,27.64,27.25,27.29,7462,0
UCBIO.US,D,20210201,000000,27.505,27.74,27.505,27.7,4601,0
UCBIO.US,D,20210202,000000,27.53,27.74,27.35,27.72,7996,0
UCBIO.US,D,20210203,000000,27.7,27.72,27.4969,27.7,4856,0
UCBIO.US,D,20210204,000000,27.52,27.7,27.52,27.7,5800,0
UCBIO.US,D,20210205,000000,27.63,27.7,27.5452,27.7,8518,0
UCBIO.US,D,20210208,000000,27.4165,27.77,27.4,27.77,6302,0
UCBIO.US,D,20210209,000000,27.615,27.623,27.615,27.623,610,0
UCBIO.US,D,20210210,000000,27.7,27.78,27.6,27.78,8827,0
UCBIO.US,D,20210211,000000,27.78,27.86,27.72,27.86,3358,0
UCBIO.US,D,20210212,000000,27.69,27.86,27.61,27.86,3083,0
UCBIO.US,D,20210216,000000,27.75,27.82,27.25,27.7778,7791,0
UCBIO.US,D,20210217,000000,27.8,27.86,27.733,27.86,7003,0
UCBIO.US,D,20210218,000000,27.81,27.81,27.63,27.75,4018,0
UCBIO.US,D,20210219,000000,27.75,27.86,27.5975,27.86,3562,0
UCBIO.US,D,20210222,000000,27.86,27.86,27.6501,27.77,5680,0
UCBIO.US,D,20210223,000000,27.23,27.86,27.18,27.86,9505,0
UCBIO.US,D,20210224,000000,27.7017,27.86,27.2966,27.6,31133,0
UCBIO.US,D,20210225,000000,27.62,27.62,27.2467,27.38,8147,0
UCBIO.US,D,20210226,000000,27.4025,27.4025,27.21,27.21,3878,0
UCBIO.US,D,20210301,000000,27.02,27.49,26.76,27.22,21713,0
UCBIO.US,D,20210302,000000,27.17,27.28,27.03,27.275,9721,0
UCBIO.US,D,20210303,000000,26.8621,27.34,26.8621,27.34,13305,0
UCBIO.US,D,20210304,000000,27.17,27.34,27.0506,27.33,10211,0
UCBIO.US,D,20210305,000000,27.09,27.34,27.0601,27.34,10907,0
UCBIO.US,D,20210308,000000,27.32,27.34,27.28,27.28,1340,0
UCBIO.US,D,20210309,000000,27.17,27.41,27.17,27.3,5744,0
UCBIO.US,D,20210310,000000,27.3918,27.41,27.19,27.41,6926,0
UCBIO.US,D,20210311,000000,27.3,27.41,27.3,27.41,3670,0
UCBIO.US,D,20210312,000000,27.4099,27.41,27.29,27.354,12628,0
UCBIO.US,D,20210315,000000,27.46,27.5,27.2179,27.5,9882,0
UCBIO.US,D,20210316,000000,27.4098,27.5,27.26,27.5,15704,0
UCBIO.US,D,20210317,000000,27.443,27.5,27.443,27.5,3579,0
UCBIO.US,D,20210318,000000,27.32,27.45,27.15,27.15,8810,0
UCBIO.US,D,20210319,000000,27.35,27.5,27.2,27.5,8813,0
UCBIO.US,D,20210322,000000,27.34,27.5,27.34,27.4833,2649,0
UCBIO.US,D,20210323,000000,27.48,27.55,27.48,27.4916,4511,0
UCBIO.US,D,20210324,000000,27.49,27.5,27.4,27.4,1732,0
UCBIO.US,D,20210325,000000,27.4985,27.4985,27.4,27.4201,4898,0
UCBIO.US,D,20210326,000000,27.4973,27.5,27.19,27.5,3293,0
UCBIO.US,D,20210329,000000,27.57,27.57,27.3483,27.405,4577,0
UCBIO.US,D,20210330,000000,27.35,27.5,27.3,27.5,6695,0
UCBIO.US,D,20210331,000000,27.55,27.57,27.4,27.4283,4292,0
UCBIO.US,D,20210401,000000,27.5,27.5,27.5,27.5,501,0
UCBIO.US,D,20210405,000000,27.4984,27.5479,27.34,27.39,3808,0
UCBIO.US,D,20210406,000000,27.43,28.0972,27.39,27.68,20666,0
UCBIO.US,D,20210407,000000,27.67,27.725,27.1501,27.5,13630,0
UCBIO.US,D,20210408,000000,27.8,27.8,27.63,27.749,3099,0
UCBIO.US,D,20210409,000000,27.6,27.99,27.6,27.9672,5052,0
UCBIO.US,D,20210412,000000,27.5657,27.95,27.5657,27.85,3330,0
UCBIO.US,D,20210413,000000,27.8216,27.93,27.82,27.82,8513,0
UCBIO.US,D,20210414,000000,27.9,27.95,27.8,27.95,3807,0
UCBIO.US,D,20210415,000000,27.9028,28.04,27.89,28.04,2723,0
UCBIO.US,D,20210416,000000,27.92,27.92,27.92,27.92,269,0
UCBIO.US,D,20210419,000000,28.04,28.04,27.55,27.702,8280,0
UCBIO.US,D,20210420,000000,27.8,27.85,27.5602,27.5602,1855,0
UCBIO.US,D,20210421,000000,27.84,28.05,27.84,28.01,9389,0
UCBIO.US,D,20210422,000000,27.851,27.95,27.779,27.95,2715,0
UCBIO.US,D,20210423,000000,27.7068,27.875,27.7068,27.86,1392,0
UCBIO.US,D,20210426,000000,27.74,27.885,27.55,27.75,22349,0
UCBIO.US,D,20210427,000000,27.75,27.99,27.44,27.6,6979,0
UCBIO.US,D,20210428,000000,27.46,27.68,27.4154,27.52,1687,0
UCBIO.US,D,20210430,000000,28.04,28.04,27.54,27.82,3852,0
UCBIO.US,D,20210503,000000,27.5726,27.919,27.56,27.76,4769,0
UCBIO.US,D,20210505,000000,27.7211,27.8325,27.69,27.69,2140,0
UCBIO.US,D,20210506,000000,27.61,27.86,27.61,27.86,1764,0
UCBIO.US,D,20210507,000000,27.6799,27.86,27.5501,27.73,2953,0
UCBIO.US,D,20210510,000000,27.8068,27.8566,27.8068,27.8566,1800,0
UCBIO.US,D,20210511,000000,27.604,27.94,27.604,27.85,5672,0
UCBIO.US,D,20210512,000000,27.75,28.0262,27.65,27.75,8657,0
UCBIO.US,D,20210513,000000,27.96,28.01,27.96,28.01,1380,0
UCBIO.US,D,20210514,000000,27.77,28.05,27.77,28.05,1169,0
UCBIO.US,D,20210517,000000,27.81,28.05,27.77,28.05,4928,0
UCBIO.US,D,20210518,000000,28,28,27.75,27.75,5370,0
UCBIO.US,D,20210519,000000,28.02,28.25,27.8117,28.1625,11879,0
UCBIO.US,D,20210520,000000,28.24,28.45,27.9264,28.07,5142,0
UCBIO.US,D,20210521,000000,28.22,28.4032,28.2,28.4032,498,0
UCBIO.US,D,20210524,000000,28.2,28.4,28.2,28.37,1416,0
UCBIO.US,D,20210525,000000,28.08,28.4,28.03,28.2642,5242,0
UCBIO.US,D,20210526,000000,28.24,28.33,28.24,28.33,819,0
UCBIO.US,D,20210527,000000,28.06,28.0699,27.99,27.99,2084,0
UCBIO.US,D,20210528,000000,28.05,28.05,27.52,27.63,13407,0
UCBIO.US,D,20210601,000000,27.72,27.77,26.77,27.74,3334,0
UCBIO.US,D,20210602,000000,27.65,27.65,27.65,27.65,816,0
UCBIO.US,D,20210603,000000,27.76,27.82,27.75,27.75,3477,0
UCBIO.US,D,20210604,000000,28,28,27.55,27.634,15628,0
UCBIO.US,D,20210607,000000,27.9,27.9,27.6393,27.65,9579,0
UCBIO.US,D,20210608,000000,27.58,27.7486,27.56,27.6,17955,0
UCBIO.US,D,20210609,000000,27.65,27.75,27.56,27.57,12010,0
UCBIO.US,D,20210610,000000,27.61,27.75,27.6,27.69,5631,0
UCBIO.US,D,20210611,000000,27.68,27.68,27.65,27.65,2298,0
UCBIO.US,D,20210614,000000,27.6458,27.7,27.57,27.69,2896,0
UCBIO.US,D,20210615,000000,27.7399,28.19,27.6,27.93,11646,0
UCBIO.US,D,20210616,000000,27.94,27.94,27.6,27.75,18982,0
UCBIO.US,D,20210617,000000,27.8,27.95,27.7,27.95,16613,0
UCBIO.US,D,20210618,000000,27.92,28.25,27.9191,28.2,10752,0
UCBIO.US,D,20210621,000000,28,28.1556,27.75,28,9348,0
UCBIO.US,D,20210622,000000,28.2,28.31,28,28.31,9645,0
UCBIO.US,D,20210623,000000,28.34,28.34,28.19,28.21,2335,0
UCBIO.US,D,20210624,000000,28.24,28.35,28.24,28.35,3748,0
UCBIO.US,D,20210625,000000,28.266,28.266,27.9491,28.2,5064,0
UCBIO.US,D,20210628,000000,28.35,28.35,27.9,28.1,11551,0
UCBIO.US,D,20210629,000000,28.3191,28.37,27.95,27.95,7188,0
UCBIO.US,D,20210630,000000,28.04,28.23,27.83,27.86,9749,0
UCBIO.US,D,20210701,000000,27.95,28.28,27.95,28.28,6365,0
UCBIO.US,D,20210702,000000,28.221,28.29,28.02,28.02,6967,0
UCBIO.US,D,20210706,000000,28.14,28.2,27.91,27.92,15938,0
UCBIO.US,D,20210707,000000,28.17,28.3,28.0302,28.21,15598,0
UCBIO.US,D,20210708,000000,28.15,28.4,27.9,28.21,13324,0
UCBIO.US,D,20210709,000000,28.2,28.44,27.9,28.4,16934,0
UCBIO.US,D,20210712,000000,28.4,28.42,28.31,28.33,3022,0
UCBIO.US,D,20210713,000000,28.41,28.41,28.02,28.26,3999,0
UCBIO.US,D,20210714,000000,28.23,28.43,28.19,28.305,4037,0
UCBIO.US,D,20210715,000000,28.1,28.45,28.1,28.45,4808,0
UCBIO.US,D,20210716,000000,28.45,28.4714,28.2076,28.35,12203,0
UCBIO.US,D,20210719,000000,28.35,28.45,28.15,28.255,4722,0
UCBIO.US,D,20210720,000000,28.3428,28.4829,28.2793,28.4,2403,0
UCBIO.US,D,20210721,000000,28.1692,28.4299,27.9257,28.4055,7650,0
UCBIO.US,D,20210722,000000,28,28.4356,28,28.175,8100,0
UCBIO.US,D,20210723,000000,28.04,28.35,27.76,28.09,12992,0
UCBIO.US,D,20210726,000000,27.85,28.2926,27.85,28.0038,4250,0
UCBIO.US,D,20210727,000000,28,28.35,27.86,28.35,12701,0
UCBIO.US,D,20210728,000000,27.96,28.0999,27.85,27.85,2530,0
UCBIO.US,D,20210729,000000,27.9,28.45,27.9,28.44,4843,0
UCBIO.US,D,20210730,000000,28.24,28.25,27.95,27.95,2184,0
UCBIO.US,D,20210802,000000,28.2,28.2,28.2,28.2,2377,0
UCBIO.US,D,20210803,000000,27.96,28.13,27.96,27.98,6617,0
UCBIO.US,D,20210804,000000,28.08,28.13,28.0503,28.11,1818,0
UCBIO.US,D,20210805,000000,28.1012,28.1185,27.8565,27.96,7046,0
