<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
XGN.US,D,20190919,000000,16.8,19,15.6,18.58,918313,0
XGN.US,D,20190920,000000,18.12,19.5,17,17,183464,0
XGN.US,D,20190923,000000,17.11,18.49,17.0801,17.5,93549,0
XGN.US,D,20190924,000000,17.46,17.6375,16,16.79,73784,0
XGN.US,D,20190925,000000,16.86,16.86,14.25,14.7,148835,0
XGN.US,D,20190926,000000,14.74,14.77,14.5,14.58,45466,0
XGN.US,D,20190927,000000,14.66,15.0709,14.5,14.5,52139,0
XGN.US,D,20190930,000000,14.5,15.49,14.5,15.49,24716,0
XGN.US,D,20191001,000000,15.23,15.4752,14.85,15.25,30420,0
XGN.US,D,20191002,000000,15.2,15.4063,14.37,14.8,30493,0
XGN.US,D,20191003,000000,15.48,15.9,14.5,14.6,34356,0
XGN.US,D,20191004,000000,14.51,14.78,14.5,14.55,15708,0
XGN.US,D,20191007,000000,14.29,14.99,13.56,14.57,94559,0
XGN.US,D,20191008,000000,14.31,14.4,13.27,13.75,58195,0
XGN.US,D,20191009,000000,13.65,13.806,13.03,13.28,57748,0
XGN.US,D,20191010,000000,13.08,13.3899,12.16,13.02,245257,0
XGN.US,D,20191011,000000,13.34,13.34,11.54,12.61,108937,0
XGN.US,D,20191014,000000,13.05,13.05,12.1651,13,88798,0
XGN.US,D,20191015,000000,12.96,13.25,12.35,13,59123,0
XGN.US,D,20191016,000000,13.005,13.01,12.55,12.95,46501,0
XGN.US,D,20191017,000000,12.9,14,12.77,13.51,84816,0
XGN.US,D,20191018,000000,13.36,14,13.01,13.99,26353,0
XGN.US,D,20191021,000000,13.86,14.53,13.795,14.53,31274,0
XGN.US,D,20191022,000000,14.53,14.54,13.65,14.18,66186,0
XGN.US,D,20191023,000000,13.92,14.93,13.92,14.69,33572,0
XGN.US,D,20191024,000000,14.55,14.75,13.5179,14.07,53887,0
XGN.US,D,20191025,000000,14,14.99,13.5996,14.7,25427,0
XGN.US,D,20191028,000000,14.7,15,13.95,14.82,33808,0
XGN.US,D,20191029,000000,14.95,15.6,14.31,15.07,19881,0
XGN.US,D,20191030,000000,15.18,15.85,14.51,15.85,41394,0
XGN.US,D,20191031,000000,13.96,15.87,13.96,15.06,16524,0
XGN.US,D,20191101,000000,15.208,17.05,15.0792,15.91,16447,0
XGN.US,D,20191104,000000,16.15,18.1,14.68,17.47,84997,0
XGN.US,D,20191105,000000,17.25,18.9,16.85,18.9,24795,0
XGN.US,D,20191106,000000,18.56,21.045,18.04,20.38,61974,0
XGN.US,D,20191107,000000,20.3219,21,19.38,19.41,96218,0
XGN.US,D,20191108,000000,19.86,19.985,18.205,19.31,38729,0
XGN.US,D,20191111,000000,20.1,20.9,18.15,19.76,44323,0
XGN.US,D,20191112,000000,18.775,20,18.775,19.49,19010,0
XGN.US,D,20191113,000000,19.99,20.24,18.35,19.24,95433,0
XGN.US,D,20191114,000000,19.05,20.2,18.17,18.7,78917,0
XGN.US,D,20191115,000000,18.3,21.41,18.185,19.7,243760,0
XGN.US,D,20191118,000000,19.42,20.915,18.72,19.33,31934,0
XGN.US,D,20191119,000000,19.3,19.94,18.7224,19.11,36308,0
XGN.US,D,20191120,000000,19.8,19.8,18.53,19,23448,0
XGN.US,D,20191121,000000,18.84,18.95,16.93,17.71,76333,0
XGN.US,D,20191122,000000,17.6158,18.95,17.51,18.13,33277,0
XGN.US,D,20191125,000000,17.4,18.66,17.26,18,93170,0
XGN.US,D,20191126,000000,17.945,18.255,16.96,17.62,123128,0
XGN.US,D,20191127,000000,17.39,17.85,16.8,17.06,64563,0
XGN.US,D,20191129,000000,16.98,17.99,16.31,17.84,25897,0
XGN.US,D,20191202,000000,17.99,18.4,17.4,18.13,53767,0
XGN.US,D,20191203,000000,17.98,18.99,17.09,17.49,84369,0
XGN.US,D,20191204,000000,17.82,18.4,17.16,18.12,54577,0
XGN.US,D,20191205,000000,18.15,19.01,17.61,18,71465,0
XGN.US,D,20191206,000000,18.325,19.23,17.52,18.29,38851,0
XGN.US,D,20191209,000000,18.24,18.37,17.5,17.7,46118,0
XGN.US,D,20191210,000000,17.77,18.88,17.3897,18.09,66630,0
XGN.US,D,20191211,000000,18.09,18.86,17.43,17.52,48703,0
XGN.US,D,20191212,000000,17.77,18.35,17.5,17.54,116659,0
XGN.US,D,20191213,000000,17.55,18.4,17.5423,17.97,38599,0
XGN.US,D,20191216,000000,18.5,19.6009,17.64,18.82,115972,0
XGN.US,D,20191217,000000,18.88,19.275,18,18.59,126361,0
XGN.US,D,20191218,000000,18.45,21.93,18.144,20.53,198192,0
XGN.US,D,20191219,000000,20.57,23.18,20.05,21.64,165239,0
XGN.US,D,20191220,000000,21.64,23.73,20.4,21.81,539923,0
XGN.US,D,20191223,000000,21.79,27.41,20.981,27.01,126400,0
XGN.US,D,20191224,000000,27,29.5,26.1462,28,64408,0
XGN.US,D,20191226,000000,27.33,29.858,27.2264,28.48,107819,0
XGN.US,D,20191227,000000,29.02,29.02,25.5,25.74,45882,0
XGN.US,D,20191230,000000,25.73,28.235,25.07,25.99,107124,0
XGN.US,D,20191231,000000,25.81,26.2,24.54,25.4,146172,0
XGN.US,D,20200102,000000,25.35,26.99,24.585,25.95,123343,0
XGN.US,D,20200103,000000,25.72,26.758,23.95,24.64,79524,0
XGN.US,D,20200106,000000,24.85,25.7,23.49,24.13,105854,0
XGN.US,D,20200107,000000,25.135,25.135,23.78,24.33,78963,0
XGN.US,D,20200108,000000,24.28,25.14,24.11,24.51,67047,0
XGN.US,D,20200109,000000,24.74,25.73,24,24.19,83349,0
XGN.US,D,20200110,000000,24.22,25.065,24.04,24.14,46281,0
XGN.US,D,20200113,000000,24.22,25.17,23.98,24.74,72652,0
XGN.US,D,20200114,000000,24.66,25.145,24.245,24.34,39084,0
XGN.US,D,20200115,000000,24.28,25.41,23.71,24.03,67856,0
XGN.US,D,20200116,000000,24.34,24.62,23.7,24.19,248316,0
XGN.US,D,20200117,000000,24.43,24.47,22.64,23.5,93889,0
XGN.US,D,20200121,000000,23.3,24.35,22.27,22.96,80542,0
XGN.US,D,20200122,000000,22.83,23.2,22.09,22.59,52934,0
XGN.US,D,20200123,000000,22.84,22.85,20.93,21.1,48217,0
XGN.US,D,20200124,000000,20.9543,22.18,20.83,22.1,88782,0
XGN.US,D,20200127,000000,21.69,24.98,20.105,23.82,104890,0
XGN.US,D,20200128,000000,24.07,24.4,22.5339,22.955,27412,0
XGN.US,D,20200129,000000,22.98,24.5,22.01,23.5,128349,0
XGN.US,D,20200130,000000,22.65,23.48,21.46,22.5,109649,0
XGN.US,D,20200131,000000,22.49,22.49,20.07,20.65,77271,0
XGN.US,D,20200203,000000,20.81,21.48,20.485,21.04,48845,0
XGN.US,D,20200204,000000,21.08,21.51,20.26,20.43,38329,0
XGN.US,D,20200205,000000,20.45,21.53,19.8,20.71,50194,0
XGN.US,D,20200206,000000,20.45,21.29,19,19.99,43078,0
XGN.US,D,20200207,000000,19.97,20.15,19.09,19.77,61542,0
XGN.US,D,20200210,000000,19.66,19.66,18.03,18.15,19529,0
XGN.US,D,20200211,000000,18.09,19.97,17.69,18.13,30889,0
XGN.US,D,20200212,000000,18.2,18.77,17.605,18.04,215778,0
XGN.US,D,20200213,000000,17.97,19.1,17.9,18.88,19933,0
XGN.US,D,20200214,000000,18.93,21.52,18.7,21.06,32989,0
XGN.US,D,20200218,000000,21.2,21.2,19.02,19.22,65237,0
XGN.US,D,20200219,000000,19.32,20.5623,18.26,19.2,68330,0
XGN.US,D,20200220,000000,19.08,19.12,17.75,18.38,42557,0
XGN.US,D,20200221,000000,18.44,18.4712,17.05,17.82,70772,0
XGN.US,D,20200224,000000,17.37,18.085,17.05,17.26,49275,0
XGN.US,D,20200225,000000,17.36,17.36,15.65,16.33,113192,0
XGN.US,D,20200226,000000,16.46,18.39,15.7,17.85,51905,0
XGN.US,D,20200227,000000,18.02,19.22,17.5,18.74,49083,0
XGN.US,D,20200228,000000,18.29,19.16,16.06,17.08,169932,0
XGN.US,D,20200302,000000,17.42,19,16.865,18.45,67125,0
XGN.US,D,20200303,000000,18.4,19.0157,17.03,17.28,193575,0
XGN.US,D,20200304,000000,17.505,18.82,17.2,18.69,33263,0
XGN.US,D,20200305,000000,18.28,20.96,18.28,20.72,38475,0
XGN.US,D,20200306,000000,20.72,22.99,19.64,21.39,92433,0
XGN.US,D,20200309,000000,20.03,20.969,18.43,20.48,52191,0
XGN.US,D,20200310,000000,21.14,22.91,21.14,22.68,47059,0
