<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TETCW.US,D,20210517,000000,0.72,0.72,0.7199,0.7199,1000,0
TETCW.US,D,20210518,000000,0.692,0.7205,0.692,0.700001,2800,0
TETCW.US,D,20210519,000000,0.72,0.72,0.72,0.72,200,0
TETCW.US,D,20210520,000000,0.7,0.7,0.6999,0.6999,278,0
TETCW.US,D,20210521,000000,0.72,0.73,0.719899,0.73,34467,0
TETCW.US,D,20210524,000000,0.72,1.44,0.72,0.75,91680,0
TETCW.US,D,20210525,000000,0.75,0.75,0.67,0.740501,8998,0
TETCW.US,D,20210527,000000,0.9,0.9,0.769613,0.77,20172,0
TETCW.US,D,20210528,000000,0.8002,0.8002,0.790301,0.8,18353,0
TETCW.US,D,20210601,000000,0.8001,0.800101,0.7901,0.7901,43058,0
TETCW.US,D,20210602,000000,0.7904,0.8,0.79,0.8,9782,0
TETCW.US,D,20210603,000000,0.8,0.8,0.764,0.7641,21440,0
TETCW.US,D,20210604,000000,0.780101,0.8,0.78,0.7998,11101,0
TETCW.US,D,20210608,000000,0.8,0.8,0.75,0.79,24826,0
TETCW.US,D,20210609,000000,0.7501,0.8,0.75,0.76,10979,0
TETCW.US,D,20210610,000000,0.76,0.802257,0.75515,0.802257,33636,0
TETCW.US,D,20210611,000000,0.77,0.9,0.7501,0.8526,275892,0
TETCW.US,D,20210614,000000,0.903949,0.95,0.82,0.87,13110,0
TETCW.US,D,20210615,000000,0.94,1.05,0.8502,0.8502,54349,0
TETCW.US,D,20210616,000000,0.875,0.88,0.84727,0.88,19730,0
TETCW.US,D,20210617,000000,0.9301,0.9301,0.9301,0.9301,668,0
TETCW.US,D,20210618,000000,0.95,0.9896,0.95,0.96,3450,0
TETCW.US,D,20210621,000000,0.93,0.96,0.92995,0.94,11569,0
TETCW.US,D,20210622,000000,0.94,0.95,0.88,0.9499,17824,0
TETCW.US,D,20210623,000000,0.95,0.95,0.92,0.92,2587,0
TETCW.US,D,20210624,000000,0.9899,0.99,0.9899,0.99,1140,0
TETCW.US,D,20210625,000000,0.9899,0.9899,0.92,0.92,757,0
TETCW.US,D,20210628,000000,0.9898,1.08,0.9898,1,39415,0
TETCW.US,D,20210629,000000,1.05,1.06,1.01,1.01,7159,0
TETCW.US,D,20210630,000000,1.01,1.01,1,1,44103,0
TETCW.US,D,20210701,000000,1.06,1.1,1,1,13594,0
TETCW.US,D,20210702,000000,1.08,1.11,1.04,1.04,4543,0
TETCW.US,D,20210706,000000,1.02,1.03,0.9803,0.99,26261,0
TETCW.US,D,20210707,000000,1.01,1.01,1.01,1.01,343,0
TETCW.US,D,20210708,000000,1.01,1.0101,1,1.01,19897,0
TETCW.US,D,20210709,000000,1.0201,1.03,1.02,1.03,3987,0
TETCW.US,D,20210712,000000,0.9799,0.98,0.9799,0.9799,1366,0
TETCW.US,D,20210713,000000,1.02,1.02,1.02,1.02,1483,0
TETCW.US,D,20210714,000000,1.01,1.08,1,1.02,6691,0
TETCW.US,D,20210715,000000,1.03,1.03,1,1,2500,0
TETCW.US,D,20210716,000000,1.02,1.09,0.9801,1,11916,0
TETCW.US,D,20210719,000000,0.949,0.9801,0.9201,0.9701,2501,0
TETCW.US,D,20210721,000000,1.0899,1.0899,0.97,0.97,2677,0
TETCW.US,D,20210723,000000,0.9401,0.95,0.9401,0.9401,1693,0
TETCW.US,D,20210726,000000,1.095,1.095,0.9074,0.9501,3579,0
TETCW.US,D,20210727,000000,0.89,0.93,0.8899,0.9101,3730,0
TETCW.US,D,20210728,000000,0.9301,0.9301,0.9001,0.9001,2860,0
TETCW.US,D,20210729,000000,0.9,0.9,0.8702,0.875099,26077,0
TETCW.US,D,20210730,000000,0.93,0.93,0.89,0.89,1225,0
TETCW.US,D,20210802,000000,0.88,0.88,0.8107,0.8302,2617,0
TETCW.US,D,20210803,000000,0.849899,0.850151,0.81,0.8103,9609,0
TETCW.US,D,20210804,000000,0.8202,0.841441,0.8202,0.83,5344,0
TETCW.US,D,20210805,000000,0.83,0.8302,0.7802,0.82,30707,0
TETCW.US,D,20210806,000000,0.82,0.83,0.82,0.82,5401,0
TETCW.US,D,20210809,000000,0.835,0.8351,0.83,0.83,12800,0
TETCW.US,D,20210810,000000,0.8201,0.8549,0.82,0.8549,1000,0
TETCW.US,D,20210811,000000,0.8601,0.8601,0.8601,0.8601,104,0
TETCW.US,D,20210812,000000,0.82,0.839799,0.741549,0.839799,20234,0
TETCW.US,D,20210813,000000,0.78,0.8499,0.78,0.8,5145,0
TETCW.US,D,20210816,000000,0.7803,0.7803,0.76,0.77,20099,0
TETCW.US,D,20210817,000000,0.77,0.774486,0.71,0.7207,10421,0
TETCW.US,D,20210818,000000,0.73,0.73,0.73,0.73,1374,0
TETCW.US,D,20210819,000000,0.74753,0.75245,0.723357,0.723357,4749,0
TETCW.US,D,20210820,000000,0.71,0.72,0.65,0.68,29577,0
TETCW.US,D,20210823,000000,0.68,0.68,0.6401,0.6401,51483,0
TETCW.US,D,20210824,000000,0.633,0.65,0.6,0.65,19533,0
TETCW.US,D,20210826,000000,0.6301,0.794951,0.6301,0.65,18129,0
TETCW.US,D,20210827,000000,0.649799,0.6499,0.6124,0.6124,131790,0
TETCW.US,D,20210830,000000,0.6104,0.6498,0.601,0.62,55916,0
TETCW.US,D,20210831,000000,0.6201,0.6399,0.62,0.6389,3064,0
TETCW.US,D,20210901,000000,0.6899,0.6899,0.6497,0.6497,305,0
TETCW.US,D,20210902,000000,0.6499,0.6499,0.6103,0.6103,22720,0
TETCW.US,D,20210903,000000,0.62,0.6499,0.6103,0.63,13295,0
TETCW.US,D,20210907,000000,0.6103,0.6285,0.605,0.62,4127,0
TETCW.US,D,20210908,000000,0.605,0.62,0.58,0.61,17764,0
TETCW.US,D,20210909,000000,0.61,0.62,0.61,0.62,472,0
TETCW.US,D,20210910,000000,0.5801,0.645,0.5801,0.6,3500,0
TETCW.US,D,20210914,000000,0.61,0.61,0.61,0.61,281,0
TETCW.US,D,20210915,000000,0.636,0.68,0.5865,0.6,31606,0
TETCW.US,D,20210916,000000,0.61,0.62995,0.61,0.6101,9540,0
TETCW.US,D,20210917,000000,0.61,0.739951,0.61,0.69,51019,0
TETCW.US,D,20210920,000000,0.6201,0.7078,0.62,0.68,24351,0
TETCW.US,D,20210921,000000,0.6799,0.69,0.6799,0.69,1226,0
TETCW.US,D,20210922,000000,0.63,0.6899,0.63,0.685,5108,0
TETCW.US,D,20210923,000000,0.68,0.68,0.67,0.67,10719,0
TETCW.US,D,20210927,000000,0.715,0.72,0.7,0.7,21679,0
TETCW.US,D,20210928,000000,0.7,0.7,0.619,0.67,33135,0
TETCW.US,D,20210929,000000,0.66,0.66,0.66,0.66,450,0
TETCW.US,D,20210930,000000,0.64,0.6701,0.6301,0.6701,9686,0
TETCW.US,D,20211001,000000,0.698,0.698,0.6201,0.632,2887,0
TETCW.US,D,20211004,000000,0.6499,0.6499,0.62,0.6301,11860,0
TETCW.US,D,20211005,000000,0.63,0.6301,0.6159,0.6301,11130,0
TETCW.US,D,20211006,000000,0.6465,0.6465,0.6465,0.6465,9983,0
TETCW.US,D,20211007,000000,0.6458,0.6458,0.6458,0.6458,419,0
TETCW.US,D,20211008,000000,0.64,0.64,0.635,0.64,4284,0
TETCW.US,D,20211011,000000,0.669333,0.669333,0.669333,0.669333,100,0
TETCW.US,D,20211012,000000,0.623,0.623,0.6099,0.62,140971,0
TETCW.US,D,20211013,000000,0.6101,0.64245,0.6101,0.64245,916,0
TETCW.US,D,20211014,000000,0.6395,0.65,0.630399,0.65,8529,0
TETCW.US,D,20211015,000000,0.65995,0.67,0.6301,0.6301,17987,0
TETCW.US,D,20211018,000000,0.6301,0.6301,0.6132,0.62,28153,0
TETCW.US,D,20211020,000000,0.630101,0.64,0.63,0.63,11511,0
TETCW.US,D,20211021,000000,0.6599,0.6599,0.63,0.63,2425,0
TETCW.US,D,20211022,000000,0.6351,0.64,0.6301,0.64,1829,0
TETCW.US,D,20211025,000000,0.6549,0.69025,0.65,0.67,37450,0
TETCW.US,D,20211026,000000,0.7199,0.8131,0.66,0.6899,9950,0
TETCW.US,D,20211027,000000,0.745,0.75585,0.66,0.66,104440,0
