<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SQLLW.US,D,20210830,000000,1.46,1.84,1.2,1.6,481861,0
SQLLW.US,D,20210831,000000,2,2,1.45,1.59,172165,0
SQLLW.US,D,20210901,000000,1.59,1.59,1.34,1.37,79273,0
SQLLW.US,D,20210902,000000,1.32,1.35,1.11,1.345,24617,0
SQLLW.US,D,20210903,000000,1.35,1.36,1.21,1.295,33837,0
SQLLW.US,D,20210907,000000,1.3,1.3,1.18,1.18,15173,0
SQLLW.US,D,20210908,000000,1.15,1.29,1.05,1.2,39443,0
SQLLW.US,D,20210909,000000,1.2,1.2597,1.1,1.12,8495,0
SQLLW.US,D,20210910,000000,1.12,1.245,1.1,1.19,6672,0
SQLLW.US,D,20210913,000000,1.1604,1.31,1.12,1.21,26143,0
SQLLW.US,D,20210914,000000,1.21,1.26,1.07,1.1,27809,0
SQLLW.US,D,20210915,000000,1.09,1.1,1.09,1.1,635,0
SQLLW.US,D,20210916,000000,1.04,1.15,0.98,1,17110,0
SQLLW.US,D,20210917,000000,1.14,1.14,1.05,1.1,2315,0
SQLLW.US,D,20210920,000000,1.12,1.15,0.864,0.8703,33627,0
SQLLW.US,D,20210921,000000,0.9006,0.95,0.9001,0.901,8141,0
SQLLW.US,D,20210922,000000,0.98,1.08,0.9788,1.02,17606,0
SQLLW.US,D,20210923,000000,1.05,1.1099,1.01,1.04,8147,0
SQLLW.US,D,20210924,000000,1.1,1.18,1.064,1.11,59540,0
SQLLW.US,D,20210927,000000,1.07,1.2399,1.07,1.13,24131,0
SQLLW.US,D,20210928,000000,1.07,1.11,1.01,1.01,11344,0
SQLLW.US,D,20210929,000000,1.0201,1.2157,1.02,1.1501,23166,0
SQLLW.US,D,20210930,000000,1.11,1.11,1.041,1.06,15230,0
SQLLW.US,D,20211001,000000,1.0101,1.09,1,1.05,10983,0
SQLLW.US,D,20211004,000000,1.025,1.055,1,1.055,3880,0
SQLLW.US,D,20211005,000000,1.0001,1.06,0.9445,1.06,20502,0
SQLLW.US,D,20211006,000000,1.0399,1.06,1.02,1.06,7115,0
SQLLW.US,D,20211007,000000,0.9995,1.1,0.9005,1,44595,0
SQLLW.US,D,20211008,000000,0.9101,0.9101,0.8701,0.9,12965,0
SQLLW.US,D,20211011,000000,1.09,1.13,1.0501,1.07,34062,0
SQLLW.US,D,20211012,000000,1.05,1.07,0.99,1.025,59035,0
SQLLW.US,D,20211013,000000,0.98,1.08,0.98,1.08,4730,0
SQLLW.US,D,20211014,000000,1.08,1.14,0.96,1.04,46276,0
SQLLW.US,D,20211015,000000,1.04,1.08,0.9799,0.98,42684,0
SQLLW.US,D,20211018,000000,0.98,1.07,0.98,1.07,4519,0
SQLLW.US,D,20211019,000000,1.0101,1.0399,1.0101,1.0399,1800,0
SQLLW.US,D,20211020,000000,1.04,1.04,0.9801,1.03,4873,0
SQLLW.US,D,20211021,000000,1.04,1.05,0.9902,1.02,8171,0
SQLLW.US,D,20211022,000000,1.04,1.2,1.04,1.0799,53700,0
SQLLW.US,D,20211025,000000,1.06,1.0699,1,1.0497,19305,0
SQLLW.US,D,20211026,000000,1.15,1.37,1.08,1.15,177295,0
SQLLW.US,D,20211027,000000,1.17,1.375,1.1499,1.26,80393,0
