<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SYTA.US,D,20200925,000000,5,5.4,3.9,4.49,585595,0
SYTA.US,D,20200928,000000,4.55,4.55,4.05,4.52,53798,0
SYTA.US,D,20200929,000000,4.2501,4.97,4.2501,4.73,76950,0
SYTA.US,D,20200930,000000,4.62,4.9,4.56,4.71,84209,0
SYTA.US,D,20201001,000000,4.79,4.79,4.42,4.53,60595,0
SYTA.US,D,20201002,000000,4.4,4.49,4.39,4.49,17788,0
SYTA.US,D,20201005,000000,4.35,4.6,4.34,4.53,37800,0
SYTA.US,D,20201006,000000,4.75,5.05,4.52,4.7,98742,0
SYTA.US,D,20201007,000000,4.79,5.05,4.76,5.05,50349,0
SYTA.US,D,20201008,000000,5.19,5.25,4.85,4.88,61235,0
SYTA.US,D,20201009,000000,5.08,5.1,4.6,4.9028,14786,0
SYTA.US,D,20201012,000000,5.16,5.16,4.65,4.72,10753,0
SYTA.US,D,20201013,000000,4.8,5,4.7612,5,70815,0
SYTA.US,D,20201014,000000,5.05,5.5,5,5.26,161320,0
SYTA.US,D,20201015,000000,5.45,5.45,5.2,5.25,52606,0
SYTA.US,D,20201016,000000,5.37,5.37,4.9201,5.09,20298,0
SYTA.US,D,20201019,000000,5.1,5.1,4.9547,5.08,15473,0
SYTA.US,D,20201020,000000,5.01,5.2,5.01,5.1,32808,0
SYTA.US,D,20201021,000000,5.1,5.36,5.08,5.35,19967,0
SYTA.US,D,20201022,000000,5.09,5.4399,5.09,5.31,82429,0
SYTA.US,D,20201023,000000,5.31,5.35,5.2,5.35,32985,0
SYTA.US,D,20201026,000000,5.45,5.75,5.35,5.63,155443,0
SYTA.US,D,20201027,000000,5.7,6.1,5.4,6.05,348794,0
SYTA.US,D,20201028,000000,6.15,6.15,5.5,5.96,217402,0
SYTA.US,D,20201029,000000,5.88,6.06,5.7,5.89,82609,0
SYTA.US,D,20201030,000000,5.9,5.9,5.55,5.8,58326,0
SYTA.US,D,20201102,000000,5.85,6,5.6919,5.87,92318,0
SYTA.US,D,20201103,000000,6,6.01,5.8,5.87,66145,0
SYTA.US,D,20201104,000000,5.99,6.02,5.74,5.74,70185,0
SYTA.US,D,20201105,000000,5.86,6.05,5.61,5.685,29933,0
SYTA.US,D,20201106,000000,5.65,5.9,5.65,5.84,20433,0
SYTA.US,D,20201109,000000,5.95,5.95,5.85,5.85,41643,0
SYTA.US,D,20201110,000000,6,6,5.7,5.88,29445,0
SYTA.US,D,20201111,000000,5.94,6,5.75,5.94,50136,0
SYTA.US,D,20201112,000000,5.8,5.95,5.75,5.85,32202,0
SYTA.US,D,20201113,000000,5.94,5.94,5.7,5.73,17892,0
SYTA.US,D,20201116,000000,5.8,5.87,5.78,5.82,48412,0
SYTA.US,D,20201117,000000,5.76,5.9,5.76,5.825,23723,0
SYTA.US,D,20201118,000000,5.9,6,5.88,5.89,76120,0
SYTA.US,D,20201119,000000,5.85,5.95,5.83,5.9,26866,0
SYTA.US,D,20201120,000000,5.87,5.9,5.79,5.79,22460,0
SYTA.US,D,20201123,000000,5.99,6.1,5.89,6.05,72655,0
SYTA.US,D,20201124,000000,6.15,7.8,6.15,7.33,279878,0
SYTA.US,D,20201125,000000,7.84,8.1634,7.02,7.34,168912,0
SYTA.US,D,20201127,000000,7.36,7.54,7.12,7.1201,36194,0
SYTA.US,D,20201130,000000,7.28,7.29,6.52,6.7,54841,0
SYTA.US,D,20201201,000000,6.7,7.13,6.7,7.13,20656,0
SYTA.US,D,20201202,000000,7.09,7.25,6.9,6.97,24143,0
SYTA.US,D,20201203,000000,7.12,7.12,6.855,6.99,20426,0
SYTA.US,D,20201204,000000,7.04,7.14,6.9,6.92,20161,0
SYTA.US,D,20201207,000000,6.88,6.95,6.58,6.66,31756,0
SYTA.US,D,20201208,000000,6.57,7,6.57,7,20639,0
SYTA.US,D,20201209,000000,7,7.7,7,7.655,92037,0
SYTA.US,D,20201210,000000,7.6,7.9377,7.27,7.56,24998,0
SYTA.US,D,20201211,000000,8.0814,8.17,7.37,7.51,17138,0
SYTA.US,D,20201214,000000,9.58,9.8,8,8.3,93247,0
SYTA.US,D,20201215,000000,8.3,8.99,8.3,8.74,63939,0
SYTA.US,D,20201216,000000,8.91,11.9,8.91,10.5,253904,0
SYTA.US,D,20201217,000000,10.66,10.81,9.5405,10.01,81244,0
SYTA.US,D,20201218,000000,10.09,11.2,9.78,10.83,75035,0
