<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SWAV.US,D,20190307,000000,24.8,31,24.58,30.5,3162245,0
SWAV.US,D,20190308,000000,30.34,32.5,29,31.61,651428,0
SWAV.US,D,20190311,000000,31.97,34.1896,30.5,31.43,217759,0
SWAV.US,D,20190312,000000,29.29,31.475,28.21,30,482123,0
SWAV.US,D,20190313,000000,30.74,30.95,29.83,30.01,223946,0
SWAV.US,D,20190314,000000,30,30.725,30,30.09,195069,0
SWAV.US,D,20190315,000000,30.62,38.1,30.45,38.1,334507,0
SWAV.US,D,20190318,000000,39.98,43.39,35.7,36.5,576818,0
SWAV.US,D,20190319,000000,36.98,37.416,34.5101,35.65,146044,0
SWAV.US,D,20190320,000000,36.99,37.239,32.52,32.97,351433,0
SWAV.US,D,20190321,000000,33.37,35.4599,31.6,33.92,312897,0
SWAV.US,D,20190322,000000,34.1397,34.79,33.01,34.52,109405,0
SWAV.US,D,20190325,000000,34.51,35.4799,33.5,34.9,98544,0
SWAV.US,D,20190326,000000,34.95,36.3,34.6,34.95,325659,0
SWAV.US,D,20190327,000000,34.97,35.41,32.3551,34,153720,0
SWAV.US,D,20190328,000000,34.03,34.665,31.11,32.1,197065,0
SWAV.US,D,20190329,000000,32.14,34.87,32.11,33.47,165137,0
SWAV.US,D,20190401,000000,33.25,34.07,32.79,33.53,419414,0
SWAV.US,D,20190402,000000,33.46,33.81,31.51,32.15,169881,0
SWAV.US,D,20190403,000000,32.3,32.59,29.58,30.18,484401,0
SWAV.US,D,20190404,000000,30.97,31.5,29.5,30.455,266173,0
SWAV.US,D,20190405,000000,30.35,31.8,29.62,30.05,147109,0
SWAV.US,D,20190408,000000,30,30.21,29.7,29.8,138066,0
SWAV.US,D,20190409,000000,29.63,30.87,29.3,29.99,200325,0
SWAV.US,D,20190410,000000,30.39,30.39,29.3001,29.73,221212,0
SWAV.US,D,20190411,000000,29.9,30.28,28.8,30.1,381934,0
SWAV.US,D,20190412,000000,30.25,31.47,29.93,30.36,179223,0
SWAV.US,D,20190415,000000,30.22,30.36,29.6,30.2,223596,0
SWAV.US,D,20190416,000000,30.05,30.8405,29.87,30.32,123066,0
SWAV.US,D,20190417,000000,30.37,30.37,29.8,29.98,326195,0
SWAV.US,D,20190418,000000,29.86,30.64,29.78,30.12,476545,0
SWAV.US,D,20190422,000000,29.97,32.266,29.97,31.68,170760,0
SWAV.US,D,20190423,000000,31.9,32.0864,31,31.24,101062,0
SWAV.US,D,20190424,000000,31.27,34.5,30.52,34.5,261079,0
SWAV.US,D,20190425,000000,34.5,41.174,33.9596,38.54,2107408,0
SWAV.US,D,20190426,000000,40.79,42.3,39.2,41.34,1139775,0
SWAV.US,D,20190429,000000,43.32,45.68,42.01,42.64,1049526,0
SWAV.US,D,20190430,000000,43.49,43.49,40.13,42.61,441730,0
SWAV.US,D,20190501,000000,42.95,43.11,38.75,39.07,485992,0
SWAV.US,D,20190502,000000,39.08,42.5,38.84,41.14,451644,0
