<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
SONM.US,D,20190510,000000,117,129.9,96.6,109.9,131500,0
SONM.US,D,20190513,000000,108.3,111.5,100,110.2,20173,0
SONM.US,D,20190514,000000,111.2,111.5,105.5,110.3,8341,0
SONM.US,D,20190515,000000,110.5,115,106.9,111.2,29375,0
SONM.US,D,20190516,000000,111.6,113,109,110.5,6382,0
SONM.US,D,20190517,000000,110,113.96,109.4,113.5,27697,0
SONM.US,D,20190520,000000,113.5,122.3,113.01,119.6,18941,0
SONM.US,D,20190521,000000,120.1,123,116.4,122.8,13397,0
SONM.US,D,20190522,000000,121.5,124.7,113.5,121.2,9219,0
SONM.US,D,20190523,000000,120.6,124.9,118.3,120,7759,0
SONM.US,D,20190524,000000,119.6,121.8,116.9,120.5,6622,0
SONM.US,D,20190528,000000,122,140.05,118.7,136.8,20625,0
SONM.US,D,20190529,000000,137,149.4,131.4,144.9,17712,0
SONM.US,D,20190530,000000,145.1,152,143,150,16806,0
SONM.US,D,20190531,000000,150,153.4,133.2,142.8,11273,0
SONM.US,D,20190603,000000,144.9,147.7,144.5,146.7,9467,0
SONM.US,D,20190604,000000,148.7,150,133.9,149.8,20679,0
SONM.US,D,20190605,000000,151,170.3,150.7,168,24252,0
SONM.US,D,20190606,000000,169.5,175,169.5,171.1,37486,0
SONM.US,D,20190607,000000,173.3,182.58,150.2,161.3,35880,0
SONM.US,D,20190610,000000,163.3,177.6,160,171.3,32476,0
SONM.US,D,20190611,000000,173,176.7,165,169.2,12066,0
SONM.US,D,20190612,000000,169.2,173.9,165.6,172.6,9962,0
SONM.US,D,20190613,000000,173.4,179.48,172.5,175.2,14796,0
SONM.US,D,20190614,000000,176.6,179.54,171.5,175.6,13970,0
SONM.US,D,20190617,000000,177,177.85,160.23,160.8,12760,0
SONM.US,D,20190618,000000,162.5,171.5,159,162.2,18413,0
SONM.US,D,20190619,000000,162.3,168.2,160.5,161.3,11209,0
SONM.US,D,20190620,000000,164.3,166.25,143.41,147.5,22360,0
SONM.US,D,20190621,000000,149.2,151.85,143.4,146,28097,0
SONM.US,D,20190624,000000,142.5,148,135.6,135.8,14483,0
SONM.US,D,20190625,000000,135,145.2,128.9,130.4,29276,0
SONM.US,D,20190626,000000,131.8,135.6,125.7,129.6,16920,0
SONM.US,D,20190627,000000,127.5,133.3,120.1,127.7,32441,0
SONM.US,D,20190628,000000,128.3,134.4,126,127.3,53368,0
SONM.US,D,20190701,000000,129.3,132.06,126,128.9,12463,0
SONM.US,D,20190702,000000,128.8,132.1,117.6,118.1,8632,0
SONM.US,D,20190703,000000,118.2,119.6,115.9,118.8,3167,0
SONM.US,D,20190705,000000,117.9,117.9,106.75,115.6,6461,0
SONM.US,D,20190708,000000,115,116.7,107,113.8,9495,0
SONM.US,D,20190709,000000,118.8,126.5,116,118.6,7390,0
SONM.US,D,20190710,000000,119.4,128.9,118.6,127.8,6796,0
SONM.US,D,20190711,000000,127.8,129.9,123.5,127,9239,0
SONM.US,D,20190712,000000,126.7,137.4,126.7,133.9,10459,0
SONM.US,D,20190715,000000,134,137.3,131.2,135.3,5589,0
SONM.US,D,20190716,000000,135,142.9,133.2,138.9,6015,0
SONM.US,D,20190717,000000,138.8,139.9,131.7,137.5,4193,0
SONM.US,D,20190718,000000,137.3,140.79,131.4,134,4062,0
SONM.US,D,20190719,000000,133.4,137.7,132.5,134.2,4594,0
SONM.US,D,20190722,000000,134.6,136.5,129.82,130.2,2526,0
SONM.US,D,20190723,000000,131,137.3,130,133.2,2371,0
SONM.US,D,20190724,000000,131.83,140.96,131.62,139.8,10844,0
