<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
ZG.US,D,20110721,000000,11.962,12.162,10.291,10.353,3136319,0
ZG.US,D,20110722,000000,10.359,10.992,10.291,10.687,1208282,0
ZG.US,D,20110725,000000,10.603,11.164,10.603,11.102,854979,0
ZG.US,D,20110726,000000,11.364,11.413,10.837,11.36,952346,0
ZG.US,D,20110727,000000,11.357,11.357,10.372,10.465,813038,0
ZG.US,D,20110728,000000,10.547,10.896,10.525,10.571,513240,0
ZG.US,D,20110729,000000,10.135,10.291,9.948,10.048,533144,0
ZG.US,D,20110801,000000,10.278,10.278,9.4083,9.4239,416053,0
ZG.US,D,20110802,000000,9.4488,9.4488,8.4541,8.5289,1058277,0
ZG.US,D,20110803,000000,8.6755,8.9249,8.5414,8.8813,634698,0
ZG.US,D,20110804,000000,8.9655,9.2493,8.8096,8.8594,738235,0
ZG.US,D,20110805,000000,9.006,9.1183,7.8335,8.7815,667484,0
ZG.US,D,20110808,000000,8.0019,8.4198,7.874,8.136,771328,0
ZG.US,D,20110809,000000,8.1235,8.8033,8.111,8.7191,501391,0
ZG.US,D,20110810,000000,8.6069,8.7316,8.3667,8.5351,195227,0
ZG.US,D,20110811,000000,8.7222,8.8314,8.3449,8.4198,275273,0
ZG.US,D,20110812,000000,8.5383,8.5881,8.242,8.3106,350446,0
ZG.US,D,20110815,000000,8.1391,8.2264,7.874,7.9582,347752,0
ZG.US,D,20110816,000000,7.8023,7.9489,7.3595,7.5154,527529,0
ZG.US,D,20110817,000000,7.4936,7.5622,7.425,7.5279,190731,0
ZG.US,D,20110818,000000,7.4499,7.6713,7.3065,7.4811,218373,0
ZG.US,D,20110819,000000,7.3283,7.6526,7.3283,7.5466,427405,0
ZG.US,D,20110822,000000,7.7243,7.7243,7.453,7.4717,283598,0
ZG.US,D,20110823,000000,7.5216,7.6557,7.3532,7.6339,213547,0
ZG.US,D,20110824,000000,7.637,8.4042,7.637,8.189,549976,0
ZG.US,D,20110825,000000,8.4509,10.643,8.4509,9.4332,1866345,0
ZG.US,D,20110826,000000,9.686,9.979,8.7503,9.786,1033967,0
ZG.US,D,20110829,000000,10.057,10.54,9.754,10.303,921535,0
ZG.US,D,20110830,000000,10.44,11.367,10.241,10.955,1975516,0
ZG.US,D,20110831,000000,11.298,11.753,10.999,11.594,1326348,0
ZG.US,D,20110901,000000,11.71,11.847,11.289,11.507,672095,0
ZG.US,D,20110902,000000,11.226,11.226,10.808,10.896,481714,0
ZG.US,D,20110906,000000,10.244,10.805,9.991,10.681,450865,0
ZG.US,D,20110907,000000,10.961,11.379,10.715,11.254,406586,0
ZG.US,D,20110908,000000,11.226,11.264,10.808,11.139,191462,0
ZG.US,D,20110909,000000,10.849,11.579,10.74,11.516,544092,0
ZG.US,D,20110912,000000,11.258,11.691,11.077,11.625,573199,0
ZG.US,D,20110913,000000,11.694,11.694,11.229,11.688,281956,0
ZG.US,D,20110914,000000,11.679,11.679,10.759,10.762,833295,0
ZG.US,D,20110915,000000,10.837,10.837,9.48,9.62,849691,0
ZG.US,D,20110916,000000,9.652,9.652,8.8875,9.1027,774384,0
ZG.US,D,20110919,000000,8.8875,9.3335,8.8875,8.9686,276146,0
ZG.US,D,20110920,000000,8.9655,9.2991,8.3262,8.348,395360,0
ZG.US,D,20110921,000000,8.3293,8.822,8.1983,8.6599,334178,0
ZG.US,D,20110922,000000,8.8688,8.8688,8.3792,8.7316,379541,0
ZG.US,D,20110923,000000,8.8719,8.8719,8.3543,8.3792,279035,0
ZG.US,D,20110926,000000,8.4198,8.7316,7.8273,8.2451,332652,0
ZG.US,D,20110927,000000,8.5258,8.7877,8.2669,8.7285,277784,0
ZG.US,D,20110928,000000,9.137,9.137,8.6131,8.8314,471712,0
ZG.US,D,20110929,000000,9.0497,9.137,8.2233,8.7784,371553,0
ZG.US,D,20110930,000000,8.7316,8.8064,8.111,8.5289,1827062,0
ZG.US,D,20111003,000000,8.3979,8.7098,7.9613,8.0611,443349,0
ZG.US,D,20111004,000000,7.952,8.0549,7.7337,7.952,481442,0
ZG.US,D,20111005,000000,7.9083,7.952,7.7368,7.9458,205136,0
ZG.US,D,20111006,000000,7.9208,8.1547,7.7431,8.0611,219011,0
ZG.US,D,20111007,000000,8.0393,8.2482,7.8023,7.874,146625,0
ZG.US,D,20111010,000000,8.0736,8.1703,7.9208,8.1703,277130,0
ZG.US,D,20111011,000000,7.8273,8.2669,7.8273,8.1828,103530,0
ZG.US,D,20111012,000000,8.1672,8.2669,7.874,7.952,304721,0
ZG.US,D,20111013,000000,7.8273,8.0299,7.8023,7.8678,154883,0
ZG.US,D,20111014,000000,8.0268,8.6723,7.8584,8.6443,315996,0
ZG.US,D,20111017,000000,8.61,8.6412,7.8428,8.2264,229853,0
ZG.US,D,20111018,000000,8.32,9.0278,8.1983,8.9967,416117,0
ZG.US,D,20111019,000000,8.9218,9.3023,8.2638,8.3168,306440,0
ZG.US,D,20111020,000000,8.2888,8.3574,8.2108,8.295,136899,0
ZG.US,D,20111021,000000,8.4665,8.8875,8.2233,8.4291,218447,0
ZG.US,D,20111024,000000,8.5913,8.8251,8.1079,8.5726,520567,0
ZG.US,D,20111025,000000,8.5757,8.6162,8.2545,8.4291,207874,0
ZG.US,D,20111026,000000,8.4229,9.1214,8.1828,9.0528,332947,0
ZG.US,D,20111027,000000,9.3553,9.926,9.1152,9.595,404637,0
ZG.US,D,20111028,000000,9.605,9.82,9.3553,9.514,185283,0
ZG.US,D,20111031,000000,9.4769,9.53,9.0372,9.2586,62487,0
ZG.US,D,20111101,000000,8.8875,9.0247,8.1859,8.3044,381712,0
ZG.US,D,20111102,000000,8.6162,8.7004,8.2669,8.5632,309207,0
ZG.US,D,20111103,000000,9.62,10.419,8.9748,9.4332,1810458,0
ZG.US,D,20111104,000000,9.374,10.44,9.2929,10.175,434976,0
ZG.US,D,20111107,000000,10.238,10.291,9.995,10.141,269075,0
ZG.US,D,20111108,000000,10.26,10.275,9.979,10.088,130745,0
ZG.US,D,20111109,000000,9.3989,9.811,9.1276,9.1495,278275,0
ZG.US,D,20111110,000000,9.3584,9.633,9.2181,9.349,106137,0
ZG.US,D,20111111,000000,9.3989,9.695,9.2898,9.3771,159661,0
ZG.US,D,20111114,000000,9.3085,9.561,8.8594,8.9093,332302,0
ZG.US,D,20111115,000000,8.8189,9.2493,8.7815,9.1838,103427,0
ZG.US,D,20111116,000000,9.0434,9.1838,8.9093,9.0964,128565,0
ZG.US,D,20111117,000000,9.1744,9.19,8.7409,8.7503,215420,0
ZG.US,D,20111118,000000,8.8813,8.8844,8.1141,8.4353,503546,0
ZG.US,D,20111121,000000,7.952,7.9894,7.0321,7.3345,2675551,0
ZG.US,D,20111122,000000,7.3345,7.5216,7.0632,7.1849,939689,0
ZG.US,D,20111123,000000,7.1568,7.1849,7.0726,7.1131,406660,0
ZG.US,D,20111125,000000,7.0757,7.216,7.0445,7.0445,62801,0
ZG.US,D,20111128,000000,7.294,7.4406,7.0476,7.0851,373054,0
ZG.US,D,20111129,000000,7.0383,7.1724,6.8824,6.9385,438429,0
ZG.US,D,20111130,000000,7.1724,7.1724,6.8948,6.9822,472549,0
ZG.US,D,20111201,000000,6.9697,6.9697,6.7233,6.7452,582553,0
ZG.US,D,20111202,000000,6.8231,7.0882,6.6173,6.8792,1023247,0
ZG.US,D,20111205,000000,6.979,7.2535,6.8668,7.1973,392522,0
ZG.US,D,20111206,000000,7.1537,7.294,7.0321,7.2129,409056,0
ZG.US,D,20111207,000000,7.1755,7.7025,7.1755,7.6713,698003,0
ZG.US,D,20111208,000000,7.6713,7.874,7.3439,7.7337,471841,0
ZG.US,D,20111209,000000,7.4842,7.7586,7.4842,7.7243,219187,0
ZG.US,D,20111212,000000,7.4936,7.637,7.1911,7.4343,252243,0
ZG.US,D,20111213,000000,7.5934,7.637,7.0321,7.0445,152959,0
ZG.US,D,20111214,000000,7.0196,7.0321,6.6766,6.9011,366412,0
ZG.US,D,20111215,000000,7.0258,7.4343,6.9572,7.3844,232919,0
ZG.US,D,20111216,000000,7.4655,7.6308,7.1007,7.1786,422370,0
ZG.US,D,20111219,000000,7.1786,7.1786,6.8605,7.0975,307626,0
ZG.US,D,20111220,000000,7.1568,7.2659,6.9634,7.241,329823,0
ZG.US,D,20111221,000000,7.1599,7.2971,7.1599,7.2129,86861,0
ZG.US,D,20111222,000000,7.135,7.3127,6.9479,7.2659,159936,0
ZG.US,D,20111223,000000,7.294,7.3283,7.0695,7.1162,62522,0
ZG.US,D,20111227,000000,7.1412,7.3096,7.057,7.3096,308960,0
ZG.US,D,20111228,000000,7.1786,7.3844,7.0632,7.1849,97107,0
ZG.US,D,20111229,000000,7.1724,7.3096,7.1412,7.1724,265150,0
ZG.US,D,20111230,000000,7.1194,7.163,6.9853,7.0102,213322,0
ZG.US,D,20120103,000000,7.0102,7.2036,6.9136,7.1942,429765,0
ZG.US,D,20120104,000000,7.0289,7.2535,7.0289,7.1755,154232,0
ZG.US,D,20120105,000000,7.0944,7.1911,7.0321,7.1724,278246,0
ZG.US,D,20120106,000000,7.1693,7.3034,7.11,7.1849,345360,0
ZG.US,D,20120109,000000,7.1849,7.2036,7.0975,7.1817,181537,0
ZG.US,D,20120110,000000,7.241,7.7555,7.1973,7.7493,555200,0
ZG.US,D,20120111,000000,7.6994,8.1859,7.5248,8.1859,748762,0
ZG.US,D,20120112,000000,7.9551,8.716,7.846,8.479,955322,0
ZG.US,D,20120113,000000,8.2202,8.7285,8.2015,8.5258,600995,0
ZG.US,D,20120117,000000,8.1079,8.8064,8.1048,8.4509,1248912,0
ZG.US,D,20120118,000000,8.2482,8.6848,8.2482,8.6599,859555,0
ZG.US,D,20120119,000000,8.6973,8.7222,8.5757,8.638,258428,0
