<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
YTRA.US,D,20161220,000000,10,10.15,8.3954,10,9648,0
YTRA.US,D,20161221,000000,10,10,9.85,9.95,19869,0
YTRA.US,D,20161222,000000,9.9,9.9,9.9,9.9,2000,0
YTRA.US,D,20161223,000000,9.84,9.85,9.84,9.85,1200,0
YTRA.US,D,20161228,000000,9.84,9.84,9.46,9.72,3801,0
YTRA.US,D,20161229,000000,9.4,9.4,8.55,9.35,18000,0
YTRA.US,D,20161230,000000,9.2,9.35,9.2,9.35,3100,0
YTRA.US,D,20170103,000000,9.15,9.35,9.1,9.35,4950,0
YTRA.US,D,20170104,000000,9.35,9.69,9.35,9.69,6550,0
YTRA.US,D,20170105,000000,9.5724,9.6,9.4195,9.5,8294,0
YTRA.US,D,20170106,000000,9.69,9.7912,9.69,9.72,2500,0
YTRA.US,D,20170110,000000,9.6499,9.65,9.6,9.61,1200,0
YTRA.US,D,20170111,000000,9.6944,9.75,9.66,9.66,1175,0
YTRA.US,D,20170112,000000,9.7035,9.7054,9.61,9.61,850,0
YTRA.US,D,20170113,000000,9.7,9.74,9.6,9.6,6780,0
YTRA.US,D,20170117,000000,9.69,9.74,9.6,9.6,11400,0
YTRA.US,D,20170118,000000,9.65,9.68,9.53,9.53,6229,0
YTRA.US,D,20170119,000000,9.69,9.69,9.48,9.49,2400,0
YTRA.US,D,20170120,000000,9.69,9.74,9.6083,9.7,6700,0
YTRA.US,D,20170123,000000,9.62,9.95,9.62,9.91,21630,0
YTRA.US,D,20170124,000000,9.92,9.95,9.85,9.8774,30000,0
YTRA.US,D,20170125,000000,9.86,10.679,9.75,9.9,82028,0
YTRA.US,D,20170126,000000,10,10,9.6812,9.7964,9830,0
YTRA.US,D,20170127,000000,9.85,9.9194,9.7993,9.84,11179,0
YTRA.US,D,20170130,000000,9.84,9.85,9.78,9.8,11114,0
YTRA.US,D,20170131,000000,9.8392,9.8392,9.6892,9.76,18773,0
YTRA.US,D,20170201,000000,9.935,10,9.795,9.8,66310,0
YTRA.US,D,20170202,000000,9.749,9.9492,9.7,9.715,71319,0
YTRA.US,D,20170203,000000,9.73,9.8699,9.7162,9.84,64628,0
YTRA.US,D,20170206,000000,9.6601,9.7339,9.28,9.28,67632,0
YTRA.US,D,20170207,000000,9.37,9.44,9.21,9.35,7270,0
YTRA.US,D,20170208,000000,9.35,9.35,9.24,9.2499,10666,0
YTRA.US,D,20170209,000000,9.49,9.49,9.11,9.3,6068,0
YTRA.US,D,20170210,000000,9.27,9.27,9.27,9.27,100,0
YTRA.US,D,20170213,000000,9.33,9.3399,9.11,9.23,1614,0
YTRA.US,D,20170214,000000,9.17,9.19,9.1,9.14,3000,0
YTRA.US,D,20170215,000000,9.39,9.39,9,9.08,6954,0
YTRA.US,D,20170216,000000,9,9.1,8.51,8.79,12850,0
YTRA.US,D,20170217,000000,9.2,9.2,8.8,8.83,8493,0
YTRA.US,D,20170221,000000,8.99,8.99,8.51,8.62,11250,0
YTRA.US,D,20170222,000000,8.58,8.65,8.4657,8.5,4607,0
YTRA.US,D,20170223,000000,8.61,8.61,8.4,8.455,11280,0
YTRA.US,D,20170224,000000,8.515,8.5705,8.27,8.33,5461,0
YTRA.US,D,20170227,000000,8.38,8.45,8.35,8.39,11860,0
YTRA.US,D,20170228,000000,8.44,8.58,8.4399,8.5,15468,0
YTRA.US,D,20170301,000000,8.59,8.59,8.37,8.39,24080,0
YTRA.US,D,20170302,000000,8.33,8.4,8.15,8.15,10897,0
YTRA.US,D,20170303,000000,8.24,8.25,8,8.14,10995,0
YTRA.US,D,20170306,000000,8.1,8.12,7.99,8,11400,0
YTRA.US,D,20170307,000000,8.05,8.05,7.71,7.88,46500,0
YTRA.US,D,20170308,000000,7.9,8.4648,7.79,8.2,55338,0
YTRA.US,D,20170309,000000,8.3,8.4,8.11,8.23,29943,0
YTRA.US,D,20170310,000000,8.29,8.47,8.2766,8.38,15540,0
YTRA.US,D,20170313,000000,8.4531,8.59,8.4001,8.43,11816,0
YTRA.US,D,20170314,000000,8.6,8.603,8.3,8.44,23064,0
YTRA.US,D,20170315,000000,8.435,8.4522,8.25,8.45,11231,0
YTRA.US,D,20170316,000000,8.6,8.68,8.49,8.5499,31357,0
YTRA.US,D,20170317,000000,8.56,8.79,8.56,8.7,108236,0
YTRA.US,D,20170320,000000,8.89,9.2,8.65,8.96,108819,0
YTRA.US,D,20170321,000000,8.97,9.245,8.85,9.15,51880,0
YTRA.US,D,20170322,000000,9.02,9.37,8.9999,9.3,59790,0
YTRA.US,D,20170323,000000,9.33,9.586,9.2301,9.49,101373,0
YTRA.US,D,20170324,000000,9.69,9.69,9.31,9.36,48443,0
YTRA.US,D,20170327,000000,9.5,9.5399,9.37,9.39,38275,0
YTRA.US,D,20170328,000000,9.5203,9.5203,9.367,9.3775,31910,0
YTRA.US,D,20170329,000000,9.35,9.5,9.35,9.4,46770,0
YTRA.US,D,20170330,000000,9.55,9.64,9.3745,9.48,60559,0
YTRA.US,D,20170331,000000,9.52,9.69,9.49,9.5,88004,0
YTRA.US,D,20170403,000000,9.6196,9.73,9.4601,9.72,36350,0
YTRA.US,D,20170404,000000,9.71,9.77,9.6,9.64,22790,0
YTRA.US,D,20170405,000000,9.62,9.79,9.5,9.55,37529,0
YTRA.US,D,20170406,000000,9.51,9.6704,9.5,9.63,47622,0
YTRA.US,D,20170407,000000,9.58,9.6223,9.5,9.52,14858,0
YTRA.US,D,20170410,000000,9.5,9.55,9.4608,9.5,21954,0
YTRA.US,D,20170411,000000,9.5,9.5671,9.45,9.48,13064,0
YTRA.US,D,20170412,000000,9.45,9.51,9.43,9.45,42123,0
YTRA.US,D,20170413,000000,9.43,9.5,9.29,9.4028,35297,0
YTRA.US,D,20170417,000000,9.44,9.9701,9.4,9.65,224338,0
YTRA.US,D,20170418,000000,9.6304,9.6304,9.25,9.33,120380,0
YTRA.US,D,20170419,000000,9.53,9.53,9.22,9.28,42518,0
YTRA.US,D,20170420,000000,9.31,9.4,9.27,9.34,25984,0
YTRA.US,D,20170421,000000,9.4026,9.426,9.21,9.24,22385,0
YTRA.US,D,20170424,000000,9.28,9.4092,9.15,9.24,19210,0
YTRA.US,D,20170425,000000,9.21,9.29,9.14,9.2,19739,0
YTRA.US,D,20170426,000000,9.2429,9.29,9.19,9.2,27398,0
YTRA.US,D,20170427,000000,9.21,9.25,9.12,9.16,11304,0
YTRA.US,D,20170428,000000,9.243,9.29,9.04,9.13,45175,0
YTRA.US,D,20170501,000000,9.1846,9.4,9.11,9.1126,140189,0
YTRA.US,D,20170502,000000,9.25,9.48,9.18,9.27,102861,0
YTRA.US,D,20170503,000000,9.387,9.69,9.316,9.53,61662,0
YTRA.US,D,20170504,000000,9.68,9.6889,9.4,9.46,52589,0
YTRA.US,D,20170505,000000,9.4794,9.5218,9.33,9.35,39896,0
YTRA.US,D,20170508,000000,9.411,9.4905,9.3805,9.45,29444,0
YTRA.US,D,20170509,000000,9.45,9.51,9.31,9.4049,26786,0
YTRA.US,D,20170510,000000,9.3898,9.5336,9.3,9.5,24413,0
YTRA.US,D,20170511,000000,9.54,9.54,9.3835,9.4,13504,0
YTRA.US,D,20170512,000000,9.38,9.4,9.26,9.26,13217,0
YTRA.US,D,20170515,000000,9.3,9.3982,9.27,9.32,31176,0
YTRA.US,D,20170516,000000,9.42,9.69,9.35,9.3608,116492,0
YTRA.US,D,20170517,000000,9.43,9.6228,9.22,9.34,151266,0
YTRA.US,D,20170518,000000,9.5,9.54,9.02,9.23,61777,0
YTRA.US,D,20170519,000000,9.2567,9.33,9.07,9.1,22898,0
YTRA.US,D,20170522,000000,9.09,9.3153,9.06,9.2,54311,0
YTRA.US,D,20170523,000000,9.2799,9.37,9.21,9.34,39533,0
