<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
JANZ.US,D,20210105,000000,25.13,25.14,24.96,25.0811,8501,0
JANZ.US,D,20210108,000000,25.56,25.5874,25.56,25.5874,701,0
JANZ.US,D,20210111,000000,25.51,25.6,25.4,25.4466,44336,0
JANZ.US,D,20210112,000000,25.51,25.59,25.4,25.4796,35117,0
JANZ.US,D,20210114,000000,25.6,25.6,25.4631,25.4631,295,0
JANZ.US,D,20210115,000000,25.38,25.45,25.2821,25.2821,15450,0
JANZ.US,D,20210119,000000,25.5,25.53,25.42,25.4845,13328,0
JANZ.US,D,20210120,000000,25.7687,25.7687,25.7687,25.7687,34,0
JANZ.US,D,20210121,000000,25.789,25.789,25.7677,25.7677,100,0
JANZ.US,D,20210122,000000,25.7075,25.7075,25.7075,25.7075,34,0
JANZ.US,D,20210125,000000,25.7384,25.7384,25.7384,25.7384,3,0
JANZ.US,D,20210126,000000,25.67,25.67,25.58,25.67,16021,0
JANZ.US,D,20210127,000000,25.5,25.5,25.1854,25.1854,2772,0
JANZ.US,D,20210128,000000,25.4057,25.4057,25.4057,25.4057,100,0
JANZ.US,D,20210129,000000,25.32,25.32,25,25.0611,1281,0
JANZ.US,D,20210202,000000,25.6057,25.6057,25.6057,25.6057,12,0
JANZ.US,D,20210203,000000,25.6367,25.6367,25.6367,25.6367,12,0
JANZ.US,D,20210204,000000,25.8195,25.8195,25.8195,25.8195,12,0
JANZ.US,D,20210205,000000,25.9239,25.9239,25.908,25.908,451,0
JANZ.US,D,20210208,000000,26.0374,26.0374,26.0374,26.0374,1,0
JANZ.US,D,20210209,000000,26.0354,26.0354,26.0354,26.0354,1,0
JANZ.US,D,20210210,000000,26.05,26.05,26.0161,26.0161,1900,0
JANZ.US,D,20210211,000000,26.01,26.0618,26.01,26.0618,3235,0
JANZ.US,D,20210212,000000,26.1648,26.1648,26.1648,26.1648,1,0
JANZ.US,D,20210216,000000,26.1492,26.1492,26.1492,26.1492,1,0
JANZ.US,D,20210217,000000,26.1489,26.1489,26.1489,26.1489,1,0
JANZ.US,D,20210218,000000,25.99,26.12,25.99,26.0492,790,0
JANZ.US,D,20210219,000000,26.007,26.007,26.007,26.007,1,0
JANZ.US,D,20210222,000000,25.8672,25.8672,25.8672,25.8672,20,0
JANZ.US,D,20210223,000000,25.8982,25.8982,25.8982,25.8982,1,0
JANZ.US,D,20210224,000000,26.1446,26.1446,26.1446,26.1446,1,0
JANZ.US,D,20210225,000000,25.6597,25.6597,25.6597,25.6597,1,0
JANZ.US,D,20210226,000000,25.6,25.6105,25.6,25.6105,183,0
JANZ.US,D,20210301,000000,25.98,25.98,25.97,25.97,7389,0
JANZ.US,D,20210302,000000,25.8856,25.8856,25.8856,25.8856,1,0
JANZ.US,D,20210303,000000,25.623,25.623,25.623,25.623,1,0
JANZ.US,D,20210304,000000,25.2928,25.2928,25.2928,25.2928,1,0
JANZ.US,D,20210305,000000,25.7207,25.7207,25.7207,25.7207,1,0
JANZ.US,D,20210308,000000,25.6418,25.6418,25.6418,25.6418,1,0
JANZ.US,D,20210309,000000,25.9115,25.9115,25.9115,25.9115,1,0
JANZ.US,D,20210310,000000,26.0274,26.0274,26.0274,26.0274,1,0
JANZ.US,D,20210311,000000,26.232,26.232,26.232,26.232,1,0
JANZ.US,D,20210312,000000,26.2616,26.2616,26.2616,26.2616,1,0
JANZ.US,D,20210315,000000,26.378,26.378,26.378,26.378,1,0
JANZ.US,D,20210316,000000,26.3648,26.3648,26.3648,26.3648,1,0
JANZ.US,D,20210317,000000,26.4051,26.4051,26.4051,26.4051,1,0
JANZ.US,D,20210318,000000,26.1295,26.1295,26.1295,26.1295,1,0
JANZ.US,D,20210319,000000,26.1272,26.1272,26.1272,26.1272,1,0
JANZ.US,D,20210322,000000,26.2479,26.2479,26.2479,26.2479,1,0
JANZ.US,D,20210323,000000,26.0834,26.0834,26.0834,26.0834,118,0
