<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FAIL.US,D,20160224,000000,21.197,21.241,21.197,21.241,545,0
FAIL.US,D,20160225,000000,21.207,21.241,21.207,21.241,790,0
FAIL.US,D,20160226,000000,21.235,21.292,21.215,21.282,2612,0
FAIL.US,D,20160229,000000,21.478,21.478,21.478,21.478,739,0
FAIL.US,D,20160301,000000,21.511,21.74,21.511,21.74,1298,0
FAIL.US,D,20160302,000000,21.547,21.798,21.547,21.798,1644,0
FAIL.US,D,20160303,000000,21.688,21.688,21.688,21.688,118,0
FAIL.US,D,20160304,000000,21.848,21.96,21.807,21.949,55580,0
FAIL.US,D,20160307,000000,21.934,21.975,21.883,21.942,1675,0
FAIL.US,D,20160308,000000,21.934,22.935,21.907,21.934,4166,0
FAIL.US,D,20160309,000000,22.076,22.194,22.076,22.176,1890,0
FAIL.US,D,20160311,000000,22.347,22.347,22.067,22.092,41425,0
FAIL.US,D,20160314,000000,22.238,22.37,21.958,21.958,2661,0
FAIL.US,D,20160315,000000,22.067,22.152,21.756,21.789,13439,0
FAIL.US,D,20160316,000000,21.576,21.883,21.554,21.883,3872,0
FAIL.US,D,20160317,000000,22.006,22.006,21.925,21.925,1167,0
FAIL.US,D,20160318,000000,22.328,22.328,22.277,22.277,5842,0
FAIL.US,D,20160321,000000,21.807,22.111,21.807,22.111,537,0
FAIL.US,D,20160322,000000,22.245,22.245,22.245,22.245,474,0
FAIL.US,D,20160323,000000,22.454,22.454,22.144,22.252,7451,0
FAIL.US,D,20160324,000000,22.388,23.215,22.05,22.294,19636,0
FAIL.US,D,20160328,000000,22.168,22.463,22.111,22.111,2624,0
FAIL.US,D,20160329,000000,22.152,22.776,22.152,22.202,2860,0
FAIL.US,D,20160331,000000,22.616,22.624,22.616,22.624,812,0
FAIL.US,D,20160401,000000,22.565,22.565,22.556,22.556,963,0
FAIL.US,D,20160404,000000,22.454,22.454,22.454,22.454,894,0
FAIL.US,D,20160405,000000,22.446,22.446,22.252,22.277,3736,0
FAIL.US,D,20160407,000000,22.285,22.285,22.277,22.277,356,0
FAIL.US,D,20160408,000000,22.406,22.463,22.406,22.463,1591,0
FAIL.US,D,20160411,000000,22.616,22.624,22.532,22.624,3899,0
FAIL.US,D,20160412,000000,22.598,22.598,22.598,22.598,118,0
FAIL.US,D,20160413,000000,22.557,22.557,22.557,22.557,750,0
FAIL.US,D,20160414,000000,22.571,22.643,22.571,22.643,691,0
FAIL.US,D,20160419,000000,22.951,22.951,22.951,22.951,3086,0
