<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
BNE.US,D,20201210,000000,24.53,24.84,24.53,24.7402,25941,0
BNE.US,D,20201211,000000,24.65,24.79,24.55,24.599,4281,0
BNE.US,D,20201214,000000,24.92,24.99,24.6755,24.7195,1541,0
BNE.US,D,20201215,000000,24.9,25.65,24.9,25.6198,10662,0
BNE.US,D,20201216,000000,25.64,25.675,25.55,25.6743,1910,0
BNE.US,D,20201217,000000,26,26.09,25.75,26.0455,2595,0
BNE.US,D,20201218,000000,26.66,26.66,26.4076,26.4076,2979,0
BNE.US,D,20201221,000000,26.23,26.91,26.1971,26.86,7595,0
BNE.US,D,20201222,000000,27.06,27.65,27.06,27.4177,8761,0
BNE.US,D,20201223,000000,27.95,28.1576,27.75,27.9896,12874,0
BNE.US,D,20201224,000000,27.99,29,27.5,27.6475,5900,0
BNE.US,D,20201228,000000,28.26,28.26,27.5,27.5835,3297,0
BNE.US,D,20201229,000000,27.5,27.5,27.01,27.1626,4109,0
BNE.US,D,20201230,000000,27.48,27.96,27.48,27.7989,4954,0
BNE.US,D,20201231,000000,27.71,27.9,27.71,27.86,3055,0
BNE.US,D,20210104,000000,28.49,28.68,28,28.1586,6518,0
BNE.US,D,20210105,000000,28.28,29.08,28.28,29.08,7755,0
BNE.US,D,20210106,000000,29.43,30.7,29.43,30.03,19810,0
BNE.US,D,20210107,000000,31.285,32.07,31.285,32.02,11009,0
BNE.US,D,20210108,000000,32.29,32.7372,31.64,31.9054,14777,0
BNE.US,D,20210111,000000,31.69,31.76,31.17,31.5,3583,0
BNE.US,D,20210112,000000,31.84,32.29,31.84,32.1603,3875,0
BNE.US,D,20210113,000000,32.73,32.73,32.04,32.4878,4319,0
BNE.US,D,20210114,000000,32.27,32.4,32.1023,32.1023,5170,0
BNE.US,D,20210115,000000,31.86,31.86,30.75,30.8599,17720,0
BNE.US,D,20210119,000000,31.61,32.35,31.61,32.1835,12740,0
BNE.US,D,20210120,000000,32.52,32.64,32.17,32.2404,5897,0
BNE.US,D,20210121,000000,32.6,33.09,32.5,33.0639,6483,0
BNE.US,D,20210122,000000,32.89,33.4,32.89,33.3264,1755,0
