<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
MJUS.US,D,20210514,000000,10.03,10.0799,9.895,10.05,70563,0
MJUS.US,D,20210517,000000,10.29,10.31,10.07,10.14,88042,0
MJUS.US,D,20210518,000000,10.3,10.3,10.09,10.09,69116,0
MJUS.US,D,20210519,000000,10.05,10.05,9.704,9.86,85332,0
MJUS.US,D,20210520,000000,9.96,9.97,9.84,9.9234,36158,0
MJUS.US,D,20210521,000000,9.99,9.99,9.8,9.91,16570,0
MJUS.US,D,20210524,000000,9.91,10.049,9.91,10,31835,0
MJUS.US,D,20210525,000000,10.08,10.145,10,10.0264,47826,0
MJUS.US,D,20210526,000000,10.15,10.2399,10,10.195,30301,0
MJUS.US,D,20210527,000000,10.36,10.36,10.23,10.35,16251,0
MJUS.US,D,20210528,000000,10.3,10.38,10.3,10.348,66215,0
MJUS.US,D,20210601,000000,10.6,10.6,10.25,10.25,21286,0
MJUS.US,D,20210602,000000,10.45,10.47,10.28,10.38,55286,0
MJUS.US,D,20210603,000000,10.5,10.5,10.26,10.27,24114,0
MJUS.US,D,20210604,000000,10.39,10.51,10.21,10.25,11145,0
MJUS.US,D,20210607,000000,10.31,10.45,10.2001,10.3166,34125,0
MJUS.US,D,20210608,000000,10.46,10.46,10.25,10.3,43069,0
MJUS.US,D,20210609,000000,10.3,10.3299,10.2,10.2,31627,0
MJUS.US,D,20210610,000000,10.11,10.209,10.05,10.0968,24571,0
MJUS.US,D,20210611,000000,10.05,10.1699,10.05,10.1,11253,0
MJUS.US,D,20210614,000000,10.16,10.225,10.05,10.05,12593,0
MJUS.US,D,20210615,000000,10.06,10.086,9.8,9.8,44236,0
MJUS.US,D,20210616,000000,9.85,9.85,9.79,9.8,13852,0
MJUS.US,D,20210617,000000,9.8,9.85,9.6,9.7,19368,0
MJUS.US,D,20210618,000000,9.6,9.6899,9.55,9.55,31782,0
MJUS.US,D,20210621,000000,9.6,9.6,9.49,9.57,26908,0
MJUS.US,D,20210622,000000,9.57,9.57,9.49,9.51,16106,0
MJUS.US,D,20210623,000000,9.53,9.74,9.51,9.74,16288,0
MJUS.US,D,20210624,000000,9.88,9.99,9.8618,9.97,24898,0
MJUS.US,D,20210625,000000,9.94,10.0499,9.84,10.0499,44862,0
MJUS.US,D,20210628,000000,10,10.04,9.93,9.98,37596,0
MJUS.US,D,20210629,000000,10.03,10.03,9.84,9.9184,10488,0
MJUS.US,D,20210630,000000,9.97,9.97,9.825,9.8604,9346,0
MJUS.US,D,20210701,000000,9.9928,10.04,9.89,10,25368,0
MJUS.US,D,20210702,000000,10.07,10.07,9.8601,9.94,8211,0
MJUS.US,D,20210706,000000,9.97,9.97,9.7501,9.83,7254,0
MJUS.US,D,20210707,000000,10.06,10.06,9.85,9.85,19576,0
MJUS.US,D,20210708,000000,10.22,10.22,9.6444,9.7253,13945,0
MJUS.US,D,20210709,000000,9.84,9.88,9.68,9.8553,16219,0
MJUS.US,D,20210712,000000,9.92,9.92,9.78,9.8227,6654,0
MJUS.US,D,20210713,000000,9.79,10.08,9.79,9.8625,10800,0
MJUS.US,D,20210714,000000,9.88,9.95,9.6,9.6,14586,0
MJUS.US,D,20210715,000000,9.56,9.56,9.15,9.3415,23034,0
MJUS.US,D,20210716,000000,9.49,9.49,9.095,9.1,16483,0
MJUS.US,D,20210719,000000,9.07,9.14,8.6,8.8,30078,0
MJUS.US,D,20210720,000000,8.94,9.06,8.93,9.0493,35335,0
MJUS.US,D,20210721,000000,9.48,9.48,9.14,9.171,14951,0
MJUS.US,D,20210722,000000,9.25,9.25,9.0501,9.1,8140,0
MJUS.US,D,20210723,000000,9.15,9.15,8.95,8.98,14187,0
MJUS.US,D,20210726,000000,8.91,9,8.79,8.831,10856,0
MJUS.US,D,20210727,000000,8.82,8.87,8.65,8.68,15077,0
MJUS.US,D,20210728,000000,8.8001,8.919,8.8,8.8746,7758,0
