<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
HDRO.US,D,20210311,000000,28.42,29.56,28,29.5549,143586,0
HDRO.US,D,20210312,000000,28.52,28.83,27.87,28.83,85040,0
HDRO.US,D,20210315,000000,28.87,28.87,28,28.39,234450,0
HDRO.US,D,20210316,000000,27.8,27.885,27.13,27.3001,223437,0
HDRO.US,D,20210317,000000,26.05,26.725,25.81,26.69,168310,0
HDRO.US,D,20210318,000000,26.43,26.5,25.69,25.81,90039,0
HDRO.US,D,20210319,000000,25.58,26.29,25.35,26.2014,57753,0
HDRO.US,D,20210322,000000,26.6,26.8599,26.4,26.685,76235,0
HDRO.US,D,20210323,000000,26.42,26.49,25.55,25.6374,52953,0
HDRO.US,D,20210324,000000,25.6,25.6,24.69,24.77,67589,0
HDRO.US,D,20210325,000000,24.08,24.83,23.9601,24.8,54645,0
HDRO.US,D,20210326,000000,25.12,25.23,24.8,25.23,63046,0
HDRO.US,D,20210329,000000,25.49,25.49,24.74,24.85,51827,0
HDRO.US,D,20210330,000000,25.04,25.9,24.841,25.64,108028,0
HDRO.US,D,20210331,000000,26.77,27.16,26.72,27.07,58171,0
HDRO.US,D,20210401,000000,27.67,27.67,27.16,27.3,70543,0
HDRO.US,D,20210405,000000,28,28,27.4159,27.6288,72809,0
HDRO.US,D,20210406,000000,27.45,27.51,27.245,27.3584,39713,0
HDRO.US,D,20210407,000000,27.25,27.25,26.445,26.5821,57346,0
HDRO.US,D,20210408,000000,26.73,27.01,26.635,26.7448,40249,0
HDRO.US,D,20210409,000000,26.79,26.83,26.61,26.7,34056,0
HDRO.US,D,20210412,000000,26.25,26.33,25.61,25.76,50235,0
HDRO.US,D,20210413,000000,25.89,25.99,25.68,25.99,24738,0
HDRO.US,D,20210414,000000,26.21,26.33,25.88,25.9027,33870,0
HDRO.US,D,20210415,000000,25.91,26,25.07,25.3308,113220,0
HDRO.US,D,20210416,000000,25.47,25.81,25.39,25.81,34548,0
HDRO.US,D,20210419,000000,25.44,25.44,24.71,24.86,67212,0
HDRO.US,D,20210420,000000,24.52,24.716,24,24.2169,65678,0
HDRO.US,D,20210421,000000,23.83,24.6699,23.62,24.6699,56333,0
HDRO.US,D,20210422,000000,25.4,25.56,24.87,24.9879,95493,0
HDRO.US,D,20210423,000000,25.13,25.72,25.01,25.6988,42135,0
HDRO.US,D,20210426,000000,26.04,26.159,25.72,26.1469,34060,0
HDRO.US,D,20210427,000000,26.42,26.42,26.1,26.1503,28637,0
HDRO.US,D,20210428,000000,25.9,26.1,25.655,26.0273,28911,0
HDRO.US,D,20210429,000000,26.2,26.2,25.545,25.8178,20871,0
HDRO.US,D,20210430,000000,25.5,25.64,25.2,25.35,27105,0
HDRO.US,D,20210503,000000,25.36,25.365,24.83,24.84,37935,0
HDRO.US,D,20210504,000000,23.23,23.37,22.68,22.95,74718,0
HDRO.US,D,20210505,000000,22.86,22.86,22.33,22.55,29574,0
HDRO.US,D,20210506,000000,21.49,21.69,21.14,21.5,119184,0
HDRO.US,D,20210507,000000,21.97,22.44,21.97,22.275,38892,0
HDRO.US,D,20210510,000000,22.15,22.15,21.17,21.17,31456,0
HDRO.US,D,20210511,000000,20.26,21.3199,20.1038,21.15,66266,0
HDRO.US,D,20210512,000000,20.73,20.83,20.29,20.29,26275,0
HDRO.US,D,20210513,000000,20.32,20.6393,20.04,20.18,35337,0
HDRO.US,D,20210514,000000,20.75,21.08,20.7,21.0371,33960,0
HDRO.US,D,20210517,000000,20.9,20.9,20.67,20.8884,23017,0
