<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
PLRG.US,D,20210521,000000,25.34,25.34,25.224,25.224,266,0
PLRG.US,D,20210524,000000,25.459,25.459,25.459,25.459,4,0
PLRG.US,D,20210525,000000,25.378,25.378,25.378,25.378,4,0
PLRG.US,D,20210526,000000,25.446,25.446,25.446,25.446,10,0
PLRG.US,D,20210527,000000,25.551,25.551,25.551,25.551,4,0
PLRG.US,D,20210528,000000,25.549,25.549,25.549,25.549,42,0
PLRG.US,D,20210601,000000,25.568,25.568,25.568,25.568,10,0
PLRG.US,D,20210602,000000,25.574,25.574,25.574,25.574,1,0
PLRG.US,D,20210603,000000,25.506,25.506,25.506,25.506,41,0
PLRG.US,D,20210604,000000,25.715,25.715,25.715,25.715,41,0
PLRG.US,D,20210607,000000,25.64,25.668,25.64,25.668,2014,0
PLRG.US,D,20210608,000000,25.702,25.702,25.702,25.702,5,0
PLRG.US,D,20210609,000000,25.69,25.69,25.61,25.61,73199,0
PLRG.US,D,20210610,000000,25.62,25.643,25.62,25.643,161852,0
PLRG.US,D,20210611,000000,25.67,25.711,25.67,25.711,162262,0
PLRG.US,D,20210614,000000,25.66,25.685,25.66,25.685,271905,0
PLRG.US,D,20210615,000000,25.7,25.7,25.68,25.68,98628,0
PLRG.US,D,20210616,000000,25.677,25.677,25.554,25.554,8447,0
PLRG.US,D,20210617,000000,25.5,25.59,25.466,25.466,46996,0
PLRG.US,D,20210618,000000,25.223,25.225,25.139,25.139,548,0
PLRG.US,D,20210621,000000,25.31,25.485,25.31,25.485,515,0
PLRG.US,D,20210622,000000,25.45,25.78,25.45,25.63,101274,0
PLRG.US,D,20210623,000000,25.64,25.64,25.605,25.605,246,0
PLRG.US,D,20210624,000000,25.73,25.812,25.727,25.75,21875,0
PLRG.US,D,20210625,000000,25.87,25.87,25.79,25.844,320,0
PLRG.US,D,20210628,000000,25.86,25.969,25.856,25.892,21784,0
PLRG.US,D,20210629,000000,25.99,25.99,25.916,25.916,2790,0
PLRG.US,D,20210630,000000,25.9,25.964,25.9,25.964,1419,0
PLRG.US,D,20210701,000000,26.07,26.0861,25.98,26.0861,587,0
PLRG.US,D,20210702,000000,26.17,26.2944,26.17,26.2944,200,0
PLRG.US,D,20210706,000000,26.26,26.26,26,26.1626,10486,0
PLRG.US,D,20210707,000000,26.23,26.2687,26.07,26.2687,2351,0
PLRG.US,D,20210708,000000,25.9943,25.9943,25.9943,25.9943,122,0
PLRG.US,D,20210709,000000,26.3573,26.3573,26.3573,26.3573,57,0
PLRG.US,D,20210712,000000,26.4593,26.4593,26.4593,26.4593,56,0
PLRG.US,D,20210713,000000,26.46,26.46,26.3197,26.3197,61911,0
PLRG.US,D,20210714,000000,26.3319,26.3319,26.3319,26.3319,77,0
PLRG.US,D,20210715,000000,26.29,26.31,26.23,26.2439,23333,0
PLRG.US,D,20210716,000000,26.16,26.18,26.0214,26.0214,36043,0
PLRG.US,D,20210719,000000,25.5734,25.5734,25.5734,25.5734,63,0
PLRG.US,D,20210720,000000,26.0561,26.0561,26.0561,26.0561,134,0
PLRG.US,D,20210721,000000,26.25,26.47,26.22,26.23,1193251,0
PLRG.US,D,20210722,000000,26.27,26.41,26.27,26.2881,238159,0
PLRG.US,D,20210723,000000,26.5301,26.59,26.5301,26.5607,1538,0
PLRG.US,D,20210726,000000,26.59,26.63,26.59,26.63,38077,0
PLRG.US,D,20210727,000000,26.4,26.4792,26.4,26.4792,243,0
PLRG.US,D,20210728,000000,26.562,26.57,26.47,26.4922,11747,0
PLRG.US,D,20210729,000000,26.66,26.66,26.6,26.6,45540,0
PLRG.US,D,20210730,000000,26.61,26.64,26.49,26.5303,76582,0
